wilcoxon,t-test,t-test_overestim_var
Cenpf,Cenpf,Cenpf
Cdc20,Cdc20,Cdc20
Ube2c,Ube2c,Ube2c
Arl6ip1,Tpx2,Ccnb1
Tubb4b,Hmmr,Hmmr
Hmmr,Ccnb1,Tpx2
Tpx2,Arl6ip1,Arl6ip1
Ccnb1,Cenpe,Cenpe
Cenpe,Plk1,Plk1
Plk1,Tubb4b,Tuba1c
Cdca8,Tuba1c,Tubb4b
Tuba1c,Ckap5,Ckap5
Ckap5,Cdca8,Cdca8
Cks2,Cenpa,Fzr1
Birc5,Fzr1,Bub1b
Fzr1,Dlgap5,Aurka
Cenpa,Calm2,Dlgap5
Aurka,Cks2,Kpna2
Reep4,Bub1b,Nusap1
Kpna2,Tacc3,Kif20a
Bub1b,Aurka,Cks2
Kif20a,Reep4,Cenpa
Aspm,Nusap1,Reep4
Dlgap5,Kif20a,Tacc3
Kif14,Kpna2,Aspm
Nusap1,Aspm,Kif14
Arhgap19,Cep55,Calm2
Tacc3,Cdkn3,Cep55
Prr11,Kif14,Cdkn3
Calm2,Knl1,Knl1
Cdca3,Cdca3,Kif2c
Kif2c,Incenp,Incenp
Cep55,Tax1bp1,Cdca3
Cdkn3,Kif2c,Prr11
Ube2s,Sptbn1,Arhgap19
Incenp,Bub1,Bub1
Knl1,Prr11,Ect2
Bub1,Arhgap19,Ccna2
Ccna2,Ccna2,Kif20b
Ect2,Zc3h13,Kif4
Racgap1,Ect2,Tax1bp1
Bub3,Racgap1,Sptbn1
Nek2,Ccnb2,Racgap1
Sapcd2,Kif20b,Bub3
Kif20b,Akirin2,Birc5
Ckap2l,Kif4,Zc3h13
Ccnb2,Birc5,Akirin2
Gpsm2,Bub3,Ccnb2
Kif4,Ckap2l,Kif22
Ckap2,Kif22,Gpsm2
Kif22,Ckap2,Nek2
Sptbn1,Nek2,Ckap2
Zc3h13,Cdc25b,Ckap2l
Jpt1,Ube2s,Cdc25b
Akirin2,Gpsm2,Ube2s
Kifc1,Plec,Prc1
Spdl1,Ubb,Sapcd2
Tax1bp1,Prc1,Parpbp
Sgo2a,Ccar1,Plec
Depdc1a,Depdc1a,Spdl1
Prc1,Sf3b1,Kif11
