wilcoxon,t-test,t-test_overestim_var
Ube2s,Ube2s,Ccna2
Hsp90aa1,Birc5,Birc5
Birc5,Ccna2,Ube2s
Cks2,Cdca8,Cdca8
Ccna2,Cks2,Tpx2
Tubb4b,Pclaf,Cks2
Tpx2,Tpx2,Pclaf
Cdca8,Hsp90aa1,Hmmr
Tuba1b,Cks1b,Mki67
Tubb5,Mki67,Cks1b
Lmnb1,Tubb4b,Tubb4b
Mki67,Tuba1b,Hsp90aa1
Hmmr,Rrm2,Rrm2
Pclaf,Cdca3,Cdca3
Hmgb2,Hmmr,Tuba1b
Hsp90ab1,Lmnb1,Kif11
Kif11,Top2a,Kif15
Ccnb1,Kif11,Top2a
Ybx1,Ccnb2,Ccnb1
Ube2c,Kif15,Lmnb1
Rrm2,Tubb5,Cdc20
Ran,Hmgb2,Ube2c
Rps2,Tacc3,Tacc3
Cks1b,Spc24,Ccnb2
Top2a,Ube2c,Plk1
Cdc20,Ccnb1,Cdk1
Tagln2,Cdk1,Cenpe
Cdca3,Cdc20,Dlgap5
Hsp90b1,Hsp90ab1,Spc24
Cenpf,Cenpe,Cenpf
Kif23,Dlgap5,Tubb5
Cdk1,Plk1,Shcbp1
Dlgap5,Shcbp1,Hmgb2
Cenpe,Kif23,Nusap1
Kif15,Cenpf,Kif23
Plk1,Stmn1,Hsp90ab1
Tacc3,Nusap1,Cep55
Nusap1,Ran,Smc2
Ptma,Rps2,1500009L16Rik
Cep55,Smc2,Incenp
Nucks1,Cenpa,Ran
Shcbp1,Tuba1a,Stmn1
Spc24,Nucks1,Prc1
H2az1,1500009L16Rik,Rps2
Ccnb2,Incenp,Cenpa
1500009L16Rik,Tagln2,Spdl1
Anp32e,Tmpo,Kif22
Kif22,Prc1,Aurkb
Spdl1,Asf1b,Knl1
Anp32b,H2az1,H1f5
Eif5a,Cep55,Tuba1a
Tuba1a,Rrm1,Kif4
Smc2,Ptma,Asf1b
Stmn1,Knl1,Ncapg
Prc1,Hsp90b1,Nucks1
Tmpo,Aurkb,Nuf2
Incenp,Kif22,Rrm1
Kif4,H1f5,Sgo2a
Bub1,Anp32e,Tmpo
Ncapg,Hspd1,Tagln2
Knl1,Rad21,Bub1b
Cenpa,Ncapg,Bub1
Ska1,Nuf2,H2ax
Hspd1,Pdia6,H2az1
Aurkb,Spdl1,Ptma
Nuf2,Kif4,Ska1
Sgo2a,H2ax,Ckap2l
Aspm,Bub1b,Hsp90b1
Pdia6,Bub1,Anp32e
H2ax,Sgo2a,Hspd1
Depdc1a,Selenoh,Aspm
