wilcoxon,t-test,t-test_overestim_var
Myl6,Pfn1,Havcr2
Gapdh,Lgals1,Lag3
S100a6,Gapdh,S100a4
Nkg7,Calm1,Ifng
Sub1,Nkg7,Lgals1
Ptprcap,Pycard,S100a6
Pfn1,Cdc42,Gzmb
Actg1,Myl6,Bcl2a1b
Cdc42,Actb,Ccl5
Anxa2,Cfl1,Atxn1
Pycard,Arpc2,Actb
S100a11,Ccl5,Nkg7
Arpc2,Abracl,Sub1
Arpc5,Ifng,Tmsb4x
Ccl5,Actg1,Anxa2
Calm1,S100a10,Actg1
Lgals1,S100a4,Gapdh
Havcr2,Arpc4,Casp3
Lag3,Arpc5,Baz1a
S100a10,Sub1,Pfn1
Arpc4,Ctsd,Ccl3
Ctsd,Lag3,S100a10
S100a4,Havcr2,Cdc42
Ifng,Itm2b,Abracl
Actb,Cox17,S100a11
Bcl2a1b,S100a6,Ctsd
Ccl3,Ptprcap,Arpc5
Casp3,Arl6ip1,Pycard
Gzmb,Baz1a,Myl6
Tmsb4x,Aldoa,Lgals3
Atxn1,Arpc3,Arpc4
Capzb,Gzmb,Arpc2
Lsp1,Bcl2a1b,Ikzf3
Itm2b,S100a13,Ptprcap
Ms4a4b,Myl12a,Bhlhe40
Arpc3,Rac2,Myl12a
S100a13,Csnk2b,Slamf7
Actr3,Sec61b,Ccl4
Aldoa,Capzb,Sh3bgrl3
Baz1a,Txn1,Cox17
Sh3bgrl3,Serf2,Txn1
Bhlhe40,Ndufb8,Rgs1
Slamf7,Atxn1,Ctla4
Cd3g,Anxa2,Lsp1
Arpc1b,Uqcrq,Klrc1
Abracl,S100a11,Prf1
Coro1a,Tmsb4x,Cox20
Cd3e,Cd3e,Itga4
Ppib,Reep5,Fkbp1a
Myl12a,Edf1,
Cd48,Ndufb7,
Cyba,Elob,
Psmb3,Actr3,
Sh2d2a,Ndufa1,
Fkbp1a,Cox20,
Ccl4,Ikzf3,
Sec61b,Tmem160,
Serf2,Sh3bgrl3,
Prdx1,Ybx1,
Serpinb9,Ube2l3,
Arl6ip1,Cyba,
Uqcrq,Lcp1,
Rac2,Arpc1b,
Lgals3,Crip1,
Snx3,Cox6b1,
Ucp2,Gnai2,
Txn1,Lsp1,
Cd52,Ucp2,
Elob,Casp3,
Ikzf3,Raly,
Ctla4,Ndfip1,
Klrc1,Pfkp,
Map1lc3b,Prex1,
Ndufb7,Ywhae,
Zyx,Ctla4,
Rgs1,Tspo,
Atox1,Ms4a4b,
Gimap5,Cd52,
Tspo,Cd2,
Vim,Cap1,
Fhl2,Rgs1,
Prf1,Atp5j,
Serpinb6b,Sh2d2a,
Thy1,Ccl3,
Cst7,Psmb3,
Acadl,Cd48,
Cox17,Taf10,
Mcm6,Fkbp1a,
Itga4,Coro1a,
Vamp8,Ppib,
Cfl1,Prdx1,
Crip1,Itga4,
Ndfip1,Zyx,
Sem1,Gimap7,
Gnai2,Gimap5,
Reep5,Map1lc3b,
Cnn2,Psmd13,
Lcp1,Atp5l,
Sh2d1a,Atox1,
Cox20,Ptpn22,
Edf1,Txndc17,
Uqcrb,Ndufb6,
Fxyd5,Ndufa13,
Cxcr6,Thy1,
Vmp1,Bhlhe40,
Ctsb,Gng5,
Prex1,Ctsb,
Rps27l,Pomp,
Itgal,1810037I17Rik,
Gimap7,Gimap1,
Dbi,Sh2d1a,
Ptms,Rab1b,
Tox,Uqcrb,
Csnk2b,Lgals3,
Cd82,Efhd2,
Efhd2,Selenof,
Plek,Cd3g,
Ybx1,Slamf7,
Phlda1,Fxyd5,
Atp5j,Vim,
Sdhb,Ccl4,
Crlf2,Hmgb2,
Pomp,Sec11a,
Atp2b4,Snrpb,
H2-D1,Anxa6,
Psma4,Vamp8,
Fis1,Klrc1,
Id2,Prf1,
Ndufa1,Cycs,
Itgb2,Snx3,
Ddt,Mcm6,
Rab1b,Gnas,
1810037I17Rik,Ppp1ca,
Vasp,Cnn2,
Arhgdib,Tma7,
Prr13,Fhl2,
Anxa6,Psmb7,
Hmgb2,Nr4a2,
Jpt1,Cox5b,
Rinl,Tln1,
Selenof,Sept11,
Hif1a,Atp5e,
Adam19,Ndufc1,
Ccr5,Serpinb6b,
Cd3d,Bex3,
Cox6b1,Rbx1,
Ap2s1,Ap2s1,
Lamtor5,Tmem14c,
Fyn,Acadl,
Pfkp,Pkm,
D16Ertd472e,Psmc2,
Ldha,Prr13,
Nr4a2,Vasp,
Hsp90b1,Rps27l,
Ndufb8,Atp5pb,
Pglyrp1,Rbm3,
Zeb2,Arf1,
Atp5d,Myh9,
Gzma,Sem1,
Gimap1,Id2,
Bex3,Epsti1,
Ndufb6,Vcp,
Raly,Ech1,
Cd2,Arhgdib,
Ywhae,Cst7,
Rap1a,Psma4,
Atf6,Ndufs6,
Rilpl2,Atp2b4,
Vcp,Dnajb11,
Ndufs6,Cox5a,
Cap1,Hmgb1,
Atp5l,Grk2,
Ube2l3,Psma1,
Ech1,Gmfg,
Adprh,Calm3,
Calm3,Eno1,
Dgkh,Ptms,
Ndufa13,Atp6v0c,
Gng5,Crlf2,
Klrk1,Phlda1,
Otub1,Rilpl2,
Sept11,Atp5d,
Nedd9,Cxcr6,
Cox5b,Tmed9,
Dnajc1,Calr,
Inpp1,Ddt,
Atp5j2,Xrn2,
BC031181,Cwc15,
Dpp3,Atp5j2,
Ndufc1,Ociad1,
Atp6v0e,Cd3d,
Cblb,Sdhb,
Dynlrb1,Sh3kbp1,
Mrps21,B4galnt1,
Psme2,Snapc5,
Atp5pb,Cox7b,
Clic1,Zmat5,
Srgn,Hsd11b1,
Ociad1,Itgal,
Ctsc,Clic1,
Foxn3,Akna,
Psmd13,Ifi214,
Sept7,Cd82,
Agpat4,Cnot3,
