gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Tfap2b,,,,,,,,,,
Pkhd1,,,,,,,,,,
Il17a,-18.547634,1.0,-0.012744841,-18.547634,0.49289021214161516,-1.0,-18.547634,0.8807279313241815,-0.39775342,-8.865366e-05
Il17f,-19.473112,1.0,-0.038234524,-19.473112,0.25125352878707286,-1.6057527,-19.473112,0.8488184869305923,-0.63869363,-0.00055404205
Mcm3,-0.71555644,1.0214816835270002e-05,-5.0125875,-0.71555644,3.6226024166264778e-09,-6.48102,-0.71555644,8.691391935702267e-05,-4.629632,-0.048748534
Paqr8,-1.3393111,1.0,-0.17069782,-1.3393111,0.21602039337561352,-1.7141119,-1.3393111,0.695252476586183,-0.99767697,-0.00015606201
Efhc1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Tram2,-0.113188915,1.0,-0.21835522,-0.113188915,0.8736716419103986,-0.32256037,-0.113188915,0.9501290411102987,-0.24485675,-0.007788336
Tmem14a,0.6308319,0.7115076996288746,1.0988034,0.6308319,0.18897705599597792,1.8005315,0.6308319,0.4880020988996364,1.3944012,0.00042755122
Gsta3,1.7647647,1.0,0.12281683,1.7647647,0.5120916348775207,0.9642202,1.7647647,0.7711872913488632,0.838227,0.0002375093
Khdc1a,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Khdc1c,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Khdc1b,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Kcnq5,-0.51499385,1.0,-0.19989277,-0.51499385,0.5046601191007034,-0.9790676,-0.51499385,0.8401298404492875,-0.6653856,-0.004026508
Rims1,,,,,,,,,,
Ppp1r14bl,,,,,,,,,,
Ogfrl1,-0.15912415,1.0,0.05302365,-0.15912415,0.8456637084831419,-0.37091705,-0.15912415,0.9433057804499558,-0.25976923,0.0010357494
