gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mt-Cytb,32065.3146659071,-0.893878697489551,0.201928649831402,-4.4267056618062,9.56831531660458e-6,6.46683501214162e-5
mt-Nd6,4682.3705175634,-0.65522949714999,0.190151822557482,-3.44582286058245,5.69323422645578e-4,0.0026354391122192
mt-Nd5,7476.45467890995,-0.873335683718702,0.220633900544905,-3.95830233505279,7.54843724311816e-5,4.28767463154613e-4
mt-Nd4,20297.7224821947,-0.881781056325213,0.143545865718122,-6.14285233443606,8.10526277162513e-10,9.65891426837075e-9
mt-Nd4l,838.736402999122,-1.05658086097164,0.2675423518981,-3.94920973623667,7.84096275636555e-5,4.44041125954928e-4
mt-Nd3,3326.50284466576,-0.75631401864929,0.232403130178714,-3.25431941500829,0.00113664399786554,0.00484147355262121
mt-Co3,90918.8310591927,-0.518230551223915,0.137958829218215,-3.7564145343986,1.72365097948616e-4,9.03220888227796e-4
mt-Atp6,62800.5024439065,-0.957423157301869,0.164426758386802,-5.82279409200297,5.78718390975463e-9,6.26111835661873e-8
mt-Atp8,4718.98042412754,-0.913960924153664,0.257937206467275,-3.543346602343,3.9508307935678e-4,0.00190121083435491
mt-Co2,55105.4703661045,-0.442842971899868,0.157860556218428,-2.80527943463671,0.00502729753766261,0.0173422279399989
mt-Co1,68415.4048654321,-0.209405605965495,0.177246665509843,-1.18143608153726,0.237429531468109,0.383140889123555
mt-Nd2,12056.7781862621,-1.55672047809715,0.19795351427554,-7.86407093500892,3.71846804035942e-15,7.64954921684646e-14
mt-Nd1,38601.7605496439,-0.956706482757635,0.191124844683457,-5.00566257799785,5.56702024475583e-7,4.61915173399515e-6
Gm15190,0.342688672138476,0,0.448717947245699,0,1,NA
Arrb2,668.997315404761,-0.741867060329287,0.269799404910455,-2.74969865324762,0.00596500937261758,0.0200493556928967
Usp22,336.61270024423,-1.20991892009705,0.189887690610793,-6.37176067708877,1.86870333993846e-10,2.40215999314806e-9
Gm29257,23.6467686538237,-1.30193473153556,0.525473230846631,-2.47764235190043,0.0132253640196524,0.0393180213734744
Gm17908,0,NA,NA,NA,NA,NA
Gm17918,0.0380498173786147,-0.0879350374766394,0.448717947245699,-0.195969512733775,0.844634028605116,NA
Odf2l,120.74869093732,0.135834710731649,0.38373748457701,0.353978217377899,0.723355207735082,0.82872198934961006
Gm33778,0,NA,NA,NA,NA,NA
Mymx,0.131854083945354,0,0.448717947245699,0,1,NA
Wsb2,198.469776549867,-0.429440422229033,0.352429850879261,-1.21851319108651,0.22302901509601,0.366015202375149
Orai3,166.917998608981,0.269806961658411,0.348097436607615,0.775090343347012,0.438286277324848,0.593126555625978
Mpeg1,55.4609839371828,3.68804420887213,0.718653059052022,5.13188410237485,2.8685612135063e-7,2.49011140248416e-6
Tm9sf3,2135.84676739228,0.765958663406006,0.122055724399228,6.27548332678487,3.48549831757451e-10,4.35945092826812e-9
Ivd,284.455811501188,-1.51589989352715,0.44449883384926703,-3.41035741398863,6.48777975920259e-4,0.0029523238893465
Wdr81,121.608775638435,0.362087199285352,0.332878719805578,1.08774510877966,0.276707647922735,0.428408236425046
Alas1,224.734386462151,0.88067495945638,0.289079125237311,3.04648410269477,0.00231534722404427,0.00893893186269148
Cyp2d11,0.121889199336314,0,0.448717947245699,0,1,NA
D10Wsu102e,3396.71974346816,-0.698546203960319,0.298295415154381,-2.3417932977575,0.0191913403309939,0.0535609118661672
Arhgap10,146.424941166875,0.933520743112439,0.261351304723558,3.57190006799416,3.54400650097314e-4,0.00172160729478471
Aldh1l2,13.7271658528351,-1.52743890659124,0.776309392054882,-1.96756463624398,0.0491181520379129,0.114390297612052
Acss1,322.491899087607,-0.498680010610222,0.187004461105481,-2.66667440799146,0.00766058469694225,0.0248161852922018
Tacc1,1248.32743701286,-0.487286739504027,0.244027632476258,-1.99685066219472,0.0458414081679757,0.108568377047685
Srp68,716.885577647423,0.820118330217954,0.181414937480571,4.52067697184961,6.16421885503799e-6,4.30375478277013e-5
Tatdn3,127.418607472766,0.497462082101207,0.373056674657374,1.3334758922571,0.182375681696394,0.315592793439012
Kif9,10.7689934929382,-1.43698215718091,0.874522318301876,-1.64316236087742,0.100349345146497,0.200225065065165
Wfdc11,0.149848385443478,-0.264043639920465,0.448717947245699,-0.58844011375343,0.556236919386258,NA
Rfc5,1393.99418525734,2.17297792679771,0.250422884330092,8.677233842309,4.05510783384188e-18,1.02499063483208e-16
Gm19195,11.0975968247349,-1.26337728448204,0.800421755185756,-1.57838948816283,0.114476158641194,0.221486480849266
Wfdc13,0.631277921909808,-0.638141278759734,0.596318816920337,-1.07013439900385,0.28455881739948,NA
Atp11a,176.98479209695,0.251899017899982,0.403431118495473,0.624391640484739,0.532370413685897,0.678605736124568
Sema6b,4.37958017145893,1.01765200891282,0.898447422704947,1.13267842190363,0.257349322445875,0.406145650520114
Spint4,0,NA,NA,NA,NA,NA
Hsd3b7,18.5091717609509,1.25539414540605,0.667992789739309,1.87935283836818,0.0601963313956322,0.134504365257379
Pgm2l1,479.703267062789,1.9032532072289,0.232494671182712,8.18622292522645,2.69552230398035e-16,5.98965600004043e-15
Vipr1,59.4733701378222,-4.09817264304176,0.756434418826304,-5.41775009312843,6.03536943569914e-8,5.76274929042111e-7
Spint5,0,NA,NA,NA,NA,NA
Nexn,8.97240375798842,-1.95769455998806,0.86050338739414,-2.27505735441268,0.0229024894564962,0.0621040886320318
Gm18995,0,NA,NA,NA,NA,NA
