wilcoxon,t-test,t-test_overestim_var
Lgals1,S100a4,S100a4
Rbm3,Lgals1,Lgals1
S100a6,S100a6,S100a6
S100a4,Rbm3,Rbm3
Gapdh,Lgals3,Lgals3
Serpinb6b,Serpinb6b,Serpinb6b
Lgals3,Anxa2,Anxa2
Sub1,Ahnak,Ahnak
Ahnak,Gapdh,Gzmb
Anxa2,Gzmb,Plek
Txn1,Plek,Bcl2a1b
Actg1,Bcl2a1b,Gapdh
Nkg7,Sub1,Lag3
Lag3,Lag3,Sub1
Vim,Ccl5,Bhlhe40
Plek,Bhlhe40,Ccl5
Ly6a,Ly6a,Ptms
Bcl2a1b,Ptms,Serpinb9
S100a10,Txn1,Pglyrp1
S100a11,Vim,Ly6a
Bhlhe40,Serpinb9,Vim
Gzmb,Pglyrp1,Txn1
Ptms,Il18r1,Il18r1
Ifng,Nkg7,Ifng
Pglyrp1,Itga4,Nkg7
Ccl5,Actg1,Itga4
Itga4,S100a11,Actg1
Serpinb9,Ifng,S100a11
Il18r1,S100a10,S100a10
Abracl,Klrc1,Klrc1
Crip1,Crip1,Ctla2a
Srgn,Ctla2a,Casp3
H2az1,Reep5,Hmgb2
Hmgb2,Hmgb2,Crip1
Lsp1,Srgn,Reep5
Ctla2a,Casp3,Srgn
Reep5,H2az1,Ybx3
Cox5b,Abracl,H2az1
Klrc1,Ybx3,Il18rap
Ctsd,Ctsd,Abracl
Cd48,Efhd2,Ctsd
Tmsb4x,Lsp1,Efhd2
Id2,Sh2d2a,Sh2d2a
Ifi27l2a,Il18rap,Vmp1
Il18rap,Vmp1,Tmsb4x
Casp3,Cd48,Atxn1
Sh2d2a,Id2,Id2
Ybx3,Atxn1,Bcl2a1d
Clic1,Tmsb4x,Lsp1
Atxn1,Il2rb,Il2rb
Il2rb,Ly6c2,Cd48
Ly6c2,Bcl2a1d,Ly6c2
Efhd2,Cox5b,Rilpl2
Vmp1,Rilpl2,Cox5b
Gimap4,Trav14-1,Slamf7
Cox8a,Ifi27l2a,Osbpl3
Trav14-1,Itgb1,Trav14-1
Rilpl2,Slamf7,Ifi27l2a
Itgb1,Prr13,Itgb1
Ccl4,Osbpl3,Prr13
Bcl2a1d,Clic1,Dut
Ccl3,Gimap4,Ccl4
Prr13,Dut,Klrk1
Ndfip1,Ndfip1,Clic1
Dusp2,S100a13,Ctla4
S100a13,Klrk1,Ccl3
Pfn1,Dusp2,Pdcd1
Dut,Hif1a,Gimap4
Slamf7,Ccl4,Hif1a
Klrk1,Ctla4,Dusp2
Osbpl3,Cox8a,Ndfip1
Hif1a,Ccl3,S100a13
Actb,Pdcd1,Cd160
Nap1l1,Cd160,Zbtb32
Ctla4,Zbtb32,Hip1
Trac,Rora,Rora
Pycard,Hip1,Cox8a
Cd160,Serinc3,Icos
Cd52,Icos,Nrgn
Arpc3,Pfkp,Serinc3
Icos,Pfn1,Gna15
Rora,Pycard,Chsy1
Ppib,Chsy1,Pfkp
Serinc3,Nap1l1,Rpa2
Hint1,Nrgn,Cd44
Gmfg,Gna15,Tmem163
Myl6,Rpa2,Pycard
Chsy1,Actb,Nap1l1
Rac2,Cd44,Pfn1
Pfkp,Ccdc50,Ccdc50
Zbtb32,Cxcr3,Mt1
Cfl1,Tmem163,Cxcr3
Pdcd1,Itgal,Actb
Rpa2,Mt1,Klrc2
Nrgn,Prelid1,Irf8
Hopx,Trac,Stmn1
Ifngr1,Klrc2,Pik3ap1
Arl6ip1,Irf8,Itgal
Psmb3,Arpc3,Sept11
Cox5a,Sept11,Prelid1
Calm1,Ppib,Trac
Coro1a,Stmn1,Runx2
Prelid1,Ifngr1,Prf1
Gna15,Pik3ap1,Ifngr1
Itgal,Mbd2,Hopx
Cdc42,Gmfg,AA467197
Mbd2,Prf1,Arsb
Cd44,Hopx,Arpc3
Sept11,Polr1d,Ppib
Cox6b1,Runx2,Havcr2
Cxcr3,Hint1,Unc119
Ccdc50,Gimap7,Mbd2
Hip1,Fkbp1a,Ctsb
Klrc2,Arsb,Gimap7
