Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Ezh2,Ly86,0.22030204376179807,Arntl,0.16457237121020662,Pbx3,0.25205610918701926,,Tnfrsf25,
Zeb2,Jaml,0.21945518304415412,Aff3,0.15769511051296314,Wdhd1,0.25010083605199324,,Snrpd1,
Il18rap,Ccr7,0.2188730050691251,Cd5,0.14387312368538752,Il1rl1,0.24894558674565082,,Chd7,
Klrb1c,Trbc1,0.21886884765944215,Cd74,0.14200359889528724,Ccr6,0.24869716921104534,,Eed,
Hnrnpr,Itga1,0.2169210032141899,Prdm5,0.1385240573273471,Cbfb,0.2486785276443276,,,
Klra3,Cd200,0.21674928800828994,Tnfsf8,0.12753705572939825,Ssb,0.2480805963974445,,,
Foxp1,Cd9,0.2152425571721725,Tlr1,0.10550855351722999,Batf,0.24662021038736812,,,
Ccr6,Mybl2,0.21331368938302378,Cxcr5,0.05166952280183888,Klf3,0.2464250331352513,,,
Klra4,Pou6f1,0.21314807267568894,Klra6,0.03466712679506413,Cd22,0.2461438066694041,,,
Brca1,E2f2,0.21313740776080686,Sell,0.025849395962241502,H2-Eb1,0.24544494760553354,,,
Tnfrsf25,Vsir,0.2106051146625383,Clec12a,0.019256772037149913,Deaf1,0.24507541281690307,,,
Eed,Rora,0.21019139087155556,,,Itgb1,0.24475205486318852,,,
Jaml,Fli1,0.21005662259510954,,,Sfmbt1,0.24336684250158708,,,
Ctcf,Klra1,0.20776701992254115,,,Klrk1,0.24216126101335517,,,
Pax5,Scml4,0.2074444535155957,,,Hist1h2bp,0.23991728103093873,,,
Fli1,Crtam,0.20558278980286662,,,Nfya,0.23861428683720173,,,
Polr2b,Mef2d,0.20360137468509903,,,Nfic,0.2382551663927384,,,
Mef2d,Arntl,0.20273796943719546,,,Cd200,0.23741998859275001,,,
Cd5,Itgax,0.2025027897961983,,,Smyd4,0.2370353914411036,,,
Fasl,Jade1,0.20174295794161604,,,Hsf2,0.23491486905620457,,,
Paxip1,Itga2,0.19351647766108376,,,Hnrnpul1,0.23228747945331352,,,
Arid2,Sox5,0.19160460855874076,,,Dnmt3a,0.2309501412211962,,,
Ly86,Tcf19,0.18984554801399237,,,Kdm5b,0.2308067188446283,,,
Mcm4,Mybl1,0.1896339250022307,,,Mbd4,0.22985450045481623,,,
Nfya,Brca2,0.18303864449182222,,,Tsc22d3,0.22953920497129393,,,
Kmt2a,Zfhx2,0.18092866300191834,,,Brca2,0.22941359622790178,,,
Smyd4,Lag3,0.1726607755209137,,,Cd28,0.22875039794440624,,,
Tsc22d3,Cx3cr1,0.17035635117936582,,,Hnrnpr,0.22867565808791807,,,
Prdm5,Fcgr2b,0.16480020339697427,,,Eed,0.22613434001414667,,,
Mcm3,Hist1h2bp,0.16141476938049418,,,Elf2,0.2239607935365891,,,
Jade1,Tfdp2,0.14492773992764496,,,Mef2d,0.2226413385771517,,,
Sp100,Ncr1,0.14030064563474187,,,Kmt2a,0.22253578879913205,,,
H2-Ab1,Klra8,0.1392930079117668,,,Arid2,0.22159635300923228,,,
Slamf6,Klra9,0.1368208797253013,,,Notch1,0.22148822859173273,,,
Mcm7,Clec12a,0.1334999182899228,,,Cd86,0.2190217132061615,,,
Notch1,Klrb1c,0.1305599874972207,,,Rbbp4,0.21874864197070223,,,
Nsd2,Trp73,0.12545331785248667,,,Chd7,0.21867046099101922,,,
Ncr1,Tlr1,0.12245236051322121,,,Itga2,0.2164614930496043,,,
Pou6f1,Nfic,0.1193939435545341,,,Crtam,0.216127070665327,,,
Tnfsf11,Il6ra,0.09481228895920528,,,H2-Ab1,0.21490182884041556,,,
Klra9,Klra6,0.08133148494105018,,,Phf19,0.2141469836661666,,,
Klrd1,H2-Eb1,0.054044699803922444,,,Khdrbs1,0.21347113798379766,,,
Mcm8,Pax5,0.05329863675428245,,,Ly86,0.21082373471597565,,,
Rel,Klra4,0.0481839788398039,,,Taf15,0.2096857848792592,,,
Rbl2,Cxcr5,0.004076410032218971,,,Zfp382,0.2090025155082531,,,
Zfp36l1,Sell,0.0013682599709535304,,,Stat5a,0.20877836768404734,,,
Ttf2,,,,,Pml,0.20736048197612236,,,
Tox,,,,,Pbx4,0.2066258033720528,,,
Ssbp2,,,,,Rbl2,0.20189382246464754,,,
Deaf1,,,,,Klrg1,0.2010845004741852,,,
Nap1l1,,,,,Zfhx2,0.19837053090525125,,,
Pbx4,,,,,Icos,0.19824372835562548,,,
Setbp1,,,,,Ikzf3,0.1926487008739072,,,
Cd86,,,,,Polr2b,0.18815543184771708,,,
Pml,,,,,Rel,0.17929315265513385,,,
Itga2,,,,,Phip,0.1769365985317842,,,
Ms4a1,,,,,Zfp512,0.17568220842765345,,,
Stat5a,,,,,Tlr1,0.17147851444494583,,,
Cd40lg,,,,,Sp100,0.16986665246344754,,,
Sp4,,,,,Nap1l1,0.16860184222226185,,,
