Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Cd96,Dek,0.6003128891882323,Klra1,0.5407844608392832,Hells,0.7296469657466159,Ighm,Pax5,Il7r
Sema7a,Hells,0.5958011562509626,Klra3,0.41119921600847303,Hmgb2,0.6515259280200283,Polr2f,Cd96,Klrd1
Suv39h1,Il18rap,0.5434607046933027,Klrg1,0.4066197939813277,Atad2,0.6277255680430884,Sema7a,Igf2r,Fasl
Cd53,Hat1,0.5292917957186768,Notch3,0.40519514379257204,Cd74,0.5851438327715778,Cd53,Fli1,Srrm1
Klf3,Atad2,0.5124530627272333,Ctla4,0.3861269749333107,Hat1,0.5729906829507669,Klf3,Suv39h1,Itgal
Dpp4,Mcm7,0.4916445287045511,Ifngr1,0.36414757658641556,Dnmt1,0.5625410820006019,Klrg1,Tcerg1,Aff3
Itgal,Il18r1,0.4830855556256349,Tnf,0.3492566766938915,Nsd2,0.5584481836811162,Dpp4,Supt16,Ccr7
Tbx21,Rfc1,0.4724228861170733,Kcnip3,0.3399782815478394,Snrpd1,0.5358065569192398,Klra6,L3mbtl3,Tcf7
Arid5b,Mcm5,0.4693810206932025,Atad2,0.33923118646475403,Mcm4,0.5331838427904875,Tnf,Paxip1,Tox
Foxp4,Dnmt1,0.4663604044592464,Ccr7,0.3377946024488096,Mcm5,0.5009266226515726,Il23r,Tbx21,Fosb
Foxn3,Ezh2,0.46394571729123607,Klra6,0.3306694530964655,Rfc1,0.5007994821773218,Klra1,Ly86,Hells
Il18r1,Mcm4,0.46219619956936003,Fosb,0.3219991714997189,Hnrnpd,0.4962762477454625,Kcnip3,Mcm4,Setbp1
Fbxo7,Nsd2,0.4596564807438044,Cd83,0.31496078917924625,Mcm7,0.4910248976840641,Cxcr6,Arid5b,Btg1
Id3,Timeless,0.4566570834456661,Fasl,0.3143022414820135,Suz12,0.4757503843585761,Crtam,Foxp4,Brd8
Brd9,Uhrf1,0.4513773564311316,Klrd1,0.30978457625842387,Dek,0.4728524237031486,Ccr2,Foxn3,Aurkb
Batf3,Cd226,0.43653928320433544,Irf4,0.30622679550078696,Brca1,0.4717767425319793,Zeb2,Il18r1,Hnrnpr
Cd80,Tfdp1,0.4302666697389181,Espl1,0.2956587843101393,Cenpk,0.47137620536684505,Satb1,Fbxo7,Klra3
Tbc1d2b,Mcm6,0.42871396160015085,Tox,0.2954622513051177,Mcm6,0.46977783249863875,Slamf6,Id3,Ikzf2
Wbp11,Hmgb2,0.4280973826548666,Aurkb,0.28715611933561874,Mcm3,0.4669841091062859,Runx3,Brd9,Il2ra
Ccr9,Hnrnpd,0.42568528439969616,Ikzf2,0.2833804591476396,Tnfrsf9,0.45683608795989356,Irf4,Chaf1b,Tnfsf8
Mcm5,Brca1,0.4222930945873868,Klrc1,0.28188319296275416,Trip13,0.45285028770429964,Cd8b1,Mcm3,Atad2
Irf4,Cd96,0.4119235825003255,Batf,0.27576236695121986,Tfdp1,0.451068599920566,Notch3,Tbc1d2b,Ctla4
Atad2,Rbbp4,0.4099629614765557,Tcf7,0.27258971493742357,Timeless,0.4488646013772285,Ifngr1,Wbp11,Klrk1
Notch3,Baz1b,0.40924107358158635,Slamf6,0.26564257289430043,Klrd1,0.44476335197033556,Cd37,Sp100,Batf
Ctla4,Rbbp7,0.40866213924677824,Hnrnpr,0.2645334513764073,Gadd45b,0.4402203971607585,Klrc1,Ccr9,Cd83
Rad51,Tox,0.4076534187889558,Sema7a,0.2630109059971106,Hnrnpab,0.43875631085571987,Ddx5,H2-Ab1,Cd226
Ifngr1,Brip1,0.40291571478511895,Il2ra,0.26119803961887,Rbbp7,0.43490050110674305,Eif2ak2,Mcm5,Eed
Klrk1,Snrpd1,0.3935812311698034,Cd8b1,0.26061266700340946,Uhrf1,0.43430410257986113,Ctcf,Mcm7,Itga1
Cd37,Pdcd1,0.3913572920401052,Brd8,0.2605923448840197,Foxn3,0.42928596704826066,,Rad51,Ikzf3
Hat1,Pecam1,0.38713466039501654,Klrk1,0.2602443809865614,Mybl2,0.4268326098211905,,Nsd2,Fcgr2b
Mef2c,Irf2,0.38697027551153185,Il7r,0.25584521758674444,Brip1,0.42568022236743985,,Smarca5,Espl1
Klrc1,Cenpk,0.38643091414488223,Itgal,0.2534013927468007,Ybx1,0.42402159427242986,,Hat1,Kdm7a
Ddx5,Cd80,0.3860123697056444,Ccr2,0.25131240071675365,Itgal,0.42366946327411475,,L1cam,
Id2,Wdhd1,0.38559866561551875,Polr2f,0.24782428524795422,Brca2,0.42242837808128836,,Mef2c,
Cnot6,Klrd1,0.38456146539391517,Zeb2,0.24696786800546439,Chaf1b,0.4219999697469128,,Id2,
Snrpb,Trip13,0.383871383220724,Cd226,0.24583175891726716,E2f1,0.4195636669605767,,Uhrf1,
Kdm7a,Itgal,0.3809822674076367,Eif2ak2,0.23998612555965249,Bard1,0.41602716061713224,,Cnot6,
Zfhx2,Bard1,0.37837377379963716,Runx3,0.23313617409427786,Cd96,0.4108719251459103,,Snrpb,
Cd200r1,Mcm3,0.3766534162495534,Srrm1,0.2326070452655293,Smarca5,0.3979681332775687,,Cd84,
Itga4,Id2,0.3761439408481497,Cd53,0.23210182071866306,Il18rap,0.39406258565970864,,Zfhx2,
Mta3,Ssrp1,0.37554177727221505,Klf3,0.23034171738231699,Btg1,0.39254232237015263,,Fmr1,
Zdhhc21,Supt16,0.37437424130769514,Cd37,0.23014335878816408,H2-Ab1,0.38854915602946516,,Hivep3,
Srrm1,Tcerg1,0.3636341054886471,Ddx5,0.22893945481513917,Wdhd1,0.385996886472451,,Cd200r1,
Psip1,Lag3,0.3623964629450851,Itga1,0.22804932873006598,Supt16,0.37667841061728213,,Il10ra,
Klra6,Btg1,0.3621417063215102,Ctcf,0.22647233152413804,Kntc1,0.37400179019659807,,Itga4,
Toe1,Ilf2,0.35929878251332403,Cxcr6,0.22394224076975403,Itga1,0.37125478986361776,,Mcm8,
Klra1,Sp100,0.35744889619710357,Btg1,0.22171728773144792,Rad51,0.3680655007843493,,Mta3,
Ccr7,E2f1,0.3532393882552768,Il23r,0.22033773647236646,Fosb,0.36757657100060565,,Zdhhc21,
Smyd2,Klrg1,0.35075163220052635,Fcgr2b,0.21178924822408346,Wbp11,0.36289507929768583,,Psip1,
E2f8,Il1rl1,0.3495245605272734,Setbp1,0.2108631086360158,Lag3,0.36140650320171824,,Rel,
Trip13,Ddx20,0.3490001883714889,Eed,0.2049409054199873,Entpd1,0.3611526148927013,,Elk3,
Ikzf1,Foxn3,0.34245531288539593,Ighm,0.19945661066954773,Tcerg1,0.35968974730794606,,Atp1b3,
Runx3,Fus,0.3423318646312573,Crtam,0.1953615435671903,Rbbp4,0.3575368689615267,,Zfp36l1,
Tnfsf8,Eed,0.3374901771312203,Dpp4,0.18469580981911565,Id2,0.3571038317978989,,Nap1l1,
Klf6,Brca2,0.3367457292125901,Tnfsf8,0.18403291137315578,E2f8,0.35079672985385696,,Smyd2,
Ilf2,Fosb,0.32935188697015144,Aff3,0.17022318062375133,Sp100,0.34840711871401475,,Cd86,
Zfpm1,Mybl2,0.3286360270946877,Hells,0.15625201475227546,Hmmr,0.34749757901213635,,E2f8,
Rbbp4,Rad51,0.3285993081340459,Kdm7a,0.1481784842949088,Orc1,0.3418684086496671,,Orc1,
Bard1,Espl1,0.3279102949927035,Ikzf3,0.14258496407284763,Btg2,0.3400538822883217,,Trip13,
Ewsr1,Mbd4,0.32541482378572495,Satb1,0.10227423854510022,Nap1l1,0.3368215344037559,,Ikzf1,
Cd226,Kdm7a,0.32357625247950156,,,Itga4,0.33351180161351557,,Itga2,
Ep300,Gadd45b,0.3198344674152066,,,Psip1,0.33285749522367986,,Pou2af1,
Ikzf3,Il10ra,0.3197446834727534,,,Paxip1,0.330492625410792,,Hmgb2,
Cd74,E2f8,0.31888281947252045,,,Brd8,0.32657690736701195,,Rbbp4,
Pecam1,Ighm,0.31582369823675005,,,Il10ra,0.3263663914853458,,Bard1,
