,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Cbfa2t3,0.008825467,0.014816628,0.0,0.01207072,0.012143435,0.087988004,0.083895676,0.13649169,0.04321138,0.025884716,0.06181041,0.07089276,0.064319395,0.10427512,0.063700914,0.058887523,0.07268591,0.02827798,0.02587485,0.0322885,0.084523,0.06454889,0.08982941,0.0045317793,0.0072532333,0.004468928,0.00969991,0.009495142,0.023594186,0.0042062835,0.0042195246,0.0
Mtf1,0.0999453,0.070185654,0.15550825,0.0924117,0.091720715,0.12524214,0.123746656,0.124817125,0.10736483,0.10298584,0.112065405,0.10543628,0.10430085,0.11120246,0.10266139,0.099877164,0.10785862,0.13141045,0.13043524,0.13303795,0.105554745,0.112668514,0.10366487,0.1382479,0.12404252,0.13857597,0.14880969,0.14863314,0.1588234,0.15477839,0.154495,0.1484405
Klf8,0.011517064,0.026835782,0.0,0.023267701,0.023407869,0.02890006,0.029670099,0.028918449,0.017571894,0.012978927,0.022502141,0.028107135,0.028258199,0.027339958,0.02811226,0.023623737,0.03649084,0.026685359,0.022084955,0.034362853,0.024851898,0.016820373,0.026985586,0.023651846,0.025512554,0.023608875,0.011886748,0.011634577,0.028994214,0.008274744,0.008300793,0.0
Hivep2,0.4397197,0.4327545,0.50203633,0.63251567,0.6342385,0.22579879,0.21622047,0.24033539,0.33531478,0.30296078,0.37004468,0.2939552,0.28446522,0.34214944,0.2823542,0.2563141,0.33096242,0.2842994,0.24790722,0.3450334,0.56414455,0.5956289,0.5557803,0.396648,0.5127173,0.39396742,0.5573467,0.55727005,0.5508409,0.45731387,0.4574309,0.47126442
Fkbp5,0.23250031,0.31311533,0.32278624,0.157266,0.15682168,1.2210274,1.2397358,1.3291337,0.83756906,0.720213,0.9635432,1.1011467,1.0906647,1.1543784,1.1396384,1.086048,1.239674,0.8740245,0.87714213,0.8688216,0.6297917,0.56003404,0.6483238,1.1231132,0.65768325,1.1338621,0.401229,0.39679924,0.6745567,0.392701,0.39286974,0.36098072
Cenpk,0.020255987,0.047845904,0.0,0.013893785,0.013482364,0.38802433,0.39446777,0.4165762,0.2933023,0.29374307,0.29282916,0.3167249,0.31701976,0.31522757,0.44740644,0.43413144,0.47218645,0.25941035,0.27107882,0.23993716,0.09530956,0.10653386,0.09232766,0.12251147,0.08520998,0.123372935,0.03704175,0.036757737,0.057623543,0.041027203,0.041066416,0.04285544
Ifngr1,1.3102965,1.4393493,1.1384519,3.0127194,3.010904,1.7247233,1.6688949,1.6541013,4.256006,4.171449,4.3467717,3.040777,2.9404497,3.5502818,2.5630417,2.4224362,2.825505,3.0549097,2.8617969,3.377191,1.9685407,2.5824924,1.8054357,4.653893,4.4288635,4.65909,4.5369787,4.5366116,4.6136193,3.6322322,3.63075,4.117422
Itgb1,0.46185526,0.67779607,0.32667965,0.6665887,0.65960485,2.545468,2.452262,3.2524002,4.1113305,3.0460107,5.2548814,2.8885772,2.6195667,4.2547293,2.8000946,2.2761166,3.7781868,3.503287,2.7268643,4.799039,8.838694,8.455932,8.94038,3.5949736,2.844504,3.6123054,7.017948,7.035635,5.7375336,9.498046,9.504692,6.931301
Rai1,0.37700683,0.30600107,0.32641223,0.20524354,0.20527339,0.09240675,0.09191048,0.08811502,0.08566603,0.08635053,0.08493127,0.076746225,0.07903418,0.065126985,0.09055325,0.088677905,0.09405388,0.061143573,0.060071245,0.062933154,0.111483,0.12341842,0.10831219,0.07691845,0.12516576,0.0758042,0.14968102,0.15077032,0.077858254,0.13123894,0.13152741,0.05939758
Slamf1,0.044642735,0.068765156,0.080101,0.08946801,0.08989789,0.13240547,0.13434362,0.13775878,0.23763795,0.19855706,0.2795887,0.18321635,0.17151096,0.24266139,0.19888708,0.18034777,0.23349378,0.21451841,0.18243456,0.26806232,0.18707053,0.15562198,0.19542529,0.34128842,0.32445478,0.3416772,0.24310927,0.2428992,0.2528162,0.21845494,0.21845719,0.18310076
Smad3,0.15623401,0.12951078,0.0,0.19745617,0.19732726,0.13427955,0.13675207,0.08652332,0.18994412,0.2363528,0.14012745,0.20096906,0.21321231,0.13879248,0.16893694,0.18514368,0.13868435,0.18624094,0.18595766,0.1867137,0.208424,0.28471294,0.18815677,0.17309321,0.20658173,0.17231981,0.32015368,0.32118642,0.25892144,0.48053297,0.48029575,0.43549657
Thra,0.1201973,0.062122453,0.078160174,0.049291175,0.04958811,0.017108534,0.017149663,0.01726105,0.0041638534,0.005690547,0.0025250483,0.012808112,0.0140353665,0.0065755905,0.011559411,0.013641865,0.007672163,0.0069836588,0.007881205,0.0054857675,0.014021868,0.019582016,0.012544736,0.007452821,0.0016588771,0.00758663,0.0114661725,0.011437729,0.013958342,0.009548062,0.009578119,0.0
Gtf2i,1.3090819,1.4669021,1.4861355,1.8538976,1.8548695,0.70058626,0.6872666,0.5680243,0.89626026,0.9255039,0.8648691,0.8416667,0.8570525,0.76353085,0.7999059,0.79573244,0.8076963,1.0992652,1.0681063,1.1512654,1.2932557,1.7872607,1.1620163,1.2505115,1.784042,1.2381898,2.260403,2.2678335,1.7442954,2.482311,2.4838912,1.6411116
Igf2r,0.34654126,0.2562354,0.14470139,0.4106895,0.40978158,0.31488603,0.30747634,0.2844989,0.54808754,0.5336961,0.5635357,0.50093484,0.49955645,0.50793475,0.56231815,0.56326413,0.5605523,0.56318134,0.5573176,0.5729671,0.61862755,0.63938934,0.61311185,0.7450612,0.7449604,0.74506354,0.99396664,0.99413025,1.0121964,0.6749612,0.6747834,0.82012504
Ncam1,0.0,0.0,0.0,0.0,0.0,0.0013868738,0.0014848703,0.0009040069,0.005164694,0.0044355127,0.0059474227,0.0036420554,0.0029394187,0.007210349,0.004255431,0.003897099,0.0049243164,0.0035771518,0.0031776128,0.0042439317,4.4470617e-05,0.0,5.6284865e-05,0.008511489,0.0,0.00870806,0.0013671902,0.0013893167,0.0,0.00058052066,0.00058234815,0.0
Gtf2a2,1.0469391,0.95822275,0.946421,0.8065866,0.80598074,1.0607551,1.0490184,1.1624393,0.990008,0.91815144,1.0671413,0.92358977,0.9084144,1.0006566,0.94231486,0.9323933,0.96083516,0.8910005,0.87873435,0.91147125,1.07616,1.0826385,1.0744388,0.97136074,0.867125,0.973768,0.82027286,0.82114553,0.77231276,0.8556845,0.8555753,0.79163444
Hivep3,0.10768566,0.07079529,0.0,0.036208574,0.036150496,0.0654153,0.05775394,0.11174311,0.11302449,0.036535285,0.1951306,0.05398792,0.03848921,0.13269705,0.09013277,0.048819948,0.16725005,0.061834853,0.029671812,0.11551092,0.22407907,0.11176117,0.2539179,0.24423897,0.23460779,0.2444614,0.01808659,0.016711138,0.09382576,0.017680587,0.017736245,0.0
Mbd4,0.078541204,0.07960738,0.21022856,0.031220937,0.031088185,0.16730028,0.16796444,0.17500748,0.1545015,0.14143772,0.16852462,0.15747823,0.15764973,0.15660734,0.20291711,0.21041891,0.18891376,0.14110477,0.153474,0.12046209,0.06835373,0.087272435,0.0633277,0.08735349,0.031740066,0.088637866,0.051289067,0.051086057,0.05547088,0.06910499,0.0692487,0.0
Per1,0.13345456,0.14893837,0.0,0.33758512,0.33831298,0.09694376,0.092345215,0.087333515,0.12733808,0.1289657,0.12559094,0.11701313,0.116171025,0.12128968,0.12937087,0.1218905,0.14333421,0.12639183,0.12341949,0.13135229,0.2734839,0.3093385,0.26395863,0.1269598,0.1981478,0.12531574,0.27973166,0.28046075,0.2299252,0.2259772,0.22559424,0.41203853
Zfp422,0.12596987,0.091150455,0.23132806,0.08395069,0.08394316,0.060556136,0.061230518,0.05639546,0.038967464,0.035441484,0.04275237,0.05179893,0.053410143,0.0436165,0.055660035,0.05878083,0.049834557,0.04576256,0.045853645,0.04561056,0.05816811,0.04332654,0.06211098,0.04684845,0.03506014,0.047120698,0.04175335,0.04188514,0.035477363,0.054618716,0.05467582,0.05471625
Ikbkb,0.7019755,0.6988172,0.32995504,0.5801524,0.57810307,0.22355954,0.20961279,0.22806297,0.2313935,0.23164175,0.23112702,0.22719316,0.22708425,0.22774628,0.19851212,0.19134296,0.21189454,0.2421537,0.2433555,0.24014808,0.31104633,0.37021154,0.29532826,0.40443784,0.40962702,0.404318,0.42456886,0.42618555,0.31248116,0.4000072,0.39970315,0.5669639
Atp1b3,4.8520904,4.3873405,4.1542106,5.4527426,5.4560766,3.9419723,3.9933035,3.2886136,4.402665,4.6230645,4.1660805,4.834738,4.9972706,4.0093274,4.5691385,4.72144,4.284843,5.0272017,5.256624,4.644325,4.5060515,5.0245256,4.3683114,5.458103,3.598918,5.5010405,5.813928,5.8226466,5.1528687,7.2368183,7.239563,5.7684836
Espl1,0.0035257314,0.052736744,0.0,0.015167305,0.0152586745,0.1696599,0.17463346,0.16888332,0.41151556,0.3913595,0.43315175,0.31162572,0.29998294,0.37075287,0.13068558,0.13247663,0.12734231,0.09604434,0.10632415,0.078888625,0.041865535,0.05476078,0.038439732,0.02696557,0.018172197,0.02716865,0.012231304,0.012042801,0.020419484,0.014200123,0.014157254,0.0
Ecd,0.2449057,0.17272869,0.21802366,0.1668951,0.16676809,0.34158334,0.3415808,0.38393912,0.24949117,0.24332434,0.25611085,0.2780428,0.2730478,0.30340955,0.26212144,0.26182777,0.26266962,0.26487526,0.2642666,0.26589102,0.261025,0.24285081,0.26585326,0.20510508,0.1664402,0.20599803,0.20674862,0.2069532,0.19300298,0.2591023,0.25926292,0.2274169
Cd68,0.054166164,0.08268349,0.0,0.054351892,0.053862393,0.0940805,0.09264869,0.10668465,0.19695096,0.20495966,0.18835415,0.15628445,0.1527978,0.1739912,0.17289558,0.16754718,0.18287925,0.20088321,0.19624755,0.20861955,0.28990784,0.19008482,0.31642726,0.1768924,0.2957809,0.17414671,0.20928743,0.20844838,0.2714402,0.22068043,0.22075565,0.16466743
Tnfaip3,0.50931305,1.363841,0.1524814,3.5414321,3.5558126,1.2868518,1.295681,1.1499087,2.663656,2.543919,2.7921855,2.1556916,2.0887961,2.4954152,2.0197809,1.8110689,2.4093764,2.0219138,1.7809677,2.4240222,3.253753,3.6732137,3.142317,1.7468454,2.8611739,1.7211103,4.7573376,4.766669,4.1333055,4.7623734,4.7650647,4.9851832
Fubp1,0.860656,0.7482157,0.35465053,0.5707067,0.57166845,0.9592995,0.94995505,1.1310337,0.53637034,0.49714494,0.57847625,0.71322685,0.69816333,0.78972566,0.74888015,0.72283995,0.7974885,0.5842865,0.56963515,0.60873777,0.66419166,0.66247004,0.664649,0.6434789,0.6627981,0.64303267,0.48150194,0.4795729,0.620334,0.3418174,0.34106857,0.6101572
Ets2,0.118296444,0.19873755,0.14932904,0.16738693,0.16799745,0.08838014,0.08675604,0.09893445,0.050676633,0.055154555,0.04586988,0.06580108,0.06739035,0.05773007,0.080093406,0.08457306,0.07173139,0.072565526,0.07888808,0.062013973,0.05378422,0.05948856,0.05226878,0.053894166,0.04944096,0.053997014,0.050580412,0.0506016,0.05200842,0.033464357,0.033469804,0.0476018
Top2b,2.5904312,1.8791264,2.2435951,1.6699244,1.6686326,1.2579353,1.2356817,1.3201833,1.5589455,1.4753962,1.6486304,1.4646521,1.4292691,1.6443422,1.2941022,1.2020825,1.4658722,1.2430215,1.2245926,1.2737772,1.6646949,1.8143437,1.6249385,1.4552982,1.7319794,1.4489083,1.9173256,1.9191314,1.8167039,1.8955338,1.8968313,1.4124635
Zfp143,0.19707364,0.16283107,0.14524946,0.097339526,0.09657652,0.1519046,0.15133087,0.14641428,0.21028122,0.21231258,0.2081007,0.17710364,0.17391935,0.19327489,0.14200358,0.13660616,0.15207876,0.12136547,0.12139876,0.12130993,0.13944893,0.15120094,0.13632683,0.10513031,0.10554446,0.10512074,0.14706002,0.14810926,0.083349735,0.15862994,0.15880719,0.07436672
Fosl2,0.14071202,0.27526796,0.085427225,0.5558425,0.5575626,0.10593458,0.099595316,0.09145466,0.09179679,0.08556278,0.0984886,0.13233288,0.14085348,0.08906157,0.10775991,0.10375797,0.11523018,0.106050156,0.11033764,0.09889489,0.20700593,0.24874456,0.19591747,0.21642049,0.21389842,0.21647874,0.31356135,0.31559005,0.15708195,0.4599905,0.46015725,0.57195467
Kdm3a,0.24734172,0.1973744,0.15848303,0.28483987,0.28474155,0.122469224,0.11979728,0.1171335,0.14365688,0.1408955,0.14662103,0.13587566,0.13718098,0.1292466,0.110038824,0.11387866,0.10287112,0.1364188,0.13321356,0.14176793,0.15931885,0.16062869,0.15897086,0.26041338,0.11935167,0.26367116,0.24413818,0.24520135,0.1726516,0.29159674,0.29165873,0.36928117
Il23r,1.1027383e-05,0.0008288916,0.0,0.0010977911,0.0011044043,0.002984498,0.002738882,0.0058372472,0.0027861746,0.0010773045,0.004620534,0.0025284134,0.0023982148,0.0031896187,0.00084093784,0.0006091316,0.0012736429,0.00041556903,0.00044834433,0.0003608712,0.03654388,0.019469231,0.04108,0.001004074,0.0,0.0010272628,0.00069052033,0.00070169574,0.0,0.0,0.0,0.0
Klra4,0.0,0.0,0.0,0.0,0.0,0.0011918134,0.0006692034,0.00048653636,0.004658681,0.006394571,0.0027953172,0.0033794527,0.004044905,0.0,0.0022574107,0.00288979,0.001076969,0.003537081,0.0055445917,0.00018679822,0.0,0.0,0.0,0.00046859746,0.0,0.00047941957,0.0019567818,0.0019819243,0.00042564215,0.049007244,0.04916152,0.0
Kmt5c,0.097548075,0.098425716,0.0,0.11846618,0.118826345,0.07604032,0.075697124,0.073079176,0.11323659,0.10620232,0.12078742,0.09866079,0.096727334,0.10847969,0.089229055,0.08472634,0.097634114,0.07253316,0.06723588,0.08137364,0.111731976,0.08520677,0.11877878,0.0691005,0.07420609,0.068982586,0.06647318,0.066098064,0.08493289,0.07688904,0.076845504,0.09902752
Nfe2l1,0.24588078,0.21948434,0.12805645,0.22884868,0.22874272,0.20964341,0.20227422,0.2230644,0.1807308,0.16446567,0.19819038,0.20800121,0.20279333,0.23444907,0.14597744,0.13887161,0.15924168,0.18473276,0.18330528,0.18711506,0.19877876,0.17415877,0.2053194,0.2369176,0.28318784,0.235849,0.25046265,0.25094545,0.21550539,0.257275,0.25713998,0.26334882
Parp1,0.21191041,0.25931105,0.2975789,0.27980167,0.28120577,0.7188028,0.73289186,0.7506504,0.35640648,0.33136788,0.38328373,0.55897385,0.55369455,0.5857845,0.48764333,0.47800273,0.5056391,0.36950225,0.3886348,0.3375724,0.36004353,0.3791401,0.35497025,0.21328682,0.25605503,0.2122991,0.17384562,0.17333008,0.20208184,0.26238295,0.2621826,0.31205234
Phf14,0.8633907,0.83663,0.9899861,0.71892947,0.71804094,0.56586105,0.5528069,0.5845988,0.76152265,0.7305425,0.7947778,0.65086234,0.6420699,0.6955143,0.6198066,0.6143124,0.63006234,0.64359385,0.60736185,0.70406044,0.62720096,0.67894787,0.6134537,0.7361556,0.63322556,0.7385328,0.8336673,0.8349189,0.7094831,0.8775413,0.8778553,0.8260979
Brd1,1.40377,1.4058098,1.1464914,1.6202525,1.6208841,1.0600799,1.0556598,0.99279547,0.85765624,0.85931575,0.85587496,0.9484814,0.95965654,0.8917293,0.94178283,0.9426856,0.94009775,0.82248056,0.8289338,0.81171095,0.9590053,1.0448645,0.93619555,1.0120577,1.0076635,1.0121592,1.228335,1.2303853,1.0207039,1.4835852,1.4832797,1.3898808
Cbx3,0.12640467,0.1572153,0.068985164,0.08601887,0.08596493,0.27032426,0.27320114,0.2815602,0.28184134,0.29548982,0.2671906,0.24289273,0.24013603,0.25689244,0.25717804,0.26610973,0.24050549,0.2201603,0.22341312,0.21473175,0.13117793,0.15921944,0.123728305,0.14823626,0.073075436,0.14997208,0.09152178,0.09148796,0.082669005,0.09581832,0.09574947,0.12683064
Ncr1,0.0,0.0,0.0,0.0,0.0,0.004217283,0.0042414004,0.005083862,0.0003891327,0.0006436399,0.000115935996,0.0063987426,0.0076587265,0.0,0.0015318249,0.0023524456,0.0,0.0012710444,0.0020326623,0.0,0.0,0.0,0.0,0.00013930157,0.0,0.0001425187,0.0036149793,0.003673484,0.0,0.0027246769,0.002733254,0.0
Wbp11,0.7485376,0.8818231,0.41729185,0.89420074,0.89619535,1.2185816,1.2295194,1.2575054,1.175851,1.1609877,1.1918056,1.1785637,1.1626164,1.2595516,1.0271147,1.0102361,1.0586214,0.8579438,0.902113,0.7842309,0.6859668,0.7570091,0.6670934,0.6048141,0.61293745,0.60462654,0.66238713,0.66455656,0.51201874,0.6996019,0.69915354,0.798124
Xpc,0.26453176,0.25832117,0.1939345,0.18565597,0.18537822,0.079978235,0.07547752,0.06417926,0.051951826,0.058077592,0.04537622,0.06879633,0.069462955,0.06541094,0.06986858,0.07010331,0.06943041,0.061095648,0.062247265,0.059173744,0.09245565,0.11020061,0.08774145,0.09629263,0.1043364,0.096106865,0.1181677,0.11833441,0.10913335,0.13413267,0.13413769,0.12871227
Mbd2,1.9380662,2.0390205,1.430259,1.974538,1.9744732,3.7879775,3.8470502,3.697443,3.9482496,3.901848,3.9980583,3.5560007,3.5607393,3.531937,3.4976456,3.470976,3.547429,3.9787064,3.9510846,4.0248036,3.0489202,3.3305254,2.9741075,4.3922076,4.205016,4.396531,4.3251925,4.3289423,4.010681,4.2862053,4.2847147,4.733898
Tardbp,0.23679096,0.25722036,0.3874484,0.21774565,0.21794657,0.42860395,0.4342146,0.4245081,0.27484512,0.2552498,0.29587942,0.3334756,0.3365603,0.31781006,0.3117482,0.31980583,0.29670733,0.24508172,0.26934308,0.20459254,0.23511755,0.24725199,0.23189387,0.20601371,0.16512585,0.20695801,0.20445873,0.20537409,0.14694016,0.2312591,0.23118731,0.23167738
Nfatc3,0.9849061,0.80571955,1.3944622,0.88648814,0.8848445,0.78405595,0.7772002,0.7323725,0.9834495,1.0005329,0.9651117,0.95750254,0.9625051,0.9320974,0.96473783,0.9606333,0.97239965,0.99551815,0.99020165,1.0043907,0.9241759,1.151803,0.86370355,1.0348084,0.98416203,1.035978,1.5372216,1.5395743,1.3096747,1.8809671,1.8821003,1.3306491
Tcf7,6.661544,5.824998,6.2764077,6.3154616,6.325506,0.61780435,0.49341857,0.7303552,0.50231737,0.25152987,0.7715213,0.44988775,0.48334095,0.27999786,0.37822455,0.28701887,0.5484752,0.26249003,0.1923793,0.379496,5.0043426,4.962895,5.015354,0.11931724,0.07904389,0.12024734,1.3990983,1.4118193,0.6096497,0.44071835,0.4411474,0.31355795
Brd7,0.9420804,0.76501274,1.03029,0.45790878,0.45590046,0.63464046,0.62953055,0.67440236,0.63297355,0.61445105,0.6528563,0.6081745,0.60199535,0.63955486,0.5320409,0.5150905,0.56368166,0.5520389,0.56531876,0.52987653,0.54264987,0.526969,0.5468157,0.502159,0.47666973,0.50274765,0.5036277,0.5023921,0.5741753,0.48981485,0.4901286,0.4367104
Mcm5,0.23698296,0.49352995,0.2267739,0.22862217,0.22724532,2.8620791,2.9225078,2.952597,2.054281,2.162972,1.9376081,2.6084557,2.6252267,2.523285,3.274423,3.2698896,3.2828848,1.9488292,2.0631185,1.7580947,0.88791245,0.94414693,0.87297297,1.080456,0.8587078,1.0855771,0.33587864,0.32982835,0.73834515,0.19665311,0.1956572,0.5981828
Csf1r,0.0036740096,0.0,0.0,0.0023393005,0.0023533928,0.01781994,0.016050246,0.03692454,0.0021098948,0.001962708,0.0022678901,0.022899095,0.020891484,0.03309461,0.0003916208,0.0005468738,0.00010181517,0.0032250823,0.0028511402,0.0038491448,0.0049042758,0.0065866946,0.0044573178,0.006394319,0.0,0.0065419935,0.0023707729,0.0024091415,0.0,0.0008706111,0.00087335176,0.0
Tox2,0.00035714632,0.011701294,0.0,0.0032108515,0.0032301939,0.018747423,0.012098872,0.08019543,0.047542814,0.014182573,0.083352834,0.016882466,0.01038434,0.049882762,0.028252842,0.013678532,0.05545822,0.015833009,0.008401983,0.028234454,0.23340619,0.097966775,0.26938757,0.13224721,0.04872174,0.13417621,0.004026745,0.0034135487,0.04424449,0.0017698989,0.0017754704,0.0
Paxip1,0.21978997,0.23208317,0.13587138,0.14013131,0.14026757,0.4441755,0.45092487,0.48652598,0.38271415,0.36647546,0.4001453,0.409538,0.40916678,0.41142327,0.5397777,0.5220643,0.5728428,0.31640315,0.32607424,0.3002633,0.21944948,0.2193674,0.21947128,0.28711048,0.18206978,0.28953636,0.17521615,0.17453015,0.21138777,0.19933872,0.19891044,0.41805154
Zdhhc16,0.12915438,0.091436125,0.14800204,0.054685373,0.054378793,0.25655815,0.25741068,0.27564898,0.2179243,0.20906523,0.22743393,0.23512268,0.23277682,0.24703597,0.24615942,0.2522845,0.2347259,0.201014,0.19871967,0.20484295,0.1625737,0.1501206,0.16588204,0.2509962,0.21980566,0.25171655,0.15307598,0.15266886,0.1812396,0.16817291,0.16818303,0.21640585
Gata3,0.37908503,0.26885346,0.32045484,0.23981573,0.23831418,0.25806093,0.24709578,0.26993486,0.52274466,0.5137307,0.5324205,0.39236185,0.37627602,0.4740527,0.30986008,0.28926393,0.34830627,0.35636327,0.3397439,0.3840989,0.30433738,0.35418817,0.2910938,0.38821054,0.34375355,0.38923725,0.5299221,0.53135353,0.43164483,0.43694875,0.43694106,0.47018173
Ercc2,0.09388039,0.09523328,0.06780311,0.08935867,0.08898783,0.07233337,0.07037149,0.077208385,0.052596983,0.04406762,0.061752684,0.060045626,0.060921032,0.055599935,0.067100786,0.069641575,0.06235798,0.06666164,0.06740242,0.065425366,0.07569087,0.08675075,0.07275266,0.081914335,0.06242444,0.08236445,0.09524361,0.09514229,0.09636701,0.11143908,0.11146204,0.1214104
Nfic,0.29010564,0.22998282,0.4439196,0.09735578,0.09462274,0.19181426,0.1872622,0.14817424,0.29412514,0.27902958,0.31032926,0.22806196,0.2311981,0.2121353,0.22010101,0.21063213,0.23777623,0.20686848,0.2174534,0.18920359,0.17159688,0.17288633,0.17125432,0.43636802,0.2456135,0.44077343,0.35269198,0.35308805,0.26834297,0.6976073,0.69724864,0.62378895
Sub1,4.632803,5.159615,3.6319413,6.1450534,6.1421947,14.968259,15.233599,14.508575,19.36922,19.203087,19.547554,17.097147,16.869432,18.25358,18.717678,18.165176,19.749014,19.146433,18.495192,20.233273,14.054299,13.253438,14.267059,22.229095,26.556507,22.129156,16.948345,16.875246,21.96037,11.949519,11.945999,13.555508
Arid5b,0.60516304,0.4296194,0.58469975,0.59415543,0.59611344,0.16629048,0.15963092,0.1515857,0.37332156,0.33803532,0.41119903,0.27281317,0.27068064,0.28364313,0.25695547,0.2335511,0.30064362,0.25131756,0.23252784,0.2826753,0.5407213,0.53668964,0.5417924,0.47207278,0.62769353,0.46847877,0.5580921,0.55724764,0.6028714,0.5823048,0.5826632,0.40645325
Ciita,0.004444256,0.0,0.0,0.0,0.0,0.007643707,0.006987506,0.013173661,0.0031490063,0.001645811,0.0047625876,0.00693384,0.0064084968,0.00960176,8.412905e-05,8.293504e-05,8.6357875e-05,0.0008380543,0.001102959,0.00039596157,0.004529932,0.00452356,0.0045316247,0.003623548,0.0,0.0037072327,0.0040926486,0.0040878677,0.004631835,0.0008902598,0.00089306233,0.0
Fus,1.2202173,1.1771429,1.0729846,1.2559861,1.2570578,1.5826628,1.60018,1.5845398,1.5695168,1.5577344,1.5821643,1.585032,1.5965259,1.5266607,1.6553534,1.669223,1.6294634,1.4879427,1.5021924,1.4641619,1.143335,1.3007424,1.1015176,1.1373272,1.308451,1.1333752,1.2286805,1.228965,1.1797194,1.0601408,1.0595207,1.3166945
Crebzf,0.43593943,0.40908718,0.31717265,0.340026,0.34000325,0.1923466,0.1900255,0.19416054,0.24634886,0.24067986,0.25243416,0.20435485,0.20466945,0.20275718,0.2353585,0.22113383,0.26191124,0.20863195,0.20171982,0.2201674,0.2745747,0.24223508,0.28316617,0.37143135,0.26735228,0.37383503,0.31571388,0.3163909,0.26555818,0.3295546,0.32977507,0.1820597
Tbx21,0.020237092,0.044879943,0.0,0.10843126,0.107375816,0.5252931,0.53911895,0.4027488,0.65431887,0.697741,0.60770816,0.6023114,0.6090982,0.5678449,0.63084894,0.67586225,0.5468241,0.5869484,0.60802996,0.55176604,0.45075446,0.511185,0.43470025,0.9580644,0.51823825,0.968222,0.8567755,0.8599282,0.57196075,1.4637501,1.4644932,1.2499585
Lgals9,0.68153846,0.580736,0.3615837,0.5182399,0.5170216,0.4560934,0.44860384,0.47810054,0.69870573,0.70959604,0.6870157,0.6035864,0.5951841,0.6462568,0.6360473,0.62110597,0.66393787,0.78370386,0.75479734,0.83194524,0.9296099,0.7590645,0.9749177,0.8723774,0.8939411,0.8718794,0.90911794,0.9071551,1.0351709,0.8452156,0.8455471,0.7373455
Fmr1,0.30732077,0.3542828,0.5204818,0.4108762,0.4107229,0.8598186,0.87669915,0.8408148,0.7611725,0.7678297,0.7540263,0.7659932,0.7665602,0.7631135,0.8236994,0.81822026,0.8339271,0.680454,0.71185607,0.6280479,0.5194142,0.51292044,0.5211393,0.48856091,0.49777034,0.48834822,0.511671,0.51267517,0.4580075,0.568078,0.56720793,0.8579266
E2f3,0.049398273,0.02661758,0.0,0.029390479,0.028684422,0.32213566,0.3285247,0.32601783,0.21247408,0.2191668,0.20528989,0.23038167,0.2323763,0.22025199,0.34805572,0.35185736,0.34095937,0.21355225,0.22524528,0.19403803,0.11763294,0.1194728,0.11714415,0.16337237,0.12102169,0.16435045,0.10248044,0.1011442,0.17377383,0.089173734,0.08932827,0.060127355
Cbx1,0.50280774,0.54301375,0.34757963,0.33884242,0.3389483,1.2532111,1.2745979,1.2918842,1.1717741,1.1121417,1.2357855,1.1094795,1.0920796,1.1978434,1.1346194,1.1151776,1.1709106,1.0099497,1.0038397,1.0201465,0.65062594,0.61825234,0.6592265,0.55909085,0.53744364,0.5595908,0.45185685,0.44967794,0.5748264,0.46952075,0.46958798,0.3579815
Phf1,0.48277307,0.4951464,0.42411798,0.41094854,0.4106617,0.09625268,0.08392773,0.061671678,0.09606408,0.08011421,0.11318523,0.09360201,0.09548396,0.08404465,0.06961606,0.065487035,0.07732356,0.08528631,0.07871132,0.09625915,0.11913809,0.15644476,0.10922705,0.14511746,0.14992167,0.14500651,0.32169804,0.32260713,0.21570791,0.49899673,0.49864653,0.5740919
Mvp,0.11735036,0.084539674,0.07116887,0.12612563,0.12635067,0.10329607,0.1008017,0.10560199,0.11404512,0.11355942,0.11456649,0.13333482,0.13259643,0.13708459,0.10098782,0.09740761,0.10767087,0.1441798,0.15018332,0.13416071,0.1339352,0.14025322,0.13225673,0.15315613,0.16446489,0.15289496,0.15311359,0.15278548,0.16840051,0.11706758,0.116669126,0.19921434
Stat2,0.18641104,0.21746407,0.3945461,0.19213998,0.19264658,0.0493203,0.044757582,0.063161045,0.12624846,0.09918641,0.15529779,0.07495173,0.06867232,0.10684128,0.048403516,0.043179743,0.058154564,0.071981914,0.0708066,0.073943384,0.1680398,0.14625274,0.17382783,0.2260326,0.11811679,0.22852488,0.15908559,0.15894017,0.16521713,0.09511136,0.0950674,0.1218908
Il6st,1.4903198,1.1811591,1.463015,0.586094,0.58687323,0.046596333,0.037869543,0.048152015,0.067806564,0.051191915,0.085641295,0.045230716,0.04209511,0.061154675,0.048456088,0.035485715,0.07266746,0.054971635,0.04698644,0.06829792,0.17416394,0.14505112,0.18189818,0.075317405,0.051438965,0.075868875,0.07466034,0.07484081,0.0670373,0.034414936,0.03448839,0.016620418
