All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Satb1,0.2080995541671858,Jmy,0.20584316828432955,Zbtb20,0.1937810933668816,,,
Itga2,0.2065551642116437,Tnfsf8,0.20558811699036483,Ebf1,0.19319365355543325,,,
Tnfsf11,0.20582457674588597,Zhx2,0.20375462538217132,Apex1,0.18863347517696163,,,
Il6st,0.2047509737419209,Igf1r,0.20244382192864513,Il6ra,0.18760824009548327,,,
Smyd2,0.20387959457292884,Fosl2,0.20081203905463368,Tlr1,0.18420798494911936,,,
Elf4,0.20363188259797135,Treml2,0.20064426841944516,Sell,0.1839532672795172,,,
Fos,0.2021043017905958,Adam8,0.19880555863584196,Dpp4,0.1780191660387479,,,
Myc,0.20092974751479367,Tlr1,0.19622131734487186,Tfdp2,0.17646597841902484,,,
Irf8,0.2001748946886657,Maff,0.18779952949515166,Il7r,0.16921532673635314,,,
Eif2ak2,0.19984540965258515,Scml4,0.18071136965897416,Klrg1,0.16798858102390066,,,
Maf,0.1972391638083976,Tox,0.17347730652896876,Cd200,0.16655279049718055,,,
Ncor1,0.19712909153103317,Ikzf2,0.17344669334135096,Cd74,0.1600566327638338,,,
Spn,0.19660391540133895,Pml,0.1724699887865652,Igf1r,0.15833506759094618,,,
Cd83,0.1950338803815884,Itga2,0.17010103275403524,Trp73,0.13764449564082468,,,
Adam8,0.1926918635190343,Ruvbl1,0.1694013343291392,Csf1r,0.1063228979910754,,,
Fosl2,0.19156862874552907,Cxcr5,0.16723335424725494,Ifngr2,0.08313318173229428,,,
Crtam,0.19078138686877658,Taf4b,0.161175509191924,Rel,0.07760257139344184,,,
Il4ra,0.18865543152202727,Ppargc1b,0.1610274444378324,Dach1,0.05272876087613503,,,
Foxp1,0.18395840454854592,Zeb1,0.15967910941952512,Cd300c2,0.04984424907086169,,,
Pml,0.1822365782336295,Cd9,0.15927704669915446,Padi4,0.03378182438396627,,,
Tlr1,0.17726060293687917,Lef1,0.15880223036016738,Ly86,0.02132129824944078,,,
Pou2af1,0.1758302189134554,Cd83,0.1410801563469928,H2-Ab1,0.009157768088396172,,,
Scml4,0.1711069383598341,Nt5e,0.13884543953089767,Klra1,0.004212328111167731,,,
Ruvbl1,0.16713774525405714,Cxcr4,0.13860631757541034,Fcgr1,0.002352225886857856,,,
Nt5e,0.1664492006053035,Lag3,0.1377074759420627,H2-Eb1,0.001513542944686707,,,
Smad1,0.16119436090829956,Smad1,0.1297663837087336,Ifi204,0.00024190761546908932,,,
