ID,count
ENSMUSE00001327913,1
ENSMUSE00001322052,1
ENSMUSE00000702429,62
ENSMUSE00000359134,25
ENSMUSE00001324966,1
ENSMUSE00000866389,1
ENSMUSE00000307757,17
ENSMUSE00001322050,0
ENSMUSE00001335804,3
ENSMUSE00000869172,13
ENSMUSE00000154283,13
ENSMUSE00001337510,0
ENSMUSE00000783693,12
ENSMUSE00001250100,12
ENSMUSE00001323225,12
ENSMUSE00001335002,1
ENSMUSE00001057894,0
ENSMUSE00000552033,0
ENSMUSE00000801083,0
ENSMUSE00001043125,1
ENSMUSE00000604341,1
ENSMUSE00000777650,0
ENSMUSE00001080066,0
ENSMUSE00000812190,4
ENSMUSE00000746613,0
ENSMUSE00001159547,7
ENSMUSE00001335324,1
ENSMUSE00001166640,0
ENSMUSE00000848063,0
ENSMUSE00000522630,0
ENSMUSE00001299960,1
ENSMUSE00000522792,0
ENSMUSE00001325996,0
ENSMUSE00001141295,2
ENSMUSE00001329771,10
ENSMUSE00000843988,19
ENSMUSE00000828983,38
ENSMUSE00000415509,19
ENSMUSE00001341802,0
ENSMUSE00001339614,0
ENSMUSE00001341604,0
ENSMUSE00001106756,0
ENSMUSE00000779838,31
ENSMUSE00000630577,23
ENSMUSE00000771935,10
ENSMUSE00000824430,0
ENSMUSE00000438739,1688
ENSMUSE00001332512,1000
ENSMUSE00000604180,1699
ENSMUSE00001328337,346
ENSMUSE00000604170,367
ENSMUSE00001325958,1
ENSMUSE00000718074,0
ENSMUSE00000722672,0
ENSMUSE00001343258,2
ENSMUSE00001327480,0
ENSMUSE00000846621,0
ENSMUSE00001335968,8
ENSMUSE00001318485,42
ENSMUSE00001346211,1
ENSMUSE00000515713,0
ENSMUSE00001322232,0
ENSMUSE00000707877,0
ENSMUSE00001317458,0
ENSMUSE00001328586,3
ENSMUSE00001073847,0
ENSMUSE00001331888,33
ENSMUSE00001334083,2
ENSMUSE00001324309,5
ENSMUSE00001335396,0
ENSMUSE00000357611,10
ENSMUSE00001319148,6
ENSMUSE00000155452,0
ENSMUSE00001335421,1
ENSMUSE00001320447,0
ENSMUSE00000974500,1
ENSMUSE00001324636,0
ENSMUSE00000604018,10
ENSMUSE00000710475,1
ENSMUSE00001330080,203
ENSMUSE00001327350,32
ENSMUSE00000314986,68
ENSMUSE00001321831,33
ENSMUSE00001343665,0
ENSMUSE00001345284,5
ENSMUSE00001340606,0
ENSMUSE00001339568,1
ENSMUSE00001340659,1
ENSMUSE00000847905,0
ENSMUSE00001337817,4
ENSMUSE00001336080,16
ENSMUSE00000847260,0
ENSMUSE00001324065,3
ENSMUSE00000522448,0
ENSMUSE00001321351,8
ENSMUSE00000522485,0
ENSMUSE00001331817,1
ENSMUSE00001331516,0
ENSMUSE00001341333,3
ENSMUSE00001344311,3
ENSMUSE00000838203,52
ENSMUSE00000314015,190
ENSMUSE00001291302,60
ENSMUSE00001259247,25
ENSMUSE00000797594,30
ENSMUSE00001341229,0
ENSMUSE00001209361,332
ENSMUSE00001339858,5
ENSMUSE00001370886,163
ENSMUSE00001372034,262
ENSMUSE00001254967,149
ENSMUSE00001343440,0
ENSMUSE00001337074,25
ENSMUSE00001355270,0
ENSMUSE00001240522,20
ENSMUSE00001373845,116
ENSMUSE00001229339,2
ENSMUSE00001321242,8
ENSMUSE00001371641,21
ENSMUSE00001374678,21
ENSMUSE00001318670,2
ENSMUSE00001375945,5
ENSMUSE00001375622,4
ENSMUSE00001337147,1
ENSMUSE00001326203,0
ENSMUSE00000701649,765
ENSMUSE00001329092,136
ENSMUSE00001341456,372
ENSMUSE00001211447,326
ENSMUSE00000732925,231
ENSMUSE00001321276,44
ENSMUSE00001335524,1
ENSMUSE00000998634,51
ENSMUSE00001025700,5
ENSMUSE00001329610,5
ENSMUSE00001320498,1
ENSMUSE00000311532,80
ENSMUSE00001326315,23
ENSMUSE00001331737,1
ENSMUSE00001027644,0
ENSMUSE00000405341,6
ENSMUSE00000481534,6
ENSMUSE00000854019,202
ENSMUSE00000880582,160
ENSMUSE00001274665,105
ENSMUSE00001340650,0
ENSMUSE00001345861,0
ENSMUSE00001301105,139
ENSMUSE00000850464,99
ENSMUSE00001206219,73
ENSMUSE00001382745,4
ENSMUSE00001344290,1
ENSMUSE00000796599,385
ENSMUSE00001330112,491
ENSMUSE00001342290,43
ENSMUSE00001339759,2
ENSMUSE00001338676,2
ENSMUSE00001346153,0
ENSMUSE00000521825,0
ENSMUSE00001323928,1
ENSMUSE00001341798,1
ENSMUSE00001344447,0
ENSMUSE00001345058,0
ENSMUSE00000550610,1414
ENSMUSE00001343269,105
ENSMUSE00001340624,2
ENSMUSE00000751848,1036
ENSMUSE00001224245,1394
ENSMUSE00001245300,1140
ENSMUSE00001257314,1101
ENSMUSE00001289272,1201
ENSMUSE00001289829,1351
ENSMUSE00001339647,516
ENSMUSE00001239587,1351
ENSMUSE00000765983,837
ENSMUSE00001238638,170
ENSMUSE00001340915,0
ENSMUSE00000977912,26
ENSMUSE00000969171,13
ENSMUSE00001339434,1
ENSMUSE00000375113,344
ENSMUSE00001342614,41
ENSMUSE00001342624,38
ENSMUSE00001354901,3
ENSMUSE00000630247,542
ENSMUSE00000755353,279
ENSMUSE00001344435,34
ENSMUSE00000750292,160
ENSMUSE00001340962,7
ENSMUSE00000852680,14
ENSMUSE00000858448,2
ENSMUSE00000664897,0
ENSMUSE00001438047,109
ENSMUSE00000468512,113
ENSMUSE00001340583,84
ENSMUSE00001337141,82
ENSMUSE00001343958,109
ENSMUSE00001344082,21
ENSMUSE00001345772,29
ENSMUSE00001343913,0
ENSMUSE00001338996,11
ENSMUSE00000353369,8363
ENSMUSE00001325922,1669
ENSMUSE00001333040,649
ENSMUSE00001335313,1635
ENSMUSE00001080802,0
ENSMUSE00000716244,46
ENSMUSE00001337870,45
ENSMUSE00000719321,113
ENSMUSE00001343732,10
ENSMUSE00001337052,24
ENSMUSE00001342040,3
ENSMUSE00001339986,12
ENSMUSE00001277770,1
ENSMUSE00001336913,14
ENSMUSE00000229318,20
ENSMUSE00000736703,791
ENSMUSE00000701200,1831
ENSMUSE00001341150,69
ENSMUSE00000701199,1801
ENSMUSE00000865707,922
ENSMUSE00000155872,917
ENSMUSE00000155873,668
ENSMUSE00000772535,45
ENSMUSE00001342528,350
ENSMUSE00000155855,352
ENSMUSE00001304120,278
ENSMUSE00000701079,56
ENSMUSE00000712178,261
ENSMUSE00000852990,1
ENSMUSE00001338178,1
ENSMUSE00001112896,8
ENSMUSE00000800121,20
ENSMUSE00000228153,24
ENSMUSE00000777321,19
ENSMUSE00000814478,19
ENSMUSE00000857048,231
ENSMUSE00000502144,227
ENSMUSE00000467874,115
ENSMUSE00000505735,138
ENSMUSE00000501145,106
ENSMUSE00000852495,21
ENSMUSE00000754691,10
ENSMUSE00000847651,0
ENSMUSE00000384642,2794
ENSMUSE00001337570,2639
ENSMUSE00001344366,242
ENSMUSE00001346057,265
ENSMUSE00001340334,8
ENSMUSE00000829606,3
ENSMUSE00000779002,3
ENSMUSE00000782803,1
ENSMUSE00000818431,4
ENSMUSE00000816873,2
ENSMUSE00001339466,0
ENSMUSE00001341045,1
ENSMUSE00001338084,0
ENSMUSE00001338777,0
ENSMUSE00001342171,0
ENSMUSE00000549700,4
ENSMUSE00000549699,3
ENSMUSE00000226049,136
ENSMUSE00001343964,114
ENSMUSE00000155591,122
ENSMUSE00001340285,33
ENSMUSE00001336273,13
ENSMUSE00000930615,41
ENSMUSE00000382917,89
ENSMUSE00000930865,0
ENSMUSE00000929288,0
ENSMUSE00000700778,1061
ENSMUSE00001342100,884
ENSMUSE00000630206,882
ENSMUSE00001344002,448
ENSMUSE00000522854,1
ENSMUSE00001357648,1
ENSMUSE00000852165,252
ENSMUSE00000311332,252
ENSMUSE00000849758,189
ENSMUSE00001307443,108
ENSMUSE00001189954,1
ENSMUSE00000885771,6195
ENSMUSE00000630194,6116
ENSMUSE00001343348,120
ENSMUSE00001339585,560
ENSMUSE00001345370,52
ENSMUSE00001343785,249
ENSMUSE00000630182,406
ENSMUSE00001345840,101
ENSMUSE00001336165,77
ENSMUSE00001340087,82
ENSMUSE00001344431,64
ENSMUSE00001050618,67
ENSMUSE00001340519,41
ENSMUSE00001336808,10
ENSMUSE00000549428,46
ENSMUSE00001340486,4
ENSMUSE00000549422,20
ENSMUSE00001336664,4
ENSMUSE00001344334,37
ENSMUSE00000630169,271
ENSMUSE00000603332,279
ENSMUSE00001336833,4
ENSMUSE00000929296,6
ENSMUSE00000630167,9
ENSMUSE00000905056,127
ENSMUSE00000359230,194
ENSMUSE00000603290,125
ENSMUSE00000603289,95
ENSMUSE00000870701,13
ENSMUSE00001341482,19
ENSMUSE00000549342,1
ENSMUSE00001336360,1
ENSMUSE00001336955,1
ENSMUSE00001345670,44
ENSMUSE00000427761,25
ENSMUSE00001340064,0
ENSMUSE00001342051,7
ENSMUSE00000700510,23
ENSMUSE00001324758,62
ENSMUSE00001331426,1
ENSMUSE00001335277,1
ENSMUSE00000445251,1
ENSMUSE00001330823,1
ENSMUSE00001319577,0
ENSMUSE00001387452,14
ENSMUSE00001341156,3
ENSMUSE00001338908,0
ENSMUSE00000960849,26
ENSMUSE00000338081,1
ENSMUSE00001321021,0
ENSMUSE00000909138,2114
ENSMUSE00001321872,1978
ENSMUSE00001334369,951
ENSMUSE00001336038,1545
ENSMUSE00000549270,884
ENSMUSE00001363185,81
ENSMUSE00000442105,2
ENSMUSE00001335535,43
ENSMUSE00001032454,42
ENSMUSE00001323253,0
ENSMUSE00000700474,0
ENSMUSE00000847598,0
ENSMUSE00001329950,0
ENSMUSE00000308463,2
ENSMUSE00000155422,290
ENSMUSE00001028331,9
ENSMUSE00001332790,0
ENSMUSE00001324887,1
ENSMUSE00001326088,1438
ENSMUSE00000549175,2221
ENSMUSE00000603227,437
ENSMUSE00000901234,132
ENSMUSE00001341675,28
ENSMUSE00000478027,409
ENSMUSE00001324802,768
ENSMUSE00001341440,30
ENSMUSE00000406786,6
ENSMUSE00001323371,0
ENSMUSE00000858874,2
ENSMUSE00001319127,9
ENSMUSE00001327212,19
ENSMUSE00000847358,0
ENSMUSE00001325132,505
ENSMUSE00000549105,2489
ENSMUSE00001322710,745
ENSMUSE00000306955,2490
ENSMUSE00000306888,247
ENSMUSE00000306810,686
ENSMUSE00001325161,71
ENSMUSE00000799143,23
ENSMUSE00000498926,57
ENSMUSE00000402148,55
ENSMUSE00000700337,20
ENSMUSE00001335371,40
ENSMUSE00001254156,396
ENSMUSE00001284884,210
ENSMUSE00001297078,109
ENSMUSE00001207272,93
ENSMUSE00000854032,5
ENSMUSE00001325481,1
ENSMUSE00000548899,112
ENSMUSE00001256702,112
ENSMUSE00001281192,112
ENSMUSE00001342589,0
ENSMUSE00000868457,0
ENSMUSE00001339374,3
ENSMUSE00001335045,2
ENSMUSE00001329289,4
ENSMUSE00001224969,5
ENSMUSE00001246420,14
ENSMUSE00001318280,0
ENSMUSE00001351284,0
ENSMUSE00001306247,0
ENSMUSE00001322660,3
ENSMUSE00000603085,2
ENSMUSE00000548540,3
ENSMUSE00001325960,1
ENSMUSE00000522480,0
ENSMUSE00001322167,1
ENSMUSE00000846274,0
ENSMUSE00000806956,1860
ENSMUSE00000776099,1860
