gene_names,0,4,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Aco2,0.3301689028739929,0.47026047110557556,0.6180328130722046,0.3088720289290907,2.173931360244751,0.6180328130722046,0.47385251464749306,1.5373787879943848,0.6180328130722046,7.793940045355138e-05,4.334569931030273
Polr3h,0.1250157505273819,0.15322580933570862,0.31437039375305176,0.8354780867607029,0.9312998056411743,0.31437039375305176,1.0,0.42852193117141724,0.31437039375305176,0.33627326089572646,1.2578927278518677
Csdc2,0.0,0.0,0.0,0.8354780867607029,0.4110657870769501,0.0,1.0,0.0,0.0,1.0,0.0
Pmm1,0.4440436065196991,0.5919203162193298,0.5305392742156982,0.5205167250556324,1.8302534818649292,0.5305392742156982,0.5869531500298972,1.286516785621643,0.5305392742156982,0.0005374540313065051,3.829648494720459
Xrcc6,0.17650923132896423,0.19931352138519287,0.19226057827472687,0.8354780867607029,1.2385883331298828,0.19226057827472687,1.0,0.26077139377593994,0.19226057827472687,0.5599100606139298,0.8357213735580444
Desi1,0.1816326230764389,0.3753952383995056,1.1936358213424683,0.07255753139792762,2.9151976108551025,1.1936358213424683,0.04361917917491301,3.0878078937530518,1.1936358213424683,2.7820487280554027e-12,7.532647132873535
Snu13,0.9269973635673523,1.5409066677093506,1.264701247215271,0.00014605165149151692,4.850575923919678,1.264701247215271,0.0010322770449751393,5.114246845245361,1.264701247215271,7.506941889370142e-44,15.642890930175781
Ccdc134,0.03138406202197075,0.0755864828824997,1.3002655506134033,0.8354780867607029,0.8288703560829163,1.3002655506134033,0.3401463193114869,1.8060789108276367,1.3002655506134033,0.0011625208763226388,3.6163461208343506
Srebf2,0.3422388434410095,0.3009432554244995,-0.21689428389072418,0.988149489632242,0.028302889317274094,-0.21689428389072418,1.0,-0.4104631841182709,-0.21689428389072418,0.32089824443010995,-1.2888067960739136
Shisa8,0.0,0.0011491524055600166,20.13296890258789,0.8354780867607029,0.43532538414001465,20.13296890258789,0.6669769932959853,1.0,20.13296890258789,0.4528718835413992,1.0
Tnfrsf13c,0.05916040763258934,0.06023293733596802,0.026702111586928368,0.8354780867607029,0.4946266710758209,0.026702111586928368,1.0,0.02207682467997074,0.026702111586928368,1.0,0.06542733311653137
Cenpm,0.023235052824020386,0.41114354133605957,4.435198783874512,0.0007627886729824559,4.432771682739258,4.435198783874512,1.3758779268447407e-15,11.724746704101562,4.435198783874512,1.1738365004731426e-40,15.960286140441895
Naga,0.03845524042844772,0.04311797022819519,0.168495312333107,0.8666457413403117,0.34637346863746643,0.168495312333107,1.0,0.16834203898906708,0.168495312333107,0.8648819033422797,0.43604031205177307
Pheta2,0.0,0.009782826527953148,23.2288818359375,0.8354780867607029,0.5808830857276917,23.2288818359375,0.06801287051128084,2.624769449234009,23.2288818359375,0.022749349906398215,2.624769449234009
Smdt1,1.678583025932312,1.6426539421081543,-0.06399622559547424,0.9284544307071169,0.21429330110549927,-0.06399622559547424,1.0,-0.3992050588130951,-0.06399622559547424,0.42996337583686134,-1.0916250944137573
Ndufa6,1.1301616430282593,0.912178099155426,-0.49268674850463867,0.8354780867607029,-1.3652774095535278,-0.49268674850463867,0.246292710405219,-2.059004783630371,-0.49268674850463867,4.9589888949082186e-08,-5.888557434082031
Cyp2d22,0.044260453432798386,0.0017757804598659277,-4.6702561378479,0.9831048750856389,0.04851923882961273,-4.6702561378479,0.7016479684663225,-0.9591072201728821,-4.6702561378479,0.0009999825103338023,-3.6735098361968994
Cyp2d26,0.0,0.0,0.0,0.8354780867607029,0.4110657870769501,0.0,1.0,0.0,0.0,1.0,0.0
Tcf20,0.12267646193504333,0.1695583611726761,0.5015647411346436,0.8354780867607029,1.0552934408187866,0.5015647411346436,0.8085606983015774,0.7681981325149536,0.5015647411346436,0.07105794241181818,2.134855031967163
Nfam1,0.0,0.0,0.0,0.8354780867607029,0.4110657870769501,0.0,1.0,0.0,0.0,1.0,0.0
Serhl,0.15223746001720428,0.2034703940153122,0.4565473794937134,0.8354780867607029,0.8315658569335938,0.4565473794937134,0.7503829412850913,0.8689669370651245,0.4565473794937134,0.0510820011215877,2.284069299697876
