UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
31	0
207	0
5	1
4	10
1	3
0	3
44	32
10	33
0	25
13	264
3	0
37	9
0	8
0	8
0	0
0	0
6	0
127	0
17	106
0	106
238	262
0	262
0	262
0	0
0	0
0	1
0	1
1	1
2	13
0	13
2	1
4	4
0	2
1	0
0	3
0	3
9	6
11050	814
1	53
0	46
2	4
2	2
3	2
4	2
1	7
2	560
12	335
41	23
1	0
0	0
1	1
2	6
0	0
4	5
0	2
0	15
0	12
10	772
0	250
37	23
0	0
0	0
0	3
0	0
0	6
0	1
1	11
0	0
1	15
0	6
0	6
1	19
0	14
0	14
2	1015
0	1
0	12
1	1
0	3
0	3
2	0
3	2
0	2
0	9
4	330
0	296
0	57
0	51
0	3
0	2
0	1
0	1
0	1
0	2
0	3
0	0
0	11
1	7
1	23
1	16
0	7
0	3
0	124
0	122
0	1
1	0
0	2
0	2
22	0
7	0
19	0
11	0
22	100
0	28
806	0
32	170
7941	243
18	0
33	0
21	0
8	0
25	0
23	0
1	1
0	1
0	2
0	2
4	12
0	12
16	0
1	3
0	3
0	0
0	0
10	19
0	19
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	2
0	0
0	0
0	0
0	1
1	1
0	1
1	2
0	1
0	2
0	10
23	64
0	1
0	1
1	0
0	2
0	2
26	0
0	3
0	3
53	4
0	5
28	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	4
0	0
0	0
5	10
0	7
3	10
1	0
0	0
0	0
6	25
0	0
4	31
0	151
0	151
16	15
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
1	273
0	233
0	52
38	3
4	52
4	30
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	211
0	211
0	211
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
747	2172
162	1811
0	263
0	0
0	0
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	34
0	0
868	1521
108	197
8	1231
0	888
3	290
0	837
0	0
0	0
0	0
2	311
0	257
0	95
0	85
0	92
4	14
103	36
0	11
0	6
4	2
2	13
0	0
0	2
0	1
4	0
0	7
0	0
0	0
0	3
1	1
0	1
0	3
0	0
0	0
0	0
0	0
0	0
6	23
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
27	59
13	381
0	381
0	0
9	24
0	24
0	0
0	0
0	0
0	0
