wilcoxon,t-test,t-test_overestim_var
Rac2,Mrpl27,Tpi1
Swi5,Fkbp1a,Arpc3
Lsm6,Cox6b1,1810037I17Rik
Phf11b,Arpc4,Tpm3
Eif5a,Ldha,Arhgdia
Cks2,Ccdc50,Dnajb11
Ciao2a,Ezh2,Dap
Psmd13,Phf11b,Krtcap2
Pglyrp1,Sec11c,Selenos
Osbpl3,Tagln2,Nap1l1
Ms4a4b,Ppib,Arpc1b
Sf3b6,Cep55,Mdh2
Mcm5,Eif1ax,Casp3
Atp5a1,Zdhhc2,Dek
Itgb7,Hells,Cdc20
Ptprcap,Smdt1,Cd47
Gmnn,Psmd13,Tpx2
Dap,Dap,Swi5
Rnaseh2b,Adap1,Rrm1
Tubb4b,Pglyrp1,Hmgb3
Edf1,Creld2,Mrpl27
Uqcrq,Carhsp1,Rom1
Eif1ax,Smc2,Tacc3
Nme1,Cbx3,Mad2l1
Dnajc15,Lsm6,Banf1
Mt1,Tipin,Snrpd1
Tyms,Selenos,Hpf1
Mcm3,Dnajb11,Pglyrp1
Dnajb11,Sec61b,Eif4e2
Selenos,H2az2,Dctpp1
Itgb1,Ndufb8,Asf1b
Cisd1,Ciao2a,Hint1
Banf1,Myl12a,Ccnb1
Casp3,Dlgap5,Psmb4
Gnb2,Acot7,Fabp5
Snrpe,Dek,Tmem167
Tpi1,Rdm1,Slamf7
Hnrnpa3,Cox7a2,Ech1
Rasgrp2,Tma7,Jpt1
Rrm2,Hpf1,Itgb7
Slamf7,Rap1b,Myo1g
Lig1,Gna15,Nans
Arf1,Bspry,Bcl2a1d
Cox8a,Atp5j2,Sdhb
Capza2,Phlda1,Ube2n
Psma7,Rfc4,Itgb1
Mrpl27,Cmc2,Dynlrb1
Lsm4,Cox6a1,Ezh2
Psmb2,Myo1f,Canx
Hpf1,Nap1l1,Atp5k
Atp5o-1,Rad51,Cox6c
Park7,Knl1,Acadl
Tmem167,Nans,Gnb2
Mrpl33,Hmgn5,Arf1
Magoh,Ube2l3,Tbcb
Psma1,Cenpf,Sf3b6
Canx,1810037I17Rik,Ssna1
Sdhb,Pdia4,Tmpo
Eif4e2,Capzb,Edf1
Rom1,Tmpo,Cox4i1
Raly,Casp1,Psmb2
Hmgn5,Nek2,Psma1
Sec61g,Ssna1,Myo1f
Atp5g3,Elob,Commd1
Hmmr,Ech1,Mrpl20
Cox7c,Mdh2,Snx3
Rbm3,Krtcap2,Mrps21
Ube2n,Tbcb,Cmc2
Snx3,Commd1,Uhrf1
Tmpo,Plp2,Ms4a4b
Acadl,Dnmt1,Magoh
Ywhaq,Ckap2,Kif15
Bcl2a1d,Ccl3,Ndufa11
Dctpp1,Tnfrsf9,Hmgn5
Atp5k,Mcm7,Smc2
Havcr2,Acadl,Cenpe
Sept7,Arpc3,Uqcrq
Psmd8,Snrpd1,Ccdc50
Ostf1,Arhgdia,Tipin
Myo1f,Myo1g,Knstrn
Hnrnpa2b1,Eif4e2,Atp5b
Ech1,Dtl,Pdap1
Commd1,Banf1,Rasgrp2
Chchd2,Chaf1b,Tk1
Hmgb3,Swi5,Slc25a5
Dynlrb1,Rfc3,Nme1
Sem1,Rora,Capza2
Nans,Lag3,Arsb
Myo1g,Ube2n,Pdia4
Cdc20,Map2k3,Mrpl33
Rrm1,Tpm3,Hnrnpf
Tspo,Impa1,Atp5a1
Cenpe,Bak1,Raly
Mrpl20,Ube2g2,Eif5a
Atox1,Sdhb,Ddost
Arf5,Mrps21,Atox1
Mrps21,Batf,Ywhaq
Aurkaip1,Cd47,Bsg
Cmc2,Arpc1b,Aurkaip1
Ndufa11,Canx,Atp5o-1
Bsg,Dynlrb1,Exosc8
Mif,Psmb4,Psmd8
Ezh2,Rpn1,Psmb7
Mad2l1,Pdap1,Srp19
Rbx1,Jpt1,Dnajc15
Pdap1,2610318N02Rik,Gimap7
Tpx2,Tmem167,Hells
Tbcb,H4c9,Mrpl51
Srp19,Prdm1,Lsm4
Ccdc50,Itgb7,Ostf1
Tle5,Adprh,Batf
Atp5c1,Exosc8,Prdx4
Tacc3,Snx3,Creld2
Klrk1,Pcna,Rac2
Ssna1,Ddost,Snf8
Uqcrb,Ska1,Acot7
Knstrn,Gars,Vmp1
Hprt,Atp5k,Serinc3
Psmb6,Mrpl51,Ncald
Impa1,Mrpl20,Mien1
Gimap7,Fkbp5,Sept7
Tipin,Ufm1,Snrpc
Pcna,Polr3k,Pcna
Exosc8,Vmp1,Hnrnpa3
Ccnb1,Serinc3,Psma7
Vmp1,Rpa3,Dnmt1
Pdia4,Hint1,Capg
Smc2,Snf8,Rdm1
Psmb5,Tuba1b,Impa1
Ube2s,Mcm2,Atp5g3
Bak1,Psma1,Ptprcap
Serinc3,Ndufa11,Ebp
Spcs2,Magoh,Ndfip1
Ddost,Psmb7,Gna15
Snf8,Ctsc,Lman2
Ndfip1,Rab8b,Hprt
Psmb7,Ms4a4b,Mcm7
Gna15,Rasgrp2,Ctsc
Tmed2,Glipr1,Rfc4
Tpm4,Psmb2,Psmb6
Hnrnpab,Gnb2,Ndufc1
Glipr1,Arf1,Bak1
Fabp5,Sf3b6,Gars
Batf,Il2ra,Esd
Asf1b,Srp19,Glipr1
Rap1a,Orc6,Plp2
Adprh,Ebp,Phgdh
Tuba1b,Gimap7,Map2k3
Esd,Cxcr3,Polr3k
Cxcr3,Fhl2,Ufm1
Arsb,Tmem97,Carhsp1
Aldoa,Dapk2,Idh3a
Rdm1,Nme1,Mbd2
Lman2,Cox6c,Cap1
Acot7,Ilk,Snrpe
Mbd2,Anxa1,Uqcr11
Ufm1,Magt1,Rpn1
Ctsc,Phgdh,Csnk2b
Tmed9,Rnpep,Ube2g2
Rab8b,Atp5b,Hif1a
Ube2g2,Capza2,Tuba1b
Ndufb11,Idh3a,Adprh
Ywhab,Raly,Ywhab
Mrpl51,Cox4i1,Gdi2
Srp9,Ywhaq,Vps29
Phgdh,Trdc,Ndufa8
Uqcr11,Akt1,Cep55
Psmb9,Cenps,Gnb1
Mien1,Hif1a,Tpm4
Dnmt1,Kif20a,Psmb5
Hif1a,Edf1,Park7
Capg,Bsg,Sec61g
Ebp,Hip1,Tspo
Magt1,Plk1,Rpa3
Selenof,Chsy1,Cxcr3
Csnk2b,Msrb1,Rab8b
Ccl3,Ndufc1,Cmpk1
Gdi2,Klrg1,Rbx1
Snrpc,Slc35b1,Adap1
Rora,Atox1,Dpy30
Ndufc1,Eif5a,Uqcrb
Arl6ip1,Bub1b,Rbm3
Sumo2,Uqcrq,Rnh1
Idh3a,Hnrnpf,Rap1a
Map2k3,Pmf1,Txnl1
Cmpk1,Pdcd1,Cox8a
Snrpb,Aurkaip1,Ccdc124
Dpy30,Cdc6,Lamtor4
Polr3k,Psmd8,Magt1
Vps29,Slc25a5,Ndufc2
Ncald,Mt3,Trav14-1
Ilk,Cdk2ap1,Hnrnpab
Plp2,Atp5a1,Ilk
Rpn1,Rnh1,Mif
Emp3,Mrpl33,Chmp2a
Chsy1,Dpy30,Ndufb11
Uhrf1,Snrpc,Phlda1
Gnb1,Mien1,Arf5
Sf3b5,Lman2,Dlgap5
Mcm7,Bex3,Rora
Msrb1,Chaf1a,Flna
Creld2,Txndc5,Lamtor5
Psma3,Hprt,Tle5
Gars,Atp5o-1,Arl6ip1
Rnh1,Mcm4,Akt1
Micos10,Cenph,Cwc15
Kif15,Cmpk1,Spcs2
Rpa3,Stard10,Chsy1
Hells,Bub1,Selenof
Ndufa8,Ccdc124,Glipr2
Ndufc2,Cenpm,Prdx2
Prdx2,Cdca7,Sar1b
Slbp,Txnl1,Med30
Gnas,Ccdc34,Mrps36
