wilcoxon,t-test,t-test_overestim_var
Tmsb4x,Tmsb4x,Tmsb4x
S100a10,S100a10,S100a10
Sh3bgrl3,Sh3bgrl3,Sh3bgrl3
Crip1,Lsp1,Lsp1
Lsp1,S100a11,Myl6
S100a11,S100a13,S100a11
Myl6,Myl6,S100a13
S100a13,Crip1,Crip1
Ms4a4b,Cd52,Cd52
Cd52,H2az2,Ms4a4b
Lgals1,Rac2,Ctsd
Arhgdib,Ms4a4b,Rac2
Rac2,Ctsd,Arpc3
Abracl,Arpc3,Abracl
Ctsd,Tspo,Tspo
Tspo,Abracl,H2az2
Arpc3,Epsti1,Epsti1
Nkg7,Tmsb10,Tmsb10
Tmsb10,Arhgdib,Gmfg
H2az2,H2-D1,H2-D1
Epsti1,Gmfg,Arhgdib
Clic1,Ifi27l2a,Cyba
H2-D1,Cyba,Clic1
Cyba,Clic1,Nkg7
Gmfg,Dap,Ifi27l2a
Coro1a,Nkg7,Actb
Oaz1,Actb,Oaz1
B2m,Oaz1,Dap
Calm1,Coro1a,Coro1a
Ifi27l2a,B2m,B2m
Gnai2,Pglyrp1,Calm1
Dap,Calm1,Pglyrp1
Cd3g,Fxyd5,Lgals1
Arpc5,Arpc5,Arpc5
Actb,Itm2b,Ms4a6b
Ms4a6b,Serf2,Itm2b
Itm2b,Gnai2,Gnai2
Cdc42,Ms4a6b,Fxyd5
S100a6,Laptm5,Serf2
Serf2,Cd3g,Laptm5
Pglyrp1,Pfn1,Cd3g
Cd48,Lgals1,Pfn1
Fxyd5,Ptms,Cd3d
Ubl5,Rap1b,S100a4
Pfn1,Cd3d,Emp3
Cd3d,S100a4,Ptms
Rap1b,Ubl5,S100a6
Laptm5,Prr13,Prr13
Anxa2,Emp3,Ubl5
Sec61b,Cdc42,Cdc42
Emp3,Arf5,Rap1b
H2-Q7,H2-Q7,H2-Q7
Arf5,S100a6,Arf5
Prr13,Srgn,Cd8b1
Cfl1,Gimap6,Cd48
Gimap6,Cd8b1,Anxa2
Arpc1b,Id2,Gimap6
Reep5,Cd48,Srgn
Selplg,Selplg,Id2
S100a4,Anxa2,Arpc1b
Atp5h,Arpc1b,Selplg
Srgn,Atp5h,Reep5
Actr3,Sec61b,Atp5h
Cd8b1,Reep5,Sec61b
Dnajc15,Gzma,Cd2
Cenpa,Hsd11b1,Actr3
Cd2,Cd2,Cfl1
Ptprcap,Actr3,Gzma
Ptms,Ifi203,Hsd11b1
H2-K1,Myl12a,Ifi203
Id2,Cfl1,Dnajc15
Ccl5,Dnajc15,Ets1
Myl12a,Ets1,Ptprcap
Ifi203,Trac,Myl12a
Ets1,Ptprcap,Trac
Ndufb7,Arpc2,Trbc2
Trbc2,Trbc2,Arpc2
Anxa6,Tle5,Tle5
Trac,Klrd1,Anxa6
Tle5,Jak1,Gm8369
Jak1,Gm8369,H2-K1
Arpc2,Anxa6,Jak1
Gm8369,Ccl5,Ccl5
Ptprc,H2-K1,Klrd1
Slfn2,Tmem71,Ndufb7
Ndufa13,Arl6ip5,Arl6ip5
Atox1,Ndufb7,Ptprc
Ccnb2,Tmem50a,Glipr2
Arl6ip5,Glipr2,Tmem50a
Hsd11b1,Ifi209,Cotl1
Shisa5,Cenpa,Pycard
Myl12b,Cotl1,Cenpa
Hmgb2,Ptprc,Ifi209
Gnas,Myl12b,Slfn2
Cotl1,Slfn2,Tmem71
Cox6c,Atox1,Myl12b
Btg1,Pycard,Atox1
Sept1,Ndufa13,Thy1
Tmem50a,Sept1,Sept1
Glipr2,Cox6c,Ndufa13
Itgb7,Thy1,Gimap4
Gimap4,Gimap4,Itgb7
Itga4,Cdkn3,Itga4
Cd3e,Ccl4,Cox6c
Psmb9,Ctsw,Ctsw
Ppp1ca,Gnas,Gnas
Pycard,Itgb7,Cd3e
Ctsw,Itga4,Cdk2ap2
Klrd1,Cdk2ap2,Map1lc3b
Mndal,Cd3e,Mndal
Map1lc3b,Map1lc3b,Cdkn3
Gzma,Ccnb2,Ccl4
Ccdc12,Mndal,Ccnb2
Hcst,Phf11b,Phf11b
Cdk2ap2,Zbp1,H2-T23
Psme2,Gzmk,Gimap3
Lgals3,H2-T23,Zbp1
H2-T23,Ifngr1,Shisa5
Atp5e,Gimap3,Psme2
Gimap3,Psme2,Ifngr1
Thy1,Ndufa1,Cd47
Cd47,Shisa5,Gzmk
Akap13,Cd47,Psmb9
Cox5b,Dusp5,Ly6a
Saraf,Akap13,Rsrp1
Sub1,Rsrp1,Ndufa1
Phf11b,Psmb9,Sub1
Ifi209,Gpsm3,Akap13
Cox6b1,Ifi27,Dusp5
Ifngr1,Ly6a,Ifi27
Stk17b,Ccdc12,Lgals3
Capzb,Cxcr6,Gpsm3
Rsrp1,Ppp1r18,Ccdc12
Gpsm3,Sub1,Cox5b
Sp100,Plaat3,Atp5e
Ly6a,Atp5e,Ppp1r18
Gng2,Ifi206,Cxcr6
Ly6e,Gimap7,Capzb
Vps28,Capzb,Plaat3
Bin2,Lgals3,Ifi206
Atp5l,Cox5b,Gimap7
Smdt1,Gng2,Stk17b
Ifi27,Stk17b,Sp100
Ptpn18,Acp5,Gng2
Dusp5,Sp100,Acp5
Ndufa1,Plek,Prf1
Ppp1r18,Prf1,Plek
Zbp1,Ccr5,Vps28
Cd53,Saraf,Ly6e
Ostf1,Prkcq,Saraf
Gimap7,Vps28,Prkcq
Ppib,Tmbim6,Tmbim6
Prkcq,Ly6e,Ccr5
Tmbim6,Bin2,Bin2
Plek,Itgax,Ppp1ca
Gramd3,Serinc3,Hcst
Tpt1,Ifi214,Ostf1
Plaat3,Hcst,Serinc3
Arf4,Ppp1ca,Serpinb6b
Tbc1d10c,Ostf1,Gramd3
Serinc3,Serpinb6b,Itgax
Cdkn3,Gramd3,Ifi214
Serpinb6b,Ripor2,Tbc1d10c
Taldo1,Tbc1d10c,Ripor2
Samhd1,Hp1bp3,Hp1bp3
Prf1,Arsb,Ppib
Gzmk,Smdt1,Smdt1
Atp5j,Crlf2,Btg1
Rhoa,Ppib,Ptpn18
Tmem71,Cd53,Cd53
Ccl4,Myo1f,Cox6b1
Acp5,Atp5l,Atp5l
Chmp2a,Rdm1,Myo1f
Sem1,Ptpn18,Arsb
Itgal,Cox6b1,Crlf2
Ndufb11,Chmp2a,Chmp2a
Skap1,Hexb,Arf4
Ifi206,Btg1,Gimap1
Cap1,Cx3cr1,Rdm1
Cxcr6,Arf4,Cd8a
Cox17,Itgal,S1pr4
Vasp,Gimap1,Samhd1
Ripor2,S1pr4,Taldo1
Hp1bp3,Prex1,Itgal
Ctsc,Sdcbp2,Hexb
Capns1,Trappc1,Prex1
Arhgap45,Samhd1,Cap1
Myo1f,Taldo1,Capns1
Psme1,Cap1,Trappc1
Gimap1,Cd8a,Ndufb11
Npc2,Ifi47,Ifi47
Cd8a,Capns1,Txk
Dbi,1110008P14Rik,1110008P14Rik
Mien1,Txk,Pdcd4
Gabarap,Wdr95,Cx3cr1
Ap2s1,Ndufb11,Cox17
Tax1bp1,Lamb3,Sdcbp2
Prex1,Pdcd4,Atp5j
S1pr4,Cox17,Arhgap45
Zyx,Thap3,Wdr95
Tma7,Ugcg,Elob
mt-Atp6,Arhgap45,Ugcg
Ech1,Vsir,Ltb
Calm3,Tax1bp1,Lamb3
Sri,Ech1,Vsir
Cox6a1,Ltb,Calm3
Elob,Glmp,Ech1
Ccr5,Elob,Thap3
Itgb2,B4galnt1,Tax1bp1
Ndufv3,Atp5j,Psme1
B4galnt1,Ctsa,Skap1
Cst3,Rasa3,B4galnt1
Pdcd4,Rhoa,Rasa3
Ugcg,Skap1,Ctsa
Ptpn22,Ptpn22,Ptpn22
Txk,Psme1,Rhoa
Ndufa4,Calm3,Ndufv3
Sec61g,Ndufv3,Ctsc
Btg2,Vps37b,Vps37b
Ltb,Ctsc,Glmp
Ifi47,Plgrkt,Zyx
Fyb,Itgb2,Itgb2
Elf1,Zyx,Sem1
Il2rg,Pkp3,Bhlhe40
Hcls1,Pttg1,Plgrkt
Psmb10,Slfn1,mt-Atp6
1110008P14Rik,Bhlhe40,Sri
Vps37b,Sem1,Mien1
Cnn2,Stard10,Pttg1
Trappc1,Ctla4,Slfn1
Tmem134,Mien1,Pkp3
Zfp36l2,Nmi,Ctla4
Sdcbp,AA467197,Nmi
Pdcd10,Pld3,Ap2s1
Rasa3,Sri,Dusp2
Pttg1,mt-Atp6,Klrc1
Cox8a,Insl6,Stard10
Plgrkt,Ap2s1,Gzmb
Sh3kbp1,Dusp2,Dbi
Efhd2,Chsy1,Pld3
Dusp2,Bin1,Chsy1
Actr2,Klrc1,Bin1
Lamtor4,Hcls1,Hcls1
Tuba1a,Fasl,Pik3r1
Bhlhe40,Pik3r1,Insl6
Pomp,Sdcbp,AA467197
Crlf2,Gna15,Sdcbp
Sh2d1a,Rom1,Gna15
Cks1b,Dapk2,Rom1
Klrc1,Rinl,Dennd4a
Mrpl33,Lamtor4,Tmem134
Apbb1ip,Dennd4a,Lamtor4
mt-Co3,Dbi,Rinl
Sec11c,Tmem134,Fasl
Rinl,Arl5c,Pdcd10
Pik3r1,Psmb10,Psmb10
Fkbp2,Anxa5,Arl5c
Scand1,Pdcd10,Hmgb2
Ctsa,Sike1,Sh2d1a
Nmi,Sh2d1a,Anxa5
Bin1,March2,Tma7
Spn,Vasp,Dapk2
Arsb,Sh3kbp1,Sike1
Chsy1,Spn,Spn
Gzmb,Tmem59,Vasp
Sike1,Gzmb,Sh3kbp1
Tmem59,Ifi213,Tmem59
Vsir,Sytl2,Il2rg
Tprgl,Tma7,Zfp36l2
Gimap5,Il2rg,Gabarap
Msn,Gabarap,March2
Atp5j2,Tprgl,Npc2
Rilpl2,Zfp36l2,Elf1
Dennd4a,Elf1,mt-Co3
Pnrc1,Mpnd,Tprgl
Pim1,Atp2a3,Ifi213
Psenen,Npc2,Tnfaip3
H2-T22,Hmgb2,Btg2
Tnfaip3,mt-Co3,Sec61g
Ifi214,Tnfaip3,Ifng
Selenos,Cd37,Cd37
Esyt1,Ifng,Cox8a
Dazap2,Rilpl2,Sytl2
Irf2,D16Ertd472e,Rilpl2
Hexb,Irf2,Gimap5
Prdx5,Gimap5,Cnn2
Rdm1,Cox8a,Mpnd
Cast,Sec61g,Actr2
Stk24,Cnn2,Irf2
Sec11a,Btg2,Fyb
Cd28,Actr2,Atp2a3
Tmem160,Efhd2,Efhd2
Scp2,Ramac,D16Ertd472e
Cd37,Dazap2,Dazap2
Gnb2,Fyb,Cox6a1
Cox7a2l,Ipcef1,Apbb1ip
Junb,Rnf166,Ndufa4
Ifng,Apbb1ip,Ramac
Twf2,Ggt1,Pomp
Srp14,Klrg1,Ipcef1
Ramac,Ccl3,Rnf166
Stat4,9930111J21Rik2,Ccl3
Ablim1,Sft2d1,Esyt1
Mettl23,Cox6a1,Ggt1
Glmp,Esyt1,Tuba1a
D16Ertd472e,Xaf1,Trim12a
mt-Co2,Cnp,Cnp
Gna15,Txnip,Sec11c
Cox7b,Tuba1a,Txnip
Anxa5,Samd9l,9930111J21Rik2
Ndufb1-ps,Ndufa4,Mrpl33
Cript,Gpr171,Fkbp2
Churc1,Trim12a,Xaf1
mt-Co1,Armc7,Sft2d1
Ppia,Pomp,Samd9l
Mtpn,Fkbp2,Klrg1
Pkp3,Mrpl33,H2-T22
Cnp,H2-T22,Gpr171
Akr1a1,Stk24,Armc7
Rom1,Vgll4,Stk24
Tap2,Pik3ap1,Stat4
Smap2,Sec11c,Vgll4
Ctla4,Stat4,Pim1
Slfn1,Pcbd2,Cst3
Ppp2r5c,Dhrs7,Pcbd2
Clk1,Inpp1,Arap2
Arhgef1,Lag3,Twf2
Itgax,Churc1,Selenos
Trim12a,Twf2,Churc1
Tln1,F2r,Scand1
Acadl,Trim30a,Inpp1
Arap2,Arap2,Pik3ap1
Fis1,Selenos,Dhrs7
Lsm5,Lgals9,Cd28
Atp1b3,Ube2h,Lag3
Arhgap30,R3hdm4,R3hdm4
Leprotl1,Pim1,Trim30a
Arpc4,Klrc2,Ppia
Fyn,Cd28,Klrc2
Tmem258,Scand1,Lgals9
Vmp1,Ppp2r5c,Ube2h
Mbnl1,Cript,F2r
Myo1g,Mettl23,Cript
Ahnak,Slamf7,Mettl23
Pcbd2,Cst3,Ppp2r5c
Fam107b,Nabp1,Msn
Cdc42se1,Cast,Slamf7
Dynlrb1,Rtp4,Cast
Ndfip1,Bscl2,Nabp1
Thap3,Msn,Srp14
Anapc11,Psenen,mt-Co2
Ppp1r12a,Jakmip1,Psenen
Lamtor2,Eva1b,Bscl2
Cytip,Srp14,Rtp4
Wdr95,Ifi208,Ahnak
Msrb1,Mxd4,Jakmip1
R3hdm4,Ppia,Lsm5
Selenow,Peak1,Eva1b
Bnip3l,Ncald,Peak1
Macroh2a1,Ablim1,Ndufb1-ps
Ubc,Bnip3l,Ablim1
Zap70,mt-Co2,Pnrc1
Gimap9,Mtpn,Ifi208
March2,Ndufb1-ps,Bnip3l
Psmb3,Ahnak,Tmem160
Ier2,Tmem160,Cdc42se1
Cwc15,Gpr183,Mtpn
Slamf7,Cd226,Ncald
Txnip,Pnrc1,Gpr183
Zc3hav1,Cdc42se1,Cks1b
Arl5c,Pqlc3,Acadl
Commd8,Itgam,Cd226
Lrmp,Acadl,Mxd4
Cox4i1,Lsm5,Vmp1
Gabarapl2,Vmp1,Gnb2
Vgll4,AI413582,Scp2
Cd27,Cks1b,Pqlc3
Klf13,Scp2,Gimap9
Ppdpf,Os9,AI413582
Lamb3,Gimap9,Prdx5
Tgoln1,Ccr2,Ccr2
mt-Cytb,Ms4a6d,Arpc4
Hopx,Cd27,Os9
Cd247,Smim24,Itgam
Sept6,Haao,Cox7a2l
Rnf166,Gnb2,Cd27
Tapbp,Nfkbiz,Ndfip1
Vamp8,Tgoln1,Ms4a6d
Ntan1,Isg15,Dynlrb1
Tap1,Iah1,Tgoln1
Gbp7,Arpc4,Tap2
Spcs2,Prdx5,Nfkbiz
Sirt7,Ndfip1,Commd8
Ly6c2,Commd8,Arhgap30
Csnk2b,Dynlrb1,Lrmp
Insl6,Cox7a2l,Isg15
Icos,Arhgap30,Atp1b3
Ppp1r15a,Tap2,Myo1g
Nabp1,2310009A05Rik,Fyn
Gpr171,Lrmp,Clk1
Os9,Bbip1,Anapc11
Ndufs8,Ppdpf,Icos
Cr1l,Zap70,Ppdpf
Paip2,H2-M3,Iah1
Nfkbiz,Anapc11,Haao
Snapc5,Ube2g2,mt-Co1
Trim30a,Cyth4,Actg1
Ptbp3,Sirt7,Gbp7
Malt1,Atp1b3,Cyth4
Rnh1,Icos,Zap70
S1pr1,Gbp7,Ube2g2
Pld3,Fyn,Sec11a
Gpr183,Vrk3,H2-M3
Ipcef1,Irf9,Vrk3
Mrpl58,Myo1g,Smim24
Itk,Clk1,Bbip1
Rhoh,Smpdl3a,Sirt7
Klrc2,Sec11a,Akr1a1
Cope,Malt1,2310009A05Rik
AI413582,mt-Co1,Malt1
Cyth4,Mxd1,Smpdl3a
Psap,Phf11c,Tnfaip8l2
Ebp,Akr1a1,Irf9
Il18r1,Tnfaip8l2,Smap2
Gtf2i,Smap2,Mxd1
Tes,Cr1l,Cr1l
Birc5,Ntan1,Atp5j2
Lgals9,Pdlim2,Phf11c
Sdcbp2,Sp140,Ntan1
Ccl3,Bcl2l11,Cox4i1
Ube2g2,Rab19,Pdlim2
Samd9l,Igf2r,Fis1
Ypel3,Actg1,Sp140
Bscl2,Gbp4,Fam107b
Higd2a,Ndfip2,Arhgef1
Syf2,Fis1,Smad7
Chd7,Arhgef1,Bcl2l11
Add3,Sla,Junb
Tmem128,Smad7,Gbp4
Tram1,Ngly1,Ndfip2
Jpt1,Fam107b,Rab19
Lrrfip1,Gnptg,Sla
Bbip1,Atp5j2,Cox7b
Cx3cr1,Ccndbp1,Gnptg
