wilcoxon,t-test,t-test_overestim_var
Ptma,Stmn1,Stmn1
Stmn1,Cks1b,Cks1b
H2az1,Birc5,Birc5
Ran,Ptma,Ccnb2
Cks1b,Hmgb2,Hmgb2
Hmgb2,Ccnb2,Ptma
Ppia,H2az1,Pclaf
Birc5,Pclaf,H2az1
Ccnb2,Ran,Ran
Hsp90b1,Ppia,Ppia
Pclaf,Hmgn2,Hmgn2
Hmgn2,Hsp90b1,Cenpa
Cenpa,Cenpa,Hsp90b1
Gapdh,Selenoh,Cdca8
Lgals1,Cdca8,1500009L16Rik
Anp32b,1500009L16Rik,Cdca3
Selenoh,Lgals1,Selenoh
Hmgb1,Anxa2,Fkbp2
Anxa2,Gapdh,Anxa2
1500009L16Rik,Fkbp2,Cdkn3
Cdca8,Cdca3,Ube2c
Dbi,Anp32b,Gapdh
Nucks1,Nucks1,Dut
Rps27l,Dbi,Lgals1
Txn1,Dut,Anp32b
Dut,Hmgb1,Nucks1
Fkbp2,Pdia6,Lmnb1
Ybx1,Ube2c,Pdia6
Cdca3,Lmnb1,Mki67
Ube2c,Rps27l,Dbi
Lmnb1,Cdkn3,Hmgb1
Prdx1,Mki67,Spc24
Pdia6,Txn1,Tuba1b
Cdkn3,Tuba1b,Ccna2
Rps2,Anp32e,Rps27l
Tubb5,Tubb5,Anp32e
Eif5a,Spc24,Tubb5
Rps17,Ybx1,Txn1
Calr,Lsm5,Sdf2l1
Anp32e,Calr,Ybx1
Mki67,Ccna2,Rps2
Hsp90aa1,Rps2,Lsm5
Dynll1,Sdf2l1,Tpx2
Tuba1b,Dynll1,Calr
Lsm5,Vim,Hsp90aa1
Ube2s,Hsp90aa1,Tubb4b
Vim,Prdx1,Hmmr
Manf,Calm3,Ube2s
Calm1,Manf,Cdc20
Nme1,Ube2s,Manf
Pdia3,Alyref,Dynll1
Spc24,Eif5a,Prdx1
Calm3,Rps17,Alyref
Ccna2,Tubb4b,Cenpw
Atp5b,Ddx39,Ddx39
Ywhah,Calm1,Lig1
Sdf2l1,Pdia3,Vim
Alyref,Ywhah,Calm3
Lgals3,Lgals3,Mcm5
Cox5b,Tpx2,Eif5a
Tubb4b,Cenpw,Rrm2
Cox5a,Atpif1,Rps17
Snrpd1,Nme1,Pdia3
Cmtm7,Snrpd1,Mcm3
Hsp90ab1,Cmtm7,Ywhah
Ddx39,Banf1,Ccnb1
Ldha,Hmmr,Lgals3
Ywhae,Mcm5,Gmnn
Nap1l1,Cdc20,Cmtm7
Cenpw,Lig1,Calm1
Atpif1,Cox5b,Nme1
Banf1,Mcm3,Snrpd1
Hspd1,Atp5b,Knstrn
Hnrnpab,Hspd1,Atpif1
Snrpg,Rrm2,Banf1
Tpx2,Gmnn,Asf1b
Tpm3,Swi5,Hspd1
Cbx3,Ywhae,Tacc3
Hnrnpa2b1,Ldha,Smc2
Ranbp1,Hnrnpab,Mad2l1
Cdc20,Nap1l1,Cep55
Hmmr,Hsp90ab1,Lsm2
Snrpe,Ccnb1,Atp5b
Swi5,Cbx3,Cks2
Mcm5,Lsm2,Hsp90ab1
Mcm3,Ranbp1,Rnaseh2b
Lig1,Knstrn,Ranbp1
Knstrn,Tpm3,Hnrnpab
Atp5j,Cks2,Nap1l1
Rrm2,Canx,Cox5b
Rpsa,Cox5a,Rfc4
Gmnn,Smc2,Hmgb3
Cks2,Asf1b,Swi5
Rpl28,Pfn1,Ldha
Pfn1,Rpl28,Ywhae
Ccnb1,Phgdh,Cbx3
Lsm2,Rnaseh2b,Kif15
Set,Tacc3,Tpi1
Ndufa4,Mad2l1,Mcm7
Rpl41,Snrpe,Phgdh
Smc2,Ssr2,Cenpe
Pgk1,Tpi1,Canx
Actg1,Actg1,Uhrf1
Gzmb,Hpf1,Rrm1
Canx,Hnrnpa2b1,Fabp5
Rnaseh2b,Mcm7,Hpf1
Cenpe,Rfc4,Cox5a
Sec61b,Hmgb3,Tpm3
Phgdh,Pgk1,Tmpo
Hmgb3,Cep55,Pfn1
Mad2l1,Serpinb6b,Ssr2
Tpi1,Tmpo,Hells
Mif,Atp5j,Ppih
Asf1b,Rrm1,Rpl28
Tacc3,Kif15,Pgk1
Dek,Ndufa4,Mcm2
Atp5pb,Etfb,Tk1
Atp5a1,Cenpe,Snrpe
Hpf1,Uhrf1,Hnrnpa2b1
Snrpf,Ppih,Tyms
Tmpo,Fabp5,Actg1
Mcm7,Snrpg,Serpinb6b
Ssr2,Dnajb11,Dlgap5
Cox7a2,Anapc5,Etfb
Rps26,Set,Stip1
Serpinb6b,Mcm2,Atp5j
Rfc4,Rpsa,Lsm3
Sec11c,Hells,Pcna
Rrm1,Lsm3,Anapc5
Cfl1,Stip1,Cenpm
Atp5j2,Cfl1,Dnajb11
Pcna,Tyms,Anapc15
Rasgrp2,Dek,Set
Cep55,Sec61b,Ndufa4
Ppih,Pcna,Ckap2
Etfb,Snrpf,Dek
Hspa5,Mif,Rpsa
Mcm2,Rasgrp2,Snrpg
Fabp5,Prelid1,Tipin
Cd48,Rps26,Ccdc34
Mrpl18,Sec11c,Dctpp1
Lsm4,Eif1ax,Mcm4
Slc25a5,Tk1,Nasp
Dnajb11,Anapc15,Rfc3
Hells,Cox7a2,Eif1ax
Anapc5,Lsm6,Mif
Uhrf1,Mrpl18,Rasgrp2
Gnai2,Atp5pb,Snrpf
Kif15,Nasp,Rfc5
Rpl10,Dctpp1,Mcm6
Stip1,Tipin,Cfl1
