"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",62.1185185987783,-1.17951620974918,0.795675532875285,-1.4824085459645,0.138231621425353,0.236296348758624
"Rp1",61.640305899532,-1.22355520958254,0.706201648875748,-1.73258616930505,0.0831692492649917,0.159763698327175
"Mrpl15",262.005628866905,1.16427776508823,0.280160558369816,4.15575187265071,3.2421954361017e-05,0.000151862418354194
"Lypla1",381.663425028608,0.25685605507785,0.16502241964127,1.5564918732631,0.11959117364178,0.211692516501352
"Gm37988",1010.41541575702,0.739295800807785,0.203505327733063,3.63280808931704,0.000280353530607372,0.00110005127804272
"Tcea1",867.952050657125,1.06935939187877,0.286050492193294,3.7383588599322,0.000185225430378953,0.000749934860195652
"Rgs20",30.0583780035866,-1.07112443294522,0.693415417335152,-1.54470813046187,0.122416877374194,0.215510919466935
"Atp6v1h",1195.93717274901,-1.10254295160907,0.304280130317855,-3.62344708626666,0.00029070269610078,0.00113736818248423
"Oprk1",1.75796439056369,-2.30406039503116,2.29170771273018,-1.0053901648244,0.314709013840859,0.437283462066693
"Rb1cc1",1314.95523097193,-1.22900982282642,0.310058871093654,-3.96379506411605,7.3767585944526e-05,0.000322196326764459
"Alkal1",7.14916698021457,-0.864301603580409,1.12296885183244,-0.76965768210762,0.441502978828206,0.559861009312077
"St18",159.171183675487,0.923464898557263,0.432864376158785,2.13338160731091,0.0328934346134937,0.0748076048260504
"Pcmtd1",831.678889379714,0.158359815971256,0.314333653193853,0.503795296374435,0.614405233361668,0.710427301172612
"Sntg1",156.432677728905,-1.05096291286214,0.627284398632595,-1.67541694828232,0.0938524535898011,0.175981461720816
"Rrs1",90.1515107743977,0.0157942762977662,0.355340929610209,0.0444482326173112,0.964547115545106,0.976306958456704
"Adhfe1",169.18727701016,0.1326143910596,0.196956792257816,0.673317175505212,0.500745528138522,0.611859370268831
"Vxn",2.37763585027308,-0.861757301610085,1.5437279270843,-0.558231334998079,0.576686426203398,0.678611623313689
"Mybl1",79.7604192998486,3.37919455877083,0.325527173359464,10.380683504536,3.03593751583879e-25,1.21676786349086e-23
"Vcpip1",534.379088840436,-0.0173023226706078,0.206562558170918,-0.0837631118815404,0.933244777364154,0.955902768489566
"Sgk3",315.578576032101,0.583552478065473,0.262943586690901,2.21930675476584,0.0264658623856167,0.0621880884821308
"Mcmdc2",37.4749063802567,-3.82219109507115,0.607152747743913,-6.29527101585857,3.06863241795092e-10,3.01708680996359e-09
"Tcf24",1.58548870064982,0.322337693775576,2.16710316066841,0.148741278046106,0.881757788342315,NA
"Ppp1r42",7.81023081267529,1.09575657918448,0.894290980158891,1.22527969474745,0.220469856229102,0.335655454767959
"Cops5",265.087612289342,0.248163723577084,0.2897584511597,0.856450338493524,0.391748731013593,0.513371615611919
"Cspp1",1273.82175383773,1.09477334220156,0.275211298769501,3.97793748692878,6.95156410809763e-05,0.000305388367081438
"Arfgef1",2979.22842124438,0.367806620277553,0.250048499902955,1.4709411191041,0.141307041202606,0.240366733686892
"Cpa6",58.8609820413753,-1.67807515017576,0.78739565631697,-2.13117145962543,0.0330750193440694,0.0751356575131506
"Prex2",45.4635522138312,-1.08958249410251,0.698906934248211,-1.55898080375256,0.119000923662835,0.210911995408088
"A830018L16Rik",95.9677127089813,-1.05232822813258,0.590073942311907,-1.78338366207048,0.0745238709330087,0.14638488988676
"Sulf1",20.7128835031037,-2.38107091439096,0.923163650657864,-2.5792511573589,0.00990147677433845,0.0265577010052166
"Slco5a1",19.612776388083,0.751905053329732,0.691547034163981,1.08727970215174,0.276913216261026,0.39677088836491
"Prdm14",6.52822887504146,-4.34185792635312,1.02783085023752,-4.22429228053408,2.39692810600727e-05,0.000115256542969711
"Ncoa2",7696.14020888708,-0.59164846434031,0.163700228187704,-3.61421893475865,0.000301254421854718,0.00117610651449616
"Tram1",455.208910515588,0.440423639618093,0.209072180835755,2.10656261324449,0.0351555103460158,0.078930401183952
"Lactb2",479.109866555497,2.19208642851288,0.289565163486824,7.57026985607204,3.72449717691723e-14,5.75000171373787e-13
"Xkr9",4.15560327086601,0.371124136083599,1.37461531663264,0.26998399595367,0.787172565948628,0.847237977059851
