UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
25	0
199	0
3	1
7	2
0	2
0	2
46	40
18	55
0	41
14	195
1	1
26	5
1	10
0	10
0	0
0	0
3	0
134	0
6	65
0	65
224	218
0	218
0	218
0	0
0	0
0	1
0	0
1	1
6	25
0	25
1	0
1	6
0	0
1	0
0	1
0	1
5	5
8359	524
12	59
0	56
0	2
3	1
3	0
6	2
12	13
5	355
6	225
50	27
0	6
0	6
0	4
0	1
0	0
3	2
0	2
1	23
0	20
10	615
0	175
42	27
0	2
0	2
0	4
0	0
1	1
0	1
2	6
0	4
0	16
0	9
0	9
4	19
3	26
0	23
0	757
0	0
1	27
2	1
1	9
0	9
3	0
0	2
0	2
1	6
7	244
0	211
0	61
0	56
0	2
0	2
7	1
0	0
0	0
0	2
0	4
0	4
0	8
1	8
1	36
1	26
0	5
0	1
0	86
0	86
0	0
0	0
0	0
0	0
36	0
21	0
28	0
36	1
18	73
0	20
638	1
51	111
5896	164
28	0
99	0
42	0
14	0
35	0
21	0
2	4
2	4
0	1
0	1
3	16
0	16
32	0
2	8
0	8
0	0
0	0
9	32
1	32
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
1	0
0	1
1	5
0	1
0	0
1	11
28	64
0	2
0	2
0	0
0	0
0	0
51	0
0	5
0	5
97	3
8	5
51	0
17	0
0	0
0	0
0	0
4	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	2
0	0
0	0
5	14
2	7
3	14
0	0
0	0
0	0
3	25
0	0
6	21
0	137
0	137
11	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	283
0	248
0	61
24	1
1	61
4	39
0	61
0	0
0	0
0	0
0	0
0	0
0	0
0	190
2	190
0	190
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
519	1851
170	1746
0	284
0	3
0	4
0	4
3	7
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	0
777	1240
142	218
19	931
0	659
3	309
0	628
0	0
0	0
0	0
2	291
0	240
0	92
0	80
0	90
3	8
97	28
0	6
0	2
5	1
0	8
0	3
1	1
0	3
1	3
0	6
0	0
0	0
0	21
0	2
0	2
0	21
0	0
0	0
0	0
0	0
0	0
9	18
0	0
0	0
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	80
17	399
0	399
0	0
4	32
0	32
0	0
0	0
0	0
0	0
