UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
42	0
194	0
9	9
5	9
1	5
0	3
32	54
10	50
0	37
13	234
2	0
45	5
2	11
0	11
0	1
0	1
17	0
168	0
10	90
0	90
247	266
0	268
0	268
0	0
0	0
0	1
0	0
0	1
2	23
0	23
1	0
4	1
0	2
2	0
0	5
0	5
8	8
9178	678
5	46
0	42
0	2
2	3
5	2
6	2
9	8
2	461
8	276
57	30
2	1
0	1
2	3
6	2
0	0
0	3
0	2
1	21
0	19
5	651
0	214
27	30
0	1
0	1
0	5
0	0
0	2
0	9
1	9
0	5
0	20
0	7
0	7
0	37
1	23
0	21
2	845
0	0
0	22
0	0
0	1
0	1
0	0
0	2
0	2
0	11
8	300
0	268
0	51
0	48
0	3
0	3
2	1
0	0
0	0
0	2
0	5
0	5
0	12
1	12
0	46
1	35
1	9
0	5
0	91
0	88
0	0
0	0
0	1
0	0
19	0
17	0
22	0
14	0
13	72
0	18
611	0
38	146
6060	200
22	0
44	0
52	0
14	0
31	0
14	0
2	1
0	1
1	3
0	3
8	11
0	11
13	0
0	2
0	2
0	0
0	0
11	14
0	14
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
1	1
0	0
0	1
1	11
0	0
0	2
2	16
23	55
0	0
0	0
0	0
0	1
0	1
27	0
0	5
0	5
45	1
8	3
17	0
15	0
0	0
0	0
0	0
2	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	2
0	1
0	0
4	8
0	4
3	8
0	0
0	0
0	0
2	18
0	0
10	36
0	137
0	137
12	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	295
0	270
0	61
25	9
1	61
7	28
0	61
0	0
0	0
0	0
0	0
0	0
0	0
0	209
0	209
0	209
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
690	1877
212	1667
0	231
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	37
0	0
988	1379
153	192
17	1081
0	766
2	298
0	716
0	0
0	0
0	0
2	347
0	290
0	100
0	80
0	97
2	14
143	47
0	12
0	2
5	0
2	15
0	7
0	3
3	10
3	7
0	2
0	0
0	0
0	14
0	3
0	2
0	16
0	0
0	0
0	0
0	0
0	0
9	25
0	0
0	1
3	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
56	79
19	456
0	456
0	0
5	33
0	33
0	0
0	0
0	0
0	0
