UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	0
27	0
191	1
0	1
5	8
0	5
0	3
41	45
11	55
0	46
17	240
1	1
48	6
3	12
0	12
0	0
0	0
18	0
112	0
20	80
0	80
252	262
0	262
0	262
0	0
0	0
0	0
0	0
0	0
5	7
0	7
0	0
4	5
0	1
1	0
0	8
0	8
6	9
11505	746
7	41
0	38
0	3
4	1
4	3
4	5
3	11
3	523
6	343
42	39
3	7
0	6
3	2
6	4
0	0
0	2
0	5
0	24
0	24
5	927
0	221
48	39
0	5
0	4
0	3
0	1
0	3
0	1
4	9
0	2
1	29
0	4
0	4
0	24
0	23
0	23
1	1164
0	0
0	7
0	0
2	4
0	4
3	0
2	4
0	4
0	8
1	302
0	264
0	36
0	33
0	2
0	2
2	0
0	2
0	2
0	5
0	4
0	2
0	20
0	7
0	43
0	33
0	7
0	4
0	155
0	151
0	0
0	0
0	1
0	1
36	0
8	0
12	0
25	1
27	113
0	10
1112	3
33	154
9347	258
4	0
65	0
30	0
15	0
23	0
17	0
2	0
0	0
1	1
0	1
1	9
0	9
14	0
2	1
0	1
0	0
0	0
6	21
0	21
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	1
1	11
20	37
0	1
0	1
0	0
1	0
0	0
22	0
0	2
0	2
38	1
10	2
20	0
14	0
0	0
0	0
0	0
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	1
0	0
0	0
2	6
2	3
5	6
0	0
0	0
0	0
8	25
0	0
3	24
0	86
0	86
10	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	265
0	240
0	94
18	13
0	94
14	58
0	94
0	0
0	0
0	0
0	0
0	0
0	0
0	139
0	139
0	139
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
822	2465
221	2194
0	259
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	26
0	0
927	1329
123	214
7	1022
0	697
7	307
0	674
0	0
0	0
0	0
2	248
0	207
0	107
0	95
0	106
6	15
143	38
0	12
0	2
2	1
0	12
0	2
0	2
9	3
1	1
0	11
0	0
0	0
1	17
0	4
0	1
0	17
0	0
0	0
0	0
0	0
0	0
3	19
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
54	62
24	377
0	379
0	0
5	42
0	42
0	0
0	0
0	0
0	0
