wilcoxon,t-test,t-test_overestim_var
Npm1,Npm1,Npm1
Rpl5,Rpl5,Rpl5
Rpl11,Hspa9,Hspa9
Ppp1r14b,Ppp1r14b,Ppp1r14b
Hspe1,C1qbp,Rps27a
Rpl15,Rps27a,C1qbp
Hspa9,Hspe1,Rpl15
C1qbp,Rpl26,Rpl26
Set,Rpl15,Hspe1
Rpl14,Rpl35a,Rpl27a
Hsp90ab1,Rpl27a,Rpl4
Rps27a,Rps26,Rpl35a
Rps26,Rpl11,Rps26
Rps8,Mrto4,Rpl14
Hspd1,Rpl4,Rpl11
Eif4a1,Rangrf,Rps23
Rpl27a,Rps23,Rpl6
Rpl7a,Rpl6,Rps12
Rpl26,Rpl14,Mrto4
Rpl4,Rps12,Rpl13
Rpl13,Rpl13,Rpl23a
Rpl31,Rpl23a,Rps15
Rpl6,Rps15,Rangrf
Rps15,Ncl,Eef1b2
Rpl35a,Ccne2,Rplp1
Rps23,Gar1,Gar1
Ranbp1,Srm,Ncl
Eef1g,Rplp1,Rps18
Rps18,Eef1b2,Rpl36
Cct6a,Rps18,Rps25
Rps12,Phb2,Ccne2
Phb2,Rpl36,Srm
Rpl23a,Hspd1,Phb2
Ran,Mybbp1a,Rps6
Rps6,Rps25,Lyar
Eif5a,Lyar,Cdca7
Rpl36,Cdca7,Cct6a
Ncl,Cct6a,Rpl7
Rplp1,Rpl7a,Rpl37
Rps25,Eef1g,Hspd1
Rpl12,Rps6,Rps8
Eef1b2,Rpl7,Eef1g
Atp5g1,Eif4a1,Mybbp1a
Rps3a1,Rps8,Rpl22
Rps14,Tomm40,Hells
Rpl7,Hells,Rpl7a
Rpl37,Nsun2,Tomm40
Mrto4,Rpl37,Eif4a1
Serbp1,Nolc1,Rpl18
Lyar,Apex1,Nsun2
Rpl27,Rpl22,Rps14
Rack1,Tomm5,Rps3a1
Hnrnpa1,Rpl18,Nolc1
Pa2g4,Rps14,Ccne1
Pgam1,Ccne1,Rps28
Eif2s2,Mrpl12,Rps9
Ppa1,Timm8a1,Tomm5
Rps20,Lsm7,Lsm7
Rpl18,Rpl12,Atp5g1
Naca,Gart,Timm8a1
Gar1,Rps3a1,Prmt1
Ndufab1,Prmt1,Apex1
Rps7,Ppid,Mrpl12
Prmt1,Atp5g1,Gart
Cacybp,Nop58,Pa2g4
Tomm5,Set,Ppid
Rpl8,Rps28,Nop58
Hsp90aa1,Pa2g4,Rpl36a
Rpl22,Rps9,Rpl12
Rps19,Rrp15,Rpl23
Rpl17,Rpl31,Fabp5
Rpl32,Rps7,Rps7
Mrpl12,Cacybp,Rpl8
Lsm7,Fabp5,Rpl27
Nhp2,Rpl8,Set
Rps17,Ppa1,Cacybp
Pdcd5,Rpl36a,Impdh2
Hells,Zmynd19,Ppa1
Rps28,Impdh2,Ndufab1
Rpl36a,Rpl23,Rpl31
Fabp5,Rpl27,Naca
Rplp0,Ddx18,Rpl9
Polr2f,Rps5,Rpl32
Cct8,Naca,Rps5
Rpl23,Rpl32,Rrp15
Cct3,Hsp90ab1,Ddx18
Impdh2,Tomm20,Zmynd19
Cct5,Ndufab1,Hsp90ab1
Rps9,Galk1,Bzw2
Rsl1d1,Bzw2,Rps19
Mif,Umps,Galk1
Anp32b,Rpl9,Rack1
Tcp1,Rack1,Tomm20
Ybx3,Rps19,Umps
Tomm20,Pabpc4,Rfc3
Cct2,Hspa8,Hspa8
Snrpf,Pno1,Cdc6
Fbl,Ppat,Ppat
Srm,Cdc6,Pabpc4
Rpl9,Pgam1,Ranbp1
Nap1l1,Rfc3,Pno1
Rps5,Serbp1,Pgam1
Nop58,Abce1,Fbl
Rangrf,Ranbp1,Ung
Rplp2,Ung,Rpl17
Ppid,Fbl,Serbp1
G3bp1,Rsl1d1,Abce1
Nolc1,Eif2s2,Rplp2
Timm23,Rplp2,Rpl30
Tomm40,Rpl30,Polr2f
Ptges3,Nhp2,Eif2s2
Srsf2,Timm9,Rsl1d1
Rpl24,Fam136a,Ruvbl1
Rpl30,Ruvbl1,Nhp2
Cdv3,Polr2f,Fam136a
Nsun2,Pla2g12a,Timm9
Rpl34,Rpl17,Cdv3
Tpi1,Cdv3,Ptges3
Cdca7,Mettl1,Cnbp
St13,Hnrnpa1,Nop56
Timm8a1,Rps20,Hnrnpa1
Rpl10a,Ptges3,Pla2g12a
Rpl41,Nop56,Cct8
Btf3,Cnbp,Rps20
Ldha,Shmt1,Lap3
Nudc,Lap3,Pdcd5
Mybbp1a,St13,St13
Ccne1,Pdcd5,Mettl1
Dtymk,Gpatch4,Timm23
Ccne2,Nop16,Nudc
Rpl10,Cct8,Gpatch4
Hspa8,Timm23,Shmt1
Rps27l,Pusl1,Mrps18b
Dctpp1,Mrps18b,Nop16
Cct7,Wdr43,Rpl24
Rpl35,Chchd4,Orc6
Rpl3,Batf3,Pusl1
Gart,Nudc,Eef1a1
Dut,Wdr77,Wdr43
Rpl21,Orc6,Rpl34
Ddx18,Mrps7,Mrps7
Cnbp,Rcc2,Ddx1
Hmgn1,Ddx1,Chchd4
Siva1,Bcat1,Nop10
Rpl18a,Cct3,Rplp0
Nme1,Eef1a1,Hmgn1
Bzw2,Rpl24,Rpl21
Fkbp4,Gcsh,Rcc2
Rpl29,Nop10,Cct3
Srsf7,Rpl34,Atic
Rps2,Atic,Tpi1
Rps4x,Phb,Dtymk
Rfc3,Rplp0,Cct5
Nop56,Hmgn1,Rps4x
Pebp1,Tpi1,Eif5a
Rpl38,Dtymk,Wdr77
Eif2s1,Cct5,Gcsh
Orc6,Rcl1,Phb
Nop10,Rpl21,Tcp1
Mrps7,Ifrd2,Rpl10
Nasp,Tcp1,Bcat1
Galk1,Dkc1,Dkc1
Eif3b,Wdr18,Rpl35
Rpl28,Rpl35,Rcl1
Syncrip,Mtap,Siva1
Ppat,Wdr4,Gnl3
Psma7,Cct2,Wdr18
Tipin,Thop1,Mtap
Apex1,Rps4x,Dynll2
Zmynd19,Cd3eap,Rps29
Hspa4,Dynll2,Ifrd2
Umps,Gnl3,Cct2
Pdap1,Eif5a,Thop1
Pno1,Mthfd1,Mthfd1
Cycs,Siva1,Mat2a
Rps13,Dnph1,Naa50
Eef1a1,Mat2a,Rpl29
Cct4,Mt3,Etf1
Naa50,Rpl10,Wdr4
Gadd45gip1,Naa50,Pfdn4
Mrfap1,Etf1,Dnph1
Llph,Caprin1,Caprin1
Cdc6,Pfdn4,Ndufaf4
Snrpa1,Ndufaf4,Rpl38
Caprin1,Cluh,Mt3
Strap,Rpl29,Rpl3
Abce1,Polr2e,Cd3eap
Rrp15,Sigmar1,Rsl24d1
Atic,Rrs1,Polr2e
Rcc2,Rpf2,Rpf2
Pabpc4,Ipo4,Fkbp4
Fkbp3,Rps29,Eif3b
Rps29,Rpl38,Gadd45gip1
Cdk2ap1,Eif3b,Dctpp1
Ruvbl1,Rsl24d1,Srsf2
Uchl3,Dctpp1,Rrs1
Ddx39,Fkbp4,Llph
Snu13,Tfap4,Batf3
Lap3,Gadd45gip1,Sigmar1
Gspt1,Mcrip2,Ybx3
Polr2e,Llph,Cluh
Ung,Ybx3,Mbd3
Mrpl20,Timm17a,Timm17a
Etf1,Tg,Sfxn1
Rps16,Srsf2,Rif1
Mrpl42,Rpl3,Rpl18a
Srsf6,Mbd3,Eif4b
Timm17a,Sfxn1,G3bp1
Phgdh,Eif4b,Pebp1
Ddx1,Cdc25a,Rps3
Emg1,Ppan,Hspa4
Rpl37a,Rif1,Ipo4
Timm9,Carm1,Cdc25a
Rpl13a,Rpl18a,Hsp90aa1
Fam136a,Bag2,Tg
Timm13,Rps3,Tfap4
Vdac2,Hspa4,Syncrip
Slc25a4,Hsp90aa1,Cdk2ap1
Glrx5,G3bp1,Tomm70a
Rps11,Nifk,Nifk
Pfdn4,Mt1,Cct4
Npm3,Pebp1,Glrx5
Eif1ax,Tomm70a,Ppan
Mrps18b,Syncrip,Mt1
Ddx21,Cct4,Mcrip2
Rtraf,Glrx5,Hdac2
Rps10,Naf1,Gspt1
Hnrnpab,Cdk2ap1,Rps11
Eif4g2,Endog,Polr2h
Wdr18,Hdac2,Btf3
Zfp706,Smyd2,Carm1
Eef1d,Gspt1,Bri3bp
Cdk4,Polr2h,Srsf6
Sfxn1,Ctps,Cct7
Psmd7,Btf3,Rps10
Gpx1,Bri3bp,Bag2
Dkc1,Dis3,Gtpbp4
Pla2g12a,Rps13,Mif
Gnl3,Ddx21,Endog
Eif4b,Prmt3,Rps13
Mtdh,Srsf6,Ctps
Pop5,Atad3a,Srsf7
Rps15a,Cct7,Ddx21
Mbd3,Psmg1,Rpl7l1
Rsl24d1,Gtpbp4,Mtdh
Snrpd3,Pfdn2,Naf1
Nop16,Tsr1,Smyd2
Wdr43,Cmss1,Arl6ip6
Ola1,Srsf7,Pfdn2
Polr1d,Rps10,Tsr1
Pusl1,Rpl7l1,Psmg1
Slc25a3,Pes1,Dis3
Eprs,Mif,Cmss1
Mettl1,Rps11,Gfer
Eif3a,Noc2l,Tipin
Gpatch4,Rpl10a,Prmt3
Metap2,Mtdh,Pes1
Dynll2,Mt2,Uhrf1
Rps3,Gfer,Atad3a
Uhrf1,Gsto1,Gsto1
Mat2a,Nip7,Noc2l
Ndufaf4,Arl6ip6,Rpl10a
Ebna1bp2,Tipin,2810004N23Rik
Psmc6,2810004N23Rik,Nip7
Chchd1,Msh6,Msh6
Rps21,Eef1e1,Mt2
Mrpl52,Uhrf1,Snrpa1
Phb,Slc19a1,Bcap29
Eif4g1,Bcap29,Eef1e1
Rpf2,Snrpa1,Eprs
Rif1,Mrfap1,Chek1
Eif5,Chek1,Rpl28
Rdx,Mrpl42,Mrpl42
Vdac1,Eprs,Mrfap1
Polr2h,Cd320,Stoml2
Mthfd1,Eif2s1,Eif2s1
Eif3g,Tmem97,Rpl37a
Rcl1,Rrp1b,Uchl3
Dnajc2,Uchl3,Gins2
Shmt1,Stoml2,Mrpl52
Mtap,Rpl28,Gpx1
Rbmxl1,Amd1,Tmem97
Mt1,Jade1,Rbmxl1
Mpp6,Ptpmt1,Ptpmt1
Chchd4,Nudt19,Dtl
Gcsh,Snrpf,Rps21
Prdx3,Rbmxl1,Rrp1b
Prelid3b,Rps16,Snrpf
Rpl19,Timm10,Mpp6
Dynll1,Mpp6,Nudt19
Mrpl18,Asf1a,Denr
Stoml2,Denr,Ube2e1
Hdgf,Cdk6,Asf1a
Denr,Exo1,Amd1
Thop1,Gins2,Jade1
Pfdn2,Adsl,Eif5
Tomm70a,Gpx1,Odc1
Acp1,Rps21,Slc19a1
Bri3bp,Ube2e1,Rps16
Rpl7l1,Mrpl52,Cdk6
Hdac2,Rpl37a,Timm10
Rrs1,Eif3g,Exo1
Hint1,Eif5,Cycs
Snrpd1,Odc1,Eif3g
Arl6ip6,Ola1,Morf4l2
1110004F10Rik,Ebna1bp2,Nap1l1
Mcm2,Morf4l2,Fkbp3
Slbp,Dtl,Rps15a
Dnph1,Mrpl19,Ola1
Gtpbp4,Fastkd2,Ebna1bp2
Gfer,Cycs,Adsl
Psmd3,Eif3j1,Mrps22
Cyc1,Zfp706,Coq7
Ptma,Mrps22,Eif3j1
Ssbp1,Zfp593,Mrpl19
Eif3j1,Nop2,Zfp706
Parp1,Dhrs13,Zranb2
Ak2,Fkbp3,Zfp593
Wdr4,Rps15a,Ptcd2
Dtl,Coq7,Cd320
Rwdd1,Ydjc,Pdap1
Sigmar1,Pfas,Psmd7
Tfdp1,Tsr2,Npm3
Hnrnpa0,Nap1l1,Snu13
Rrm2,Strap,Ipo5
Alyref,Zranb2,Mettl16
Mt3,Ptcd2,Fastkd2
Rps24,Pdap1,Kpnb1
Kpnb1,Mettl16,Parp1
Odc1,Rpl41,Nop2
Srsf11,Psmd7,Pfas
Nip7,Aen,Dhrs13
Mrpl35,Snu13,Strap
Cdc25a,Thyn1,Thyn1
Cisd1,Ipo5,Ipo7
Wdr77,Wdr46,Fasn
Erh,Parp1,Slc16a1
Eif3e,Fasn,Rps17
Nifk,Tma16,Prdx3
Eif5b,Kpnb1,Nbn
Ifrd2,Grwd1,Eif4g1
Cmss1,Slc16a1,Tma16
Trp53,Npm3,Grwd1
Ndufa5,Mrps6,Mrps6
Hnrnpc,Eif4g1,Rpl41
Grpel1,Rps17,Ydjc
Lrrc59,Nbn,Eif4g2
Gins2,Irak1bp1,Utp11
Txnl1,Prdx3,Wdr46
Cd3eap,3110082I17Rik,Pus1
Bcap29,Eif4g2,Emg1
Ccnd3,Aim2,Cdk4
Gsto1,Cdk4,Prelid3b
Ube2e1,Ipo7,Pop5
Ipo5,Prelid3b,Tsr2
Pcbp1,Pop5,Aen
Bcat1,Ubqln4,Timm13
Tsr1,Rcc1,Mcm2
Paics,Emg1,Dscc1
Pabpc1,Utp11,Mrps28
Pin1,Timm13,Rcc1
2810004N23Rik,Dscc1,Parl
Morf4l2,Parl,Nasp
Zc3h15,Pus1,Rpl19
Noc2l,Nefh,Slc25a4
Mrps28,Dgcr6,Trp53
Ywhae,Heatr3,Aim2
Psmg1,Surf2,Shmt2
Ipo7,Rpl13a,Psmc6
Tmem97,Nasp,Nefh
Phf5a,Akap1,Rpl13a
Cluh,Rapsn,Mthfd2
Mthfd2,Mcm2,Trim28
Endog,Nle1,Heatr3
Rpl22l1,Mrps28,Dnajc2
Pes1,Shmt2,3110082I17Rik
Utp11,Psmc6,Psmd3
Eef1e1,Dnajc2,Agpat5
Hnrnph1,Trp53,Tfdp1
Zranb2,Mthfd2,Tmem238
Ppan,Slc25a4,Irak1bp1
Taf1d,Crls1,Dgcr6
Pgp,Atp23,Acp1
Asf1a,Trim28,Ftsj3
Msh6,Ftsj3,Ubqln4
Ptpmt1,Agpat5,Clpp
Psat1,Rpl19,Eef1d
Ssb,Scd2,Phgdh
Cfdp1,Psmd3,Scd2
Prmt3,Acp1,Crls1
Txnl4a,Tmem238,Surf2
Coq7,Xpot,Mrpl17
Bola2,Tfdp1,Vdac1
Rbm8a,Mrpl17,Nle1
Ctps,Clpp,Taf1d
Naf1,Poldip2,Xpot
Cox7c,Taf1d,Rapsn
Mrps22,Mrm3,Wdhd1
Eno1,Arhgdig,Ddx27
Pmm1,Phgdh,Mak16
Hnrnpd,Ssbp1,Cfap298
Hnrnpu,Ddx27,Poldip2
Nudt19,Vdac1,Akap1
Dnaja1,Mak16,Ssbp1
Chek1,Wdhd1,9130401M01Rik
Mrpl15,Cfap298,Atp23
Adsl,Eef1d,Ak6
Cdk6,Psat1,Rdx
Dis3,Tsen15,Thap12
Hnrnpk,Thap12,Ppp5c
Jade1,Ak6,Psat1
Amd1,9130401M01Rik,Rnf126
Rrp1b,Ppp5c,Cinp
Trim28,Vdac2,Tsen15
Zfp593,Wdr12,Desi1
U2af1,Prxl2a,Eif2s3x
Mrpl19,Rnf126,Prpf19
Nbn,Rdx,Fam162a
Suclg1,Tbrg4,Nme1
Srsf9,Eif2s3x,Rtcb
Sod2,Fam162a,Tbrg4
Tsfm,Rtcb,Prxl2a
Parl,Polr1b,Eif1
Shmt2,Cinp,Vdac2
Eif3c,Prpf19,Ak2
Carm1,Gnpnat1,Wdr12
Mrpl17,Ak2,Utp18
Smyd2,Psma7,Mrpl50
Mcm3,Pabpc1,Pmm1
Clpp,Desi1,Chchd1
Nudt5,Utp18,Gnpnat1
Fam162a,Pmm1,Pgp
Dcun1d5,Chchd1,Mrm3
Ahsa1,Noa1,1110004F10Rik
Ptcd2,Rad23b,Ltv1
Smarca5,Nme1,Polr1d
Pus1,Asns,Asns
Mettl16,Eif1,Farsb
Dnaja2,Mrpl50,Pabpc1
Sdhd,Farsb,Coq2
Atad3a,Coq2,Mrpl3
Pnn,Pgp,Psma7
Prpf19,Mrpl3,Rad23b
Ipo4,Ltv1,Ccnd3
Tcof1,Klf16,Noa1
Desi1,Pdxk,Ccdc58
Thyn1,Ccnd3,Arhgdig
Tg,Adi1,Mrpl36
Txn2,Mrpl47,Mrpl47
Glrx3,1110004F10Rik,Uck2
Usp1,Cfdp1,Srsf11
Mrpl36,Polr1d,Klf16
Eif1,Ampd2,Tsfm
Mrpl11,Uck2,Pnn
Mrps15,Tfrc,Tfrc
Ppil1,Eif3a,Cfdp1
Ak6,Mtln,Sod2
Exo1,Tsfm,Eif3a
Mrpl13,Nampt,Eif1a
Mrps33,Ccdc58,Prr5
Ube2v2,Mrpl36,Mcm10
Uqcc2,Tnfrsf8,Mtln
Cpsf2,Mrpl1,Tmem33
Tmem238,Pus7,Eif2b5
Uck2,Utp20,Tssc4
Srsf1,Sod2,Ddx39
Timm10,Eif1a,Chchd10
Batf,Srsf11,Mrpl1
Atp5g2,Eif2b5,Mrpl35
Rad23b,Tssc4,Adi1
Snrpb,Tmem33,Pin1
Pfas,Ddx39,Rwdd1
Ddx27,Nop14,Txnl4a
Fasn,Mcm10,Nampt
Uqcr10,Mrpl35,Carnmt1
Slc16a1,Prr5,Pdxk
Mrps6,Grsf1,Polr1b
Wdhd1,Batf,Utp20
Ptbp1,Pcgf6,Zc3h15
Agpat5,Rwdd1,Lrrc59
Mak16,Tmem216,Rps24
Cfap298,Zc3h15,Batf
Ndufs7,Rps24,Pus7
Rbbp7,Carnmt1,Nop14
Grwd1,Pin1,Grsf1
Rnf126,Timm21,Ash2l
Rcc1,Txnl4a,Ampd2
9130401M01Rik,Eif5b,Rps27l
Eif2s3x,Lrrc59,Pcgf6
Cinp,Pnn,Eif5b
Ccnd2,Nol10,Smn1
Arl6ip4,Abcf2,Abcf2
Mrpl3,Got1,Timm21
Ftsj3,Mrpl20,Slbp
Chchd10,Ash2l,Ruvbl2
Dscc1,Rps27l,Ldha
Mt2,Chchd10,Nol10
Emc6,Ruvbl2,Got1
Stip1,Smn1,Mrpl11
Eif1a,Gnl1,Hnrnph1
Carnmt1,Ldha,Ccnd2
Mrpl50,Prdm5,Ap1ar
Fastkd2,Ap1ar,Orc2
Rtcb,Orc2,Cpsf2
