wilcoxon,t-test,t-test_overestim_var
Jun,Arhgef3,Jun
Smpdl3a,Klk8,Rhoh
Camk2d,Fchsd2,Klk8
Eif3m,Rasgrp1,Ifi208
Fyb,Tnrc6b,Serf2
Fxyd5,Aff3,Tnrc6b
Sept6,Cd28,Zfp36l1
Chd2,Prrc2c,Cd226
Zc3hav1,Cyb5a,Rpl35
Ifi27,Ifi208,Peli1
Tox,mt-Nd2,Chd3
Ctla2a,Peli1,Cyb5a
Rplp0,Chd3,Prrc2c
Mndal,Mndal,Mndal
Rpl8,Fyb,Ifnar2
Trim12c,Kdm5b,Rnf213
Jmjd1c,Pacsin1,Tnfrsf26
Cd53,Ipcef1,Ctla2a
Sp110,Jmjd1c,Ipcef1
Tmem50a,Rps19,Sp110
Ddx6,Sp110,Cd28
Supt4a,Ctla2a,Scml4
Rinl,Ifnar2,Fyb
Srsf5,Chd2,mt-Nd2
Cd69,Adcy7,Adcy7
Actn1,Ube2h,Trp53inp1
Mettl23,1810058I24Rik,Jmjd1c
Trim30a,Trp53inp1,1810058I24Rik
Rps3a1,Tut4,Slc25a36
Arhgap45,Rnf213,Pdrg1
Scand1,Pdrg1,Rps19
Tut4,Fosb,Chd2
Nr4a2,Trim30a,Ube2h
Tnrc6b,Slc25a36,Trim30a
Satb1,Vmp1,Il16
Rpl28,Foxp1,Slfn5
Ppp1r15a,Il16,Ddx60
Zfp36,Scml4,Elk4
Jak1,Tnfrsf26,Tut4
Plaat3,Trac,Cxcl10
Cd226,Ppp1r15a,Fosb
Arid5a,Nr4a2,Vmp1
Lef1,Zfp36,Mxd4
Ubl5,Elk4,Cyld
Nek7,Cyld,Tnfrsf25
Ier5,Lef1,Ms4a4c
Dguok,Mxd4,Pou2f2
Arhgap9,Fxyd5,Lef1
Ctsw,Nek7,Foxp1
Rtp4,Slfn5,Pecam1
Rpl13a,Ms4a4c,Nek7
Kxd1,Srsf5,Ppp1r15a
Ipcef1,Ifi209,Nr4a2
Cyld,Pecam1,Zfp36
Ifi209,Pou2f2,Ifi209
Polr1d,Rplp0,Pkp4
Foxp1,Cxcl10,Fxyd5
Tspo,Dguok,Ms4a6d
Rps15,Rinl,Rinl
B4galnt1,Satb1,Ifit1
Stk17b,Ddx60,Zdhhc20
Pbxip1,Tspo,Arhgap9
Rpl6,Arhgap9,Dguok
Eef2,Cd53,Trac
Klrd1,Plaat3,Gpbp1l1
Cd6,Ms4a6d,Btla
Arhgef3,Fam189b,Tgif1
Stat4,Ctsw,Satb1
Cd27,Zc3hav1,Srsf5
Chd3,Cd6,Plaat3
Adcy7,Zdhhc20,Fam189b
Rpl3,Sh3kbp1,Ikbke
Nbdy,Tnfrsf25,Cd6
Trac,Ehd3,Ehd3
Klf6,Tgif1,Cd72
Rpl23a,Pkp4,Dock2
Mrpl24,Cd69,Sh3kbp1
Dock2,Cotl1,Cd53
Rapgef6,Gpbp1l1,Tspo
Fam189b,Rps3a1,Zc3hav1
Mgst2,Dock2,Leng8
Smap2,Tmem50a,Nlrc5
Fosb,Xcl1,Dapl1
Prdx6,Arhgap45,Syne1
Ehd3,Klrd1,Ifi214
Cnp,Ikbke,Tmem50a
Socs3,Leng8,Ikzf2
Nfkbiz,Ddx6,Ctsw
Nsa2,Btla,Rapgef6
Eif1,Syne1,Tbc1d4
Rpl7,Rapgef6,Ifi206
Tagap,Ikzf2,Sorl1
Ddx24,Jak1,Arhgap45
Rasgrp1,Rnf145,Hint2
Uhrf2,Cd72,Ddx6
Hif1a,Ifi206,Uhrf1bp1l
Ndufa1,Ifi214,Rplp0
Zfp292,Tagap,Cotl1
Ube2h,Hint2,Scai
Slfn5,Borcs8,Rnf145
Crlf3,Nlrc5,Borcs8
Macf1,Irf7,Hvcn1
Rsrp1,Ifi27,Irf7
Gabarap,Ifit1,Orai2
Myl12b,Vsir,Abcg1
Cd8b1,Hvcn1,Cd69
Il7r,Sorl1,Mbnl2
Smad7,Ier5,Uhrf2
Kmt2a,Uhrf2,Jak1
Gstp3,Ash1l,Rab37
Borcs8,Uhrf1bp1l,Tagap
H2-Q4,Eif3e,Arid5b
Ifnar2,Mbnl2,Ash1l
Epsti1,Nfkb1,Xcl1
Psme1,Dapl1,Vsir
Nfkb1,Abcg1,Rps3a1
Rilpl2,Rab37,Faah
Aff3,Scai,Tmem42
Tprgl,Orai2,Ifi27
Bcl11b,Stat4,Eif3e
Trbc1,Zfp292,Nfkb1
Tsc22d3,Arid5b,Gbp9
Ndufa6,Tbc1d4,9930111J21Rik2
Il16,Vps13a,Eva1b
Tmem134,Mettl23,Ier5
Arhgdib,Fam169b,Vps13a
Prkcq,Smad7,Lysmd2
Prr13,mt-Nd4,Klrd1
Pim2,Eva1b,Fam169b
Pdrg1,H2-Q4,Fas
Vsir,Rpl36a,Smad7
Skp1a,Tsc22d3,Zfp292
Rac2,Sept6,Aim2
Ddt,9930111J21Rik2,Smarca2
Rnf138,Gbp9,H2-Ke6
Clint1,Gstp3,Gstp3
Xcl1,Faah,Stat4
Gpsm3,Fas,H2-Q4
Cox6c,Hif1a,Irf9
Celf1,Rsrp1,Kmt2a
Rpsa,Rabgap1l,Kmt2d
Sri,Supt4a,Mettl23
Zdhhc20,Kdm7a,mt-Nd4
Cd5,H2-Ke6,Clec2d
Arhgap15,Ddx3y,Kdm7a
Stat1,Irf9,Tet3
Vps13a,Kmt2a,Rabgap1l
Batf,Tmem42,Ddx3y
Pacsin1,Smarca2,Sept6
Arpc3,Clec2d,Siah2
Mxd4,Aim2,Rpl36a
Traf3ip3,Myl12b,Hif1a
Stk4,Ankrd12,Rsrp1
