gene_name,Chd7_1,Chd7_2,Chd7_3,Ctrl
Gm11231,4.70402489675962,8.80919032988654,7.91104365317815,6.0322582354712155
Gm28973,0.0,0.0,0.0,0.0
Gm13367,0.0,0.0,0.0,0.0
Igkv1-135,5.266871366673925,0.4514654914014535,0.39124322475799395,3.6966327944429698
Hmces,472.4457305754805,448.65362581473346,499.875299373177,447.25866497095575
Gm21734,0.0,0.0,0.0,0.0
Gm11232,0.0,0.0,0.0,0.0
Uprt,158.3194925548805,134.4909961287085,167.76579647216647,196.43914839842932
Pcdhb6,0.0,0.0,0.0,0.0
Tbc1d20,1375.271323303385,1333.86550753855,1348.5353238736602,1396.7670653382766
Gm9728,1.019195391126605,0.505064027157535,0.0,1.03478787679842
Ctss,892.6670339783291,745.0403801649104,987.5351477057401,804.4208817603172
Hcrt,0.0,1.005147371671365,0.0,0.3401652482681266
Ino80b,323.45505645894,360.850457594967,421.60524732762,389.3859162992176
Rab11fip1,958.1096998333645,974.193466204073,878.1829551886846,827.8344703798348
Etf1,2882.0117892957296,3184.1703608801554,2864.079496473785,3082.354177266847
Gm6122,0.0,0.0,0.0,0.0
5730480H06Rik,239.4316976933905,231.73888040402102,254.151710572901,191.22917346031332
Pcdhga5,0.0,0.0,2.4709455063197447,1.7475051225335998
Gm13366,0.0,0.0,0.0,0.0
Drd4,0.0,0.0,0.3908028405495765,0.0
Crb1-ps,14.006440558605664,18.60507649974715,8.837114308323015,7.876504139178117
Gm33022,0.0,0.0,0.0,0.0
Gm5630,1.04822903098416,0.0,0.0,0.0
Atp13a3,4116.156301275105,4298.588262956109,3830.1625473952054,3898.057568085203
Gm13065,0.540769788498045,0.0,0.0,0.0
Pcdhb4,0.540769788498045,0.0,0.0,0.0
Gm13064,0.0,0.0,0.0,0.0
Gm9637,0.0,0.0,0.0,0.0
Col5a3,0.9667367507484721,0.568132056194105,0.0,0.78373794198637
Ugt2b36,0.0,0.0,0.0,0.0
Fgf21,0.0,0.0,0.0,0.0
Htatsf1,886.6131936166295,925.7902998850705,905.8469298877565,997.7796848463186
Ghdc,149.705728078161,172.1780101479315,195.454376066189,205.514217811649
Xab2,1574.929366915485,1640.9772818667548,1564.53077985363,1566.8424504466832
