gene_name,Chd7_1,Chd7_2,Chd7_3,Ctrl
Slc25a32,17.134705,14.39557,15.761444000000001,17.724408333333333
Slc25a33,7.173624,9.286720500000001,8.009548,8.146345666666667
Slc25a34,0.11608249999999999,0.177846,0.050148,0.07127433333333334
Slc25a35,1.5260025000000002,1.5504125,2.1587625000000004,1.0785179999999999
Slc25a36,32.398157499999996,31.348092,38.9011275,40.24033533333334
Slc25a37,16.166558000000002,16.902417,16.2495005,20.414951000000002
Slc25a38,23.2839365,21.5267635,22.7732835,22.415431333333334
Slc25a39,23.4357835,19.453808000000002,25.0730255,24.701819666666665
Slc25a4,102.7836865,91.11766650000001,94.99020300000001,99.09241833333334
Slc25a40,19.386348500000004,19.219759500000002,22.058027000000003,21.23154866666667
Slc25a41,0.0,0.0,0.0,0.02491966666666667
Slc25a42,3.211047,2.8565614999999998,3.941766,3.1861376666666668
Slc25a43,4.7312015,4.2727465,4.214309,4.173462
Slc25a44,14.5118975,13.848372000000001,14.1664955,14.239258999999999
Slc25a45,31.011342,31.690789000000002,30.8791935,35.87213233333333
Slc25a46,16.4327605,15.951568000000002,15.625164000000002,16.63530833333333
Slc25a47,2.6200285,2.9803930000000003,3.1530005,3.6699176666666666
Slc25a48,0.38022100000000003,0.177974,0.368545,0.25544466666666665
Slc25a5,412.75592100000006,420.415057,405.03175250000004,412.98339533333336
Slc25a5-ps,0.11150050000000002,0.0942075,0.1044335,0.07293500000000001
Slc25a51,39.8116865,33.9384675,39.0388075,40.892957333333335
Slc25a53,15.443928499999998,15.3378355,16.5861595,14.926426000000001
Slc25a54,0.0,0.0,0.0,0.0
Slc26a1,0.0,0.0083625,0.0238845,0.0
Slc26a10,0.1486575,0.0790525,0.0653165,0.06910133333333333
Slc26a11,6.4128225,5.962905,6.932866500000001,6.877410666666667
Slc26a2,10.339584,10.9395055,12.5771515,11.347956666666667
Slc26a3,2.2883595,1.782723,2.028648,2.016024666666667
Slc26a4,0.0,0.0,0.0,0.0
Slc26a5,0.037741000000000004,0.0,0.0,0.0
Slc26a6,11.054317000000001,11.0939155,10.945577499999999,10.082683666666666
Slc26a7,0.0,0.059611000000000004,0.0,0.0
Slc26a8,0.42437749999999996,0.3412385,0.1486645,0.27036866666666665
Slc26a9,0.055859,0.09083550000000001,0.1338595,0.06973866666666667
Slc27a1,2.904673,3.178182,3.2876939999999997,3.1130176666666665
Slc27a2,0.0,0.0,0.0,0.008597666666666667
Slc27a3,1.6721,1.174553,1.7538935,1.6218436666666667
Slc27a4,22.811251,19.0386685,20.165918,19.812208
Slc27a5,0.11973800000000001,0.30848349999999997,0.0775675,0.18820133333333333
Slc27a6,0.0,0.12613,0.049632499999999996,0.010879333333333333
Slc28a1,0.0,0.0,0.0,0.0
Slc28a2,90.8540735,73.472346,89.7042385,85.41225866666666
Slc28a3,1.112393,0.931083,1.4887899999999998,1.2200916666666666
Slc29a1,48.847042,46.51556050000001,43.35447099999999,39.989994333333335
Slc29a2,0.49926250000000005,0.23353600000000002,0.5484120000000001,0.43673999999999996
Slc29a3,8.9060835,8.5155995,9.6212275,7.342474
Slc29a4,1.0484404999999999,1.1293395,0.858066,1.6881773333333332
Slc2a1,40.561090500000006,43.178512,44.668887999999995,42.00361366666667
Slc2a10,0.0344555,0.0,0.038776500000000005,0.026295666666666665
Slc2a12,0.009008,0.0,0.0,0.0
Slc2a13,0.0,0.0,0.0,0.0
Slc2a2,0.109207,0.036614,0.07025,0.06849000000000001
Slc2a3,87.39859750000001,103.123095,93.6217675,105.77670866666666
Slc2a4,0.0,0.020766,0.0,0.09194666666666668
Slc2a4rg-ps,28.82759,25.3760505,28.7479185,26.470104666666668
Slc2a5,0.0,0.0,0.0,0.0
Slc2a6,0.8703470000000001,0.5446715,0.5199830000000001,0.687264
Slc2a7,0.0,0.0,0.0,0.0
Slc2a8,4.3630735,4.727285999999999,4.2399005,4.791556333333333
Slc2a9,9.327953999999998,9.1736625,7.0020335000000005,8.762945666666667
Slc30a1,4.8457360000000005,4.437592,4.190416,5.224911333333334
Slc30a10,0.013602000000000001,0.014761000000000002,0.0210825,0.008793666666666667
Slc30a2,0.0,0.031419,0.0,0.013569666666666666
Slc30a3,0.0,0.192022,0.144768,0.13921033333333332
Slc30a4,5.820948,6.6770745,4.7319045,6.168893
Slc30a5,33.9928715,29.912398500000002,33.18714799999999,33.77537233333333
Slc30a6,35.0535855,34.28284,34.254172,32.112452
Slc30a7,32.924862,26.611147000000003,28.345712499999998,30.532825333333335
Slc30a8,0.31722649999999997,0.2134455,0.16567099999999998,0.11663699999999999
Slc30a9,67.64680499999999,65.4796485,63.445601499999995,65.63899866666667
Slc31a1,3.734258,3.991468,3.5694444999999995,3.703597333333333
Slc31a2,4.1059684999999995,3.564089,3.929101,4.568783000000001
Slc32a1,0.0,0.037091,0.0,0.008991333333333334
Slc33a1,18.391133,19.9179635,19.079697,19.334281666666666
Slc34a1,0.0969335,0.0,0.0,0.0
Slc34a2,0.0,0.0,0.0,0.0
Slc34a3,0.0,0.0,0.0,0.0
Slc35a1,9.778151000000001,9.263733,8.6675585,10.595646333333333
Slc35a2,13.339650500000001,14.9793105,13.22106,11.067751333333334
Slc35a3,29.13809,23.791904000000002,28.446602499999997,27.822984
Slc35a4,36.9630335,35.3930525,34.3091685,33.23135466666667
Slc35a5,16.4455635,16.673061,18.391319999999997,16.998228333333333
Slc35b1,58.968588999999994,59.809672000000006,58.758026,52.94429566666667
