paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_paga1,X_paga2,velocity_paga1,velocity_paga2
41537.15466691175,53171.72041625287,2.8344736,-1.0201972,0.18293495,4.0385966,-2.962996,1.3641373,-3.4506867,3.9055853,-2.2975671,4.3230247,1.9502549,-0.5564092,-2.0001934,0.9031104,-0.51432383,1.4379274,0.24993242,1.674939,0.34830603,2.3552625,-1.5595065,-0.036866195,-1.6371255,0.41268525,0.94723624,-1.619714,-0.88215053,-1.0747328,0.34820554,-0.9614733,41537.15466691175,53171.72041625287,636.4105165642086,-85.00987923531183
43723.3679313671,55636.62119023887,6.9327726,-2.9962347,2.9608686,1.3023914,-2.0184343,0.4557771,3.048499,-1.6389304,1.6843841,-2.0423262,1.1696402,-0.91116726,0.9258215,-0.5286707,-0.437797,0.24316691,0.5091875,0.7797425,-0.5435561,0.38241053,0.7355029,0.27445096,1.4873327,1.6107315,0.35326773,-0.050390188,-0.12020349,-0.35686058,0.19491425,0.68904936,43723.3679313671,55636.62119023887,593.0572695327653,-66.40584844749885
10530.49445572625,-13158.01591250058,-10.198269,2.1307726,1.7280524,-1.8796965,1.2276094,0.035772096,0.27627316,-0.09630238,0.4566782,-0.50160736,-0.5955215,0.6371309,0.015195094,-0.54220235,-0.12997232,0.18022051,-0.13235545,-0.07492959,0.908613,0.6174526,-0.12742855,-0.47552097,-0.45926467,-0.37741476,-0.45332727,-0.40125453,0.17668708,0.046607353,-0.061232623,-0.30026054,10530.49445572625,-13158.01591250058,-566.5239680586142,373.8050424277394
11871.277676727237,-20928.864690491588,-13.71652,3.9780984,2.0199556,-2.97922,1.3066843,0.470536,0.2790162,1.2712251,1.5240554,-0.39925084,0.4643554,0.019910857,0.8244512,-0.8865585,-0.6866246,-0.028144274,-0.48602045,-0.31623098,-0.0026368417,0.7558513,-0.51264066,-0.8294517,-0.36597976,-0.9029613,-0.34867457,0.00016486648,0.28717732,-0.50472087,-0.37827718,-0.091654636,11871.277676727237,-20928.864690491588,-392.9091158960927,172.92831320223607
46625.56798257875,53483.866502221295,3.265847,-3.2934358,3.228292,0.03407093,-0.69008815,3.6194127,1.680087,-2.1420052,1.4360421,0.68626016,1.2799346,-1.5634599,1.1371037,-0.682322,-1.5695763,1.2724804,-0.029583922,0.9991907,0.5840152,0.80210686,0.89028656,-0.28648463,0.57108945,0.12514472,-0.051998828,-1.1950628,0.1356801,1.0942934,0.13690561,-0.54065424,46625.56798257875,53483.866502221295,749.7067697741546,-133.0180340751615
30190.70697090784,30886.460424808636,5.5536647,-5.597402,-4.866163,-0.9758052,-0.6279121,-1.0858616,2.5962677,-0.64933264,-0.8408175,0.09206816,-0.32308924,-0.7209358,-0.4062802,-0.14959592,-0.64066917,0.07914204,0.29578337,0.072492145,0.3530166,-0.37177452,-0.32213616,0.92570984,-0.07171391,1.0478563,-0.29689702,-0.024474205,-0.18871652,-0.34906685,-0.49844223,-0.2769692,30190.70697090784,30886.460424808636,219.19425721204354,-24.57836428991562
46734.27962524771,54734.81910774797,8.500446,-2.800423,3.3284583,2.9854567,-1.861002,4.495686,1.016932,-1.9998989,0.80273783,-4.050952,0.12964003,1.5895188,-1.4753006,-0.97973895,2.8270597,-1.175964,1.32651,0.7379796,-0.009511603,-1.3457355,0.47085643,0.31383327,0.35448337,-0.41772324,-0.19916503,-0.43579662,0.17604746,-0.8365848,2.1471875,1.4003195,46734.27962524771,54734.81910774797,596.3026602159881,-243.74699198621522
12260.505560639798,34672.42219565419,-8.789214,4.364017,-1.7489725,1.3963015,-2.2341712,1.8096457,2.2485821,0.20897284,-0.4971518,0.19537142,0.00866842,-0.11456882,-0.010419939,-0.26476246,0.24632019,-0.40950188,0.00023736396,0.6439013,-1.4856818,-0.7695324,0.49207005,-0.79225314,-1.0518764,-0.7390319,0.40873072,-0.032363426,0.946848,0.27699232,0.13953756,-0.46053284,12260.505560639798,34672.42219565419,-335.90856165431177,408.1648613585881
6125.475820834085,37662.85698072396,-5.4795346,0.15770248,-1.628989,2.1777387,-1.7119113,0.33318728,1.488692,-1.4698342,-0.9464136,-1.6747104,-0.35716522,-0.15580195,0.6173721,0.8215931,-0.6206531,-0.28394544,-0.017533122,-0.091999985,-0.44938233,0.67139196,0.23662144,0.9429803,-0.013122969,0.9083664,0.6348964,0.15714616,-0.28763425,0.0577263,0.41566858,-0.20429063,6125.475820834085,37662.85698072396,-18.607596532804916,-86.39464355277507
12780.064719124412,-20641.189892865517,-13.521623,3.4356685,0.42201123,-1.9306095,0.15019117,1.2612365,1.3692299,2.1597605,0.7432547,-0.84826547,0.54294586,0.047163364,0.69770175,-0.65386117,0.017417302,-0.5910132,0.0024148822,-0.030492129,0.46472272,-0.041466538,-0.017454203,-0.117331885,0.38071418,-0.29557958,-0.48969805,0.011499708,0.4994062,-0.09171268,0.0021431784,-0.66487753,12780.064719124412,-20641.189892865517,-205.91157012388024,170.2965588145878
