gene_name,0_A5P,0_A5T,0_A8P,0_A8T,0_C5P,0_C8P,0_NP14B,10_A5P,10_A5T,10_A8P,10_A8T,10_C5P,10_C8P,1_A5P,1_A5T,1_A8P,1_A8T,1_C5P,1_C8P,2_A5P,2_A5T,2_A8P,2_A8T,2_C5P,2_NP14B,3_A5T,3_A8P,3_A8T,3_C8P,3_NP14B,4_A5P,4_A5T,4_A8P,4_A8T,4_C5P,4_C8P,5_A5P,5_A5T,5_A8P,5_A8T,5_C5P,5_C8P,6_A5P,6_A5T,6_A8P,6_A8T,6_C5P,6_C8P,6_NP14B,7_A5P,7_A5T,7_A8P,7_A8T,7_C5P,7_C8P,8_A5P,8_A8T,8_C5P,8_C8P,9_A5P,9_A5T,9_A8T,9_NP14B
Mcm3,0.041587513,-0.43528154,-0.4172702,-0.30531198,-0.3881758,-0.13313885,-0.5443786,-0.7515187,-0.67452896,-0.9224386,-0.3579384,-0.790553,-1.3210757,-0.13542314,-0.2314463,0.26297945,0.2255096,-0.1843229,-0.047023833,1.1608182,0.23637007,-0.32829234,-0.332212,1.1394968,-0.5419377,-0.6018557,-1.2463605,-0.20453143,-0.62190586,-0.28613737,1.0344715,1.2167702,1.9051466,1.6897585,1.2121649,1.4855268,0.6527881,0.37114277,0.5482644,-0.35961106,0.48610264,-0.16248828,-0.12754911,-0.15168202,-0.4646196,-0.3813902,-0.053142812,-0.08053293,-0.0177897,0.113388814,-0.48098457,-0.36772698,-0.52825767,-0.38796642,-0.67639786,-0.7666156,-0.21978827,0.5277812,0.09546652,-0.7306997,-0.42537838,-0.3444507,-0.7813772
Paqr8,-0.057728395,0.0044863834,-0.052325282,-0.09333816,-0.06992051,-0.093162164,-0.10120313,0.035133034,0.03242724,-0.07214733,-0.08448207,0.07866962,-0.01706537,-0.039307915,-0.022356808,-0.07637745,-0.074086875,-0.015839294,0.07460615,-0.0853375,-0.09412616,-0.07816017,-0.050164282,-0.09652463,-0.10130937,-0.09870135,-0.030414894,-0.09778226,-0.097828634,0.07383615,-0.037969224,-0.032214686,-0.07856812,-0.07260586,0.0272176,-0.07542715,0.012449168,-0.06377873,-0.09460399,-0.08924603,-0.030219892,-0.084231414,0.031550884,-0.010633183,-0.09763465,-0.09430394,-0.007238029,-0.014966429,-0.095615074,-0.048773915,-0.0665767,-0.09019685,-0.08541113,0.0022298137,-0.07472577,-0.09152994,-0.08567421,-0.07012105,-0.03601807,-0.09309324,-0.051543575,0.028653968,-0.09088743
Khdc1a,-0.03965053,-0.057075225,-0.06550574,-0.066335924,-0.048787106,-0.066204034,-0.0722298,0.014213846,0.08599911,-0.05045585,-0.059699308,0.007891719,-0.009178304,-0.025846515,-0.010154833,-0.053625837,-0.051909316,-0.03088525,-0.050786167,-0.06034035,-0.066926435,-0.06945296,-0.04585159,-0.06872381,-0.07230942,-0.07035501,-0.019182226,-0.06966627,-0.069701016,-0.06873322,-0.03774583,-0.039389092,-0.055267494,-0.05079947,-0.041456256,-0.052913696,-0.03676212,-0.023328844,-0.06728452,-0.06326935,-0.047274277,-0.05951147,0.002805751,-0.0043581245,-0.06955565,-0.067059666,-0.0018138501,-0.00760539,-0.068042204,-0.032940183,-0.046281304,-0.063981876,-0.060395535,-0.046659272,-0.05238809,-0.06498087,-0.06059268,-0.048937388,-0.06016157,-0.06615238,-0.06537475,-0.06718308,-0.064499386
Ogfrl1,0.42165932,0.18021764,-0.062471647,0.009880201,-0.24717835,-0.22376354,-0.21566269,0.117984526,0.20016214,3.9532907,-0.121054485,-0.22428812,0.041820586,0.07863476,0.25875366,-0.09184061,-0.0147517035,-0.19918156,-0.23304407,-0.2316465,-0.22279236,-0.1677786,-0.1715021,-0.22037603,-0.21555567,-0.2181831,2.7386281,-0.21910903,-0.2190623,-0.03893361,0.25084454,0.3320322,0.5228564,-0.022060808,-0.16770674,0.17383009,0.3686489,0.23536563,-0.22231098,-0.22770886,-0.17549992,-0.23276082,-0.07888821,0.08607932,-0.21925774,0.9285369,-0.123067215,0.22669451,-0.22129236,0.40782854,0.020834079,-0.22675095,0.14020625,-0.17227423,-0.002170257,-0.22540793,-0.23130728,0.050882947,-0.07598028,-0.22383298,-0.07792762,-0.22244735,-0.22605523
B3gat2,-0.10818681,0.13155183,0.001288972,-0.0062592523,-0.112079576,-0.1195003,-0.12206767,0.028238064,0.10144407,-0.11279057,-0.11672887,0.14145216,-0.0952037,0.11289854,-0.051839665,-0.11414119,-0.11340984,0.0033804926,-0.064618744,9.212051,-0.11980809,-0.023941226,0.04504455,-0.12057389,-0.12210158,-0.12126888,-0.099466,-0.120975435,-0.12099025,-0.06365368,-0.03218615,0.01794906,-0.114840634,-0.11293697,0.010719127,-0.11383777,-0.070991874,-0.015128539,0.658617,-0.11824994,0.09324019,-0.116648845,-0.00567858,-0.07670703,-0.1209283,-0.11986486,-0.00013171446,0.14332907,-0.120283484,-0.10532778,0.11877491,-0.11855352,0.25779092,0.044560783,0.17069383,-0.11897916,-0.11710951,-0.112143606,-0.066964574,-0.11947829,-0.11914697,-0.11991744,-0.11877401
Lmbrd1,0.025654854,0.104858436,0.052345295,-0.034308854,0.21022499,-0.49032652,-0.49918863,-0.0036528779,-0.013404648,-0.1550764,0.1663444,-0.0433639,0.5529466,0.032307908,-0.0143615315,-0.09669407,-0.24282151,-0.034246173,0.037915852,-0.48170277,0.710117,0.05327407,0.05156253,0.88864577,-0.49930573,-0.49643138,-0.42117143,-0.49541843,-0.49546954,-0.15402047,-0.031762812,-0.0962664,0.49716958,0.21734011,-0.10939086,-0.010702471,-0.05930943,0.046734154,0.25356212,0.0054353024,0.08579682,0.15829024,-0.05062906,-0.10900502,-0.11584378,0.09330914,-0.13087967,0.1032459,-0.49302992,0.13538636,-0.13636886,0.23356791,0.13890143,0.100888856,0.27607232,-0.4885276,0.116757594,0.53276354,0.38168898,-0.49025053,-0.27784893,-0.13234267,-0.4878195
Phf3,0.243834,0.13884874,0.07178861,0.11664376,0.4535527,-0.050056793,-1.3462023,0.11446719,0.09518669,0.0152268605,0.13741052,0.10751474,0.69955885,-0.024311302,-0.20281407,-0.09077,-0.20203325,-0.008055649,-0.23326845,0.86312574,0.13750798,-0.017892897,0.1414511,0.27429223,2.2920165,0.44928074,0.96537715,0.8483163,-1.3359911,0.032134965,-0.18964729,-0.03796551,-0.087754846,-0.19400777,-0.014431532,0.048428807,-0.14546028,-0.20634605,-0.11075035,-0.22824557,-0.25590032,-0.50023264,0.064857595,0.15163444,-0.2132009,0.14680135,-0.18013114,0.15016557,0.54762197,-0.110198945,-0.0059070364,0.16679604,-0.02850191,-0.028555548,0.25537217,1.2260399,0.32788146,0.021730425,0.049145777,1.3433172,0.26318103,0.16310483,-0.42156827
Ptp4a1-1,0.019434532,-0.13878626,0.08091606,-0.0034958287,-0.15823345,-0.16804814,-0.17144375,-0.0015156454,0.02620498,0.6834017,-0.16438264,0.047493245,-0.13591334,0.03888444,0.03541122,-0.013696986,-0.15999286,0.014852329,0.030695075,-0.16474387,-0.16845521,-0.11143155,0.14806657,-0.16946808,-0.17148861,-0.17038727,-0.14155069,-0.16999915,-0.17001873,-0.050592154,-0.02782086,-0.04841466,0.34440807,0.044048097,-0.07898908,0.024567226,-0.010237731,0.11778446,-0.168657,0.52774185,-0.030226229,0.062156297,-0.0303237,-0.034889545,-0.16993682,-0.1685303,0.053238645,-0.03639662,-0.16908398,0.02118019,0.04642012,-0.16679592,0.18291984,0.0006121667,0.038646467,-0.16735888,0.31179935,-0.15831815,0.0274752,-0.16801904,0.047183976,0.15091287,-0.16708755
Zfp451,0.030537164,-0.07102225,-0.07002285,-0.10635665,0.033592083,0.13931595,-0.52762395,0.009219654,0.026871894,-0.24748419,-0.07268353,0.0013816868,0.4264599,-0.070010774,-0.08468372,-0.028857924,-0.18574695,-0.0177627,0.22598521,-0.52655774,-0.52714837,-0.014387763,-0.06423779,-0.52730954,-0.5276311,3.2248096,-0.5228668,-0.52739406,-0.52739716,0.15009572,-0.09236523,-0.0046410104,0.27565995,0.355905,0.11301679,0.37574703,-0.09158521,-0.059389316,-0.02995988,0.07484037,-0.043900326,0.095822684,0.051036265,-0.034917537,0.14614145,0.25077337,0.044989437,0.0955075,-0.075174995,-0.21010573,-0.26097044,-0.25172,0.0117377415,0.03263898,0.44815084,-0.5269739,-0.1236005,-0.08781912,0.1802682,-0.527079,0.19704346,-0.0017740116,-0.5269307
Bend6,-0.04898468,0.025618216,-0.044921063,-0.06531179,-0.054574773,-0.06523109,-0.06891788,-0.016028464,0.08694595,-0.055595774,-0.06125126,-0.019896574,-0.030340645,-0.040538874,-0.00095969555,-0.057535287,-0.056485057,-0.043621756,-0.055797875,-0.061643478,-0.06567308,-0.04793321,-0.04363062,-0.06677279,-0.0689666,-0.06777082,-0.036461413,-0.06734941,-0.06737068,-0.05545391,-0.013628792,-0.048824724,-0.058539715,-0.05580601,-0.02105683,-0.057099573,-0.047217444,-0.005620056,-0.065892175,-0.06343554,0.0133252395,0.17306311,0.03861887,0.060816836,-0.06728174,-0.0657546,-0.0258348,-0.029378278,-0.06635576,-0.04487904,-0.053041633,-0.063871495,0.31092286,-0.026729388,0.12952705,-0.06448272,-0.06179786,-0.054666724,-0.037045732,-0.065199494,0.016111728,-0.06583011,-0.06418812
