gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mt-Cytb,32065.3146659071,0.326143980027321,0.201886180441071,1.61548442451474,0.106205830629893,0.279912197980544
mt-Nd6,4682.3705175634,0.0729529327805524,0.189831821419685,0.384302970044555,0.700753906929143,0.848054129067124
mt-Nd5,7476.45467890995,0.0787724167840186,0.220431188905936,0.357356040109338,0.720825281823142,0.857967343962269
mt-Nd4,20297.7224821947,0.272147420811803,0.143448756767304,1.89717517910084,0.0578048215877067,0.191023880611031
mt-Nd4l,838.736402999122,0.154062664247747,0.265999395099492,0.579184265400766,0.562464846582328,0.753043200119613
mt-Nd3,3326.50284466576,0.405182835817876,0.232079292914088,1.74588103372009,0.0808316262059778,0.235074854012809
mt-Co3,90918.8310591927,0.157737839230841,0.137941913683276,1.14350914105061,0.252827261620396,0.47693553096672
mt-Atp6,62800.5024439065,0.278123412779965,0.164393729956885,1.69181277687968,0.0906816766741636,0.253198318643368
mt-Atp8,4718.98042412754,0.299942515325977,0.257702283098338,1.16391097401151,0.244460091847773,0.466138093458623
mt-Co2,55105.4703661045,0.189379613503859,0.15783720869503,1.19984137498133,0.230200951840033,0.448986318604407
mt-Co1,68415.4048654321,0.143185450704849,0.177236470698857,0.80787802950633,0.419160800169755,0.637316602579638
mt-Nd2,12056.7781862621,0.110731891039753,0.197694008307197,0.560117587720145,0.575399234745415,0.762373066240638
mt-Nd1,38601.7605496439,0.250883634711288,0.19106959530744,1.31304844346168,0.189166624935545,0.398367576909079
Gm15190,0.342688672138476,0,0.448717947245699,0,1,NA
Arrb2,668.997315404761,0.301273966056885,0.268751438340426,1.12101340895993,0.262282154781877,0.487257316466715
Usp22,336.61270024423,-0.00174214017796066,0.182383438800373,-0.00955207440664343,0.992378663205303,1
Gm29257,23.6467686538237,0.0353744917449181,0.489243551930505,0.0723044618683967,0.942359613935397,NA
Gm17908,0,NA,NA,NA,NA,NA
Gm17918,0.0380498173786147,0.105496891926678,0.448717947245699,0.235107359922272,0.814125406399588,NA
Odf2l,120.74869093732,-0.67138173632244,0.38058556590827,-1.76407566776786,0.0777192404733117,0.229932219344956
Gm33778,0,NA,NA,NA,NA,NA
Mymx,0.131854083945354,0,0.448717947245699,0,1,NA
Wsb2,198.469776549867,-0.0278166108009807,0.349715670845159,-0.0795406472170841,0.936602602206453,0.980843848376977
Orai3,166.917998608981,0.145733744029702,0.348762618480797,0.417859415852865,0.676049906626814,0.833450231946163
Mpeg1,55.4609839371828,-1.10131269965616,0.78320886379429,-1.40615454008117,0.159678239898894,0.359610633118527
Tm9sf3,2135.84676739228,-0.141290863594423,0.122538973200386,-1.15302797064713,0.248898904074032,0.47222501175391
Ivd,284.455811501188,-0.722081564625787,0.440170538824842,-1.64045864258336,0.100909840836287,0.270789813603957
Wdr81,121.608775638435,-0.301877014256358,0.331730529647726,-0.910006729187481,0.362818960981916,0.586182530393077
Alas1,224.734386462151,-0.125425196284206,0.290411158053782,-0.431888351414439,0.665822561363434,0.826187640086136
Cyp2d11,0.121889199336314,0,0.448717947245699,0,1,NA
D10Wsu102e,3396.71974346816,-0.343198127315609,0.297902358717517,-1.15204904315995,0.249300920813027,0.472515377415735
Arhgap10,146.424941166875,-0.25861445830704,0.264577153547788,-0.977463302629148,0.328339836986579,0.55289621593803
Aldh1l2,13.7271658528351,-0.596840903750187,0.742662717657938,-0.803650014413522,0.421599129719993,NA
Acss1,322.491899087607,-0.223833428905551,0.182960970815979,-1.22339440978744,0.221180763764979,0.438055797296015
Tacc1,1248.32743701286,-0.34316561738058,0.243802176685678,-1.40755764384748,0.15926209698944,0.359059275893362
Srp68,716.885577647423,0.0230326347022023,0.183159457722985,0.125751817506674,0.899928382956667,0.961593711125004
Tatdn3,127.418607472766,-0.22374539276717,0.37246443616713,-0.600716124926279,0.548029077171408,0.742731078592755
Kif9,10.7689934929382,0.888144129144379,0.869328788003275,1.021643527053,0.306949648521546,NA
Wfdc11,0.149848385443478,0.19371160807143,0.448717947245699,0.43170015654703,0.66595935362855,NA
Rfc5,1393.99418525734,0.801059316709554,0.254576232987833,3.14663826747661,0.00165159151341617,0.0261830975326597
Gm19195,11.0975968247349,-0.580891083108426,0.782283795978119,-0.742557989945472,0.457749330645035,NA
Wfdc13,0.631277921909808,0.506051942997593,0.600275833376875,0.843032344232115,0.399210354754354,NA
Atp11a,176.98479209695,-0.591574613962536,0.402178783455,-1.4709244701585,0.141311544157802,0.333589473131247
Sema6b,4.37958017145893,-1.6893583817328,0.879581547195677,-1.92063872544722,0.0547772694577525,NA
Spint4,0,NA,NA,NA,NA,NA
Hsd3b7,18.5091717609509,-1.43650486844543,0.660353372908957,-2.17535781201118,0.0296033133597789,NA
Pgm2l1,479.703267062789,-0.703464922824504,0.235481815255644,-2.98734287427167,0.00281413910768709,0.0334346527318062
Vipr1,59.4733701378222,-0.133216683200779,0.737053969810648,-0.180742101199187,0.856570010992328,0.938266293495962
Spint5,0,NA,NA,NA,NA,NA
Nexn,8.97240375798842,-1.20846018613436,0.80923862242132,-1.49332984443888,0.135350867096666,NA
Gm18995,0,NA,NA,NA,NA,NA
Wfdc3,1.35858049738151,0.301956040546067,0.841957602736372,0.358635683750234,0.719867648471604,NA
Tpi-rs11,0.111865125037303,0,0.448717947245699,0,1,NA
Rasal3,1569.22654012045,-0.0179532464324018,0.22540022497119,-0.0796505257911634,0.936515209065374,0.980843848376977
Ccnd2,4288.87663074234,-0.30223606785742,0.311340701742548,-0.970756686054315,0.331669456371389,0.556001317119787
Rps13-ps5,2.24314074127061,-0.851408242251591,0.91891601305579,-0.926535428869384,0.354167794026604,NA
Dnajc11,913.722564363601,-0.204825341506524,0.191314600853413,-1.07062054120722,0.28434008351203,0.510467660634327
E2f4,1096.18354587763,0.385532471115155,0.159210820571059,2.42152178936283,0.0154556744341809,0.0857384925335
Ighe,11.4393481199626,0.0066837946482079,0.463541366992579,0.0144189820459215,0.98849571548141,NA
Bahd1,101.398177408476,0.0433940093095143,0.333466631255968,0.130129989756622,0.896463583454971,0.959235245208759
Gsg1l,6.10870772535349,-0.404928099772937,0.82652302656202,-0.489917505937208,0.624192274854364,NA
Galr2,0.557035425454149,0,0.449738220291172,0,1,NA
Mblac1,15.1040481143029,0.696238365358593,0.827287658812897,0.841591625285029,0.40001657859283,NA
Gpx2-ps1,5.06692410125735,-0.242798032779995,0.85634579671998,-0.283528025372428,0.776772101521099,NA
Phf10,876.405571598496,0.300911039703959,0.221116327495023,1.36087209439896,0.173554113616723,0.377788441335613
Dqx1,322.666555194641,-0.471716797877082,0.37725658881234,-1.25038716848423,0.211158149616393,0.426097872102865
Chml,71.3001156264321,-0.602068025724493,0.382349363773309,-1.57465418480846,0.115336288411953,0.294639932440602
Slc27a4,162.676753096218,0.07217634763467,0.305570397769909,0.236202027949769,0.813275905960609,0.91590305024298
Ddx47,894.332325668487,0.0411442083458943,0.170682684700573,0.241056721237267,0.809511155210431,0.914029126555979
Galnt6,590.371227952249,-0.721544594394215,0.269097472648682,-2.68135031998692,0.00733257093373818,0.0546356108470251
Opn3,13.0144866603331,-0.757684901921501,0.74686689589397,-1.01448451670171,0.310351613845925,NA
Lgr4,4.14352625623711,-0.0659386200630706,0.931391365958179,-0.0707958249057157,0.943560254731414,NA
Cerk,135.667701454243,-0.367749596406808,0.258855067816163,-1.4206775996674,0.155410507530546,0.353623963884894
Tlcd2,79.8895474218934,-0.180590328999503,0.424469253236939,-0.425449729567804,0.67050886053875,0.829155339814203
Adipor1,1221.01485200945,0.260648113175339,0.177316011074955,1.46996377594552,0.141571565027063,0.333961035993934
Acsl1,67.5588484076475,-0.818591414272532,0.426242877221081,-1.92048115761932,0.0547971509532478,0.18505296320950201
Vsx1,0.703550474938108,0.021203322919879,0.656145766583362,0.032314958047032,0.974220880638231,NA
Gm16250,0.0786976119658376,0.105216166514978,0.448717947245699,0.234481743288431,0.814611004908296,NA
Olfr1066,0.142050067984579,0,0.448717947245699,0,1,NA
Gm19257,0.0406297331121048,0,0.448717947245699,0,1,NA
Ins2,0.239057708242654,-0.156028603816639,0.448717947245699,-0.34772088964653,0.728049806862549,NA
Olfr1069-ps1,0.0710147019294444,-0.158505596816221,0.448717947245699,-0.35324104549228,0.723907738895188,NA
Gm17764,26.1742172731293,0.507039741785291,0.637139531556378,0.795806439049097,0.426144548557665,NA
Gm48628,0,NA,NA,NA,NA,NA
1600012H06Rik,352.911381159254,0.566962423993432,0.260729455689094,2.17452386610857,0.0296658150415062,0.127719012251415
Olfr1070-ps1,0.076193752268306,-0.0700525464104634,0.448717947245699,-0.156117103941255,0.875940716671093,NA
Kng2,0.250538467362356,0.180669752154278,0.448717947245699,0.402635448979157,0.687216427476098,NA
P4ha3,3.20849054247754,-1.89217042202807,0.879947640695417,-2.15032160383168,0.031529784685594,NA
Olfr228,2.83717062568172,-2.44409905088066,0.922342166042012,-2.64988324383875,0.00805195917155315,NA
Gdpd5,54.2393776573524,0.547488670388367,0.522175081098076,1.04847720660484,0.294418798517634,0.521366810494388
Ifi44,28.3084782195565,0.815735507633965,0.587054521114787,1.38953960542698,0.16466872624674,NA
Olfr1073-ps1,0,NA,NA,NA,NA,NA
Olfr1073-ps1,0.0406297331121048,0,0.448717947245699,0,1,NA
Taf1c,160.604420999417,-0.016512461236226,0.279761062937012,-0.0590234433014855,0.952933435605824,0.989222619108185
Wdr64,0.446249615526725,0.0977717605935525,0.449459608766255,0.217531806388412,0.827793922478057,NA
Olfr1075-ps1,0.0827854912312695,0,0.448717947245699,0,1,NA
Gm5023,0,NA,NA,NA,NA,NA
Gapt,7.21981935294627,-0.207759269736566,0.936400824945174,-0.221870019976467,0.824415069476914,NA
Olfr1076,0.193999359393102,0.280864007899008,0.448717947245699,0.62592550537146,0.531363804353032,NA
Gm20651,0.114149452135844,0.28149855108861,0.448717947245699,0.62733963019864,0.530436631019609,NA
Dnttip1,680.328948061648,0.353548254212687,0.221220292880044,1.59817279694317,0.110004526052374,0.286351358474679
Gm47618,0.0761849231844422,-0.0701189804130379,0.448717947245699,-0.156265156861764,0.875824019699019,NA
Setd1a,277.788205635695,-0.300437362944921,0.209259707979947,-1.43571529294933,0.151083371779552,0.347875532622632
Gm30191,0.0381926019311689,0,0.448717947245699,0,1,NA
Chst14,20.6030659050093,-0.556175968485107,0.692012550897255,-0.803707920851978,0.421565678532591,NA
Gm47619,0.0355073509647222,-0.0705047672352546,0.448717947245699,-0.157124910354096,0.875146405795519,NA
Il17ra,1190.56127556208,-0.38440539863989,0.256531870582624,-1.498470337299,0.134011093782342,0.32357992853992
Dnah10,2.75040748486815,-0.726476577435804,0.864565381081331,-0.840279513074169,0.400751685398881,NA
Gm4968,11.4603744395003,-0.238196916427392,0.658428343848956,-0.36176589093199,0.717526983223373,NA
Uqcrh-ps2,1.33918150887906,0.617206045895189,0.912601443390153,0.676315000776657,0.498840670675371,NA
Gm7308,5.43422569881126,0.980502684470115,0.879111720608785,1.11533342291366,0.264707567895154,NA
Gm28266,0.71140115372591906,0.532782364444974,0.798990679203899,0.666819248724941,0.504887595983774,NA
Cacnb3,17.1625191689502,0.0359175601063234,0.783291947745148,0.0458546270132341,0.963426118506273,NA
Gm47055,0.317947221964419,-0.24278847507396,0.448744645431753,-0.541039269316215,0.588480516098482,NA
Gm5419,0.0355073509647222,-0.0705047672352546,0.448717947245699,-0.157124910354096,0.875146405795519,NA
Tnfaip8l1,554.721230906765,0.51005298660161,0.299596332688196,1.70246739012138,0.0886677864706764,0.249570167721251
Dtx4,11.2974976912108,0.313325105136014,0.684007697557038,0.458072484059855,0.646900366698264,NA
Ccdc32,449.535844783314,0.59341722122918406,0.219771492208604,2.70015558098828,0.00693070568838163,0.0533919258042652
Kcnh5,0.349499185160885,0.105524495806143,0.448717947245699,0.235168877139569,0.814077661092964,NA
Pcx,22.7332285158279,0.673034128135105,0.730496628470118,0.92133776105804,0.356874112174256,NA
Tmem121b,1.68403209682998,0.207752202889442,0.871968112706092,0.238256651662063,0.811682040259066,NA
Dnaaf1,5.29546869812826,0.129582799687146,0.929412586013496,0.13942440810164,0.889114785850105,NA
Gm45658,0,NA,NA,NA,NA,NA
Gm9392,1.06610363944627,-0.257765919393826,0.698877692117605,-0.368828369113904,0.712255657681012,NA
Gm19855,0,NA,NA,NA,NA,NA
Lman2,3160.56893304157,0.156842749004326,0.223028826650259,0.703239806979203,0.481906315569492,0.689217453371463
Lrp10,856.514850800825,-0.137483492725434,0.185844551290371,-0.73977682838075,0.459435421266264,0.670812843729856
Ppp2r3a,60.2779468662781,-1.10497570154432,0.58864687996863,-1.87714526169442,0.0604981873945415,0.197311081763897
Gtf2h1,633.756598853223,-0.0505267220084635,0.186970500018925,-0.270239005636447,0.786976386449986,0.900494163966959
Gm49388,0,NA,NA,NA,NA,NA
Cyp2d41-ps,0.169487958381596,0.105227873916663,0.448717947245699,0.234507834069414,0.814590752032922,NA
Zfp1,177.302033367989,0.0380016903025518,0.338386588917566,0.112302589839958,0.910583488400217,0.966984348810996
Pigp,1143.30697112671,0.62291058421704,0.219132554365212,2.84262001153366,0.00447443818291848,0.0424322513292332
Exoc7,351.524170132315,-0.0354071870771401,0.197757323398958,-0.179043620072209,0.857903451176493,0.939082605975997
Rps13-ps4,11.537584655174,-1.50355736513715,0.876127002415745,-1.71614088025068,0.0861362605905971,NA
Foxl2,0.362475625480084,0.193300726040539,0.448717947245699,0.430784476589467,0.666625087876252,NA
Entpd6,206.188348081662,-0.10766136118399,0.267360466740687,-0.402682425328089,0.687181864405155,0.840744746888689
Pglyrp2,383.037226900275,-0.272860245855319,0.247350028762319,-1.10313407773044,0.269968943931442,0.495447384143184
Tbc1d22a,163.992977720301,0.100716507180247,0.241487496923206,0.417067171027389,0.676629276618647,0.83346721093971
Mpc2,3051.22773281555,0.641322880360291,0.213960699680831,2.99738634860029,0.00272305371236601,0.0330264813100502
Coq7,703.587032645635,0.191133917173771,0.266348770831349,0.717607656221535,0.472999235563712,0.68281567564019
Gm13542,0.650092608129811,0.0279182727236119,0.602846765571287,0.0463107282281844,0.963062588595304,NA
Alk,0.789655608041608,-0.120127639191826,0.557180868594629,-0.215599001980852,0.829300333810222,NA
Nfatc2,429.170955089133,-0.00617294881932137,0.205051406270988,-0.0301043964124949,0.975983794491468,0.998373114259673
Gm11437,0.0380498173786147,0.105496891926678,0.448717947245699,0.235107359922272,0.814125406399588,NA
Tfb1m,217.212266423022,0.524028639924862,0.247641050969231,2.11608147305905,0.0343378789086209,0.140212581441287
Fam111a,1935.38759826149,0.268656872664684,0.236379321064069,1.13654981093657,0.25572653130026,0.479893342548978
Nagk,290.223947929236,-0.206596752033707,0.2340688514044,-0.882632399800907,0.377434917116498,0.600628776987666
Hdhd5,327.352979263889,-0.357817306133239,0.231657624398471,-1.54459542206891,0.122444154213991,0.305643709387425
Gm44571,3.10592220511427,-0.166236547946436,0.935908633266156,-0.177620487767379,0.859021033481377,NA
Gm7290,17.7449697899512,0.383090877282679,0.648629964226374,0.590615448577979,0.554778111462926,NA
Acaca,308.727495737064,-0.733622102886795,0.352895979858157,-2.07886217117483,0.0376300205523019,0.14821382973756
Bpifb6,0.206337767941418,-0.0474982532538469,0.449074423076012,-0.105769224015252,0.915765455463792,NA
Pou2f2,477.816220541231,-0.326253204013779,0.335944454997118,-0.971152222222504,0.331472481807462,0.555760021897664
Klhl35,4.85071841600218,0.237644695410045,0.921436736495554,0.257906686370966,0.796478924415862,NA
Tcf7l2,17.7137476923295,-0.512677567254537,0.598443695869641,-0.856684715359108,0.391619152751489,NA
Tiam2,15.7190672586145,0.333866982306865,0.688165445605168,0.485155109776347,0.627566322272283,NA
Mydgf,1628.99162535088,0.524234244439268,0.246584986517264,2.12597795122683,0.0335050954643811,0.137848408076659
Capn11,2.70603235874383,0,0.910564216897786,0,1,NA
Tjp1,3.9111704019831,1.49087270445089,0.935479065982561,1.59369969747531,0.111003312035995,NA
Ankrd13a,1012.95141491239,0.0664974336515949,0.122926294544935,0.540953698293469,0.588539497180924,0.771588313644301
C2cd3,384.378162146404,-0.156344725323617,0.227478505248825,-0.687294499111468,0.49189716458763,0.696996955338234
Gm16274,0,NA,NA,NA,NA,NA
Th,0.71477218712219,-0.151198313335101,0.454487472649589,-0.332678725892353,0.73937680997433,NA
Gm6545,29.0026689840385,-0.19325651807579,0.59800161936796,-0.32317055977214,0.746566075546835,NA
Gm47058,0.296929528581798,0.0178127997841688,0.448717947245699,0.0396970967921085,0.968334616278482,NA
Slc1a3,20.3779865142731,-0.649673201591916,0.69568139734171,-0.933865996811763,0.350373020784114,NA
Gm28883,0.0760996347572293,0.193497721507643,0.448717947245699,0.431223495060456,0.666305871901592,NA
Tlcd1,106.656068413084,0.264289635196102,0.388226220006352,0.68076194130262,0.496022135490847,0.700231167696158
Ube2c,8666.67874262073,-0.476036323830369,0.342097231559674,-1.39152346150258,0.164066750250989,0.365022394029748
Rps3,24630.9533004596,0.633266151252722,0.219374379414658,2.88669147665477,0.0038931577870267,0.0395441133712766
Alox12b,0.0895205865273588,0.105554798558504,0.448717947245699,0.235236408987908,0.814025248451089,NA
Golga4,534.495166077706,-0.605171112174287,0.305893132053024,-1.97837430383819,0.0478864963561561,0.17167382665623
Gm20392,0.041090695942968,0,0.448717947245699,0,1,NA
Gm10074,3.67857072585616,0.110358985231784,0.462123708324291,0.23880831743508,0.811254220432263,NA
Gm20545,5.19456610423584,0.958343393356215,0.876247288612396,1.09369056636264,0.274090713087527,NA
Hif3a,8.10678368517214,-1.05426435045526,0.924760211853941,-1.14004077699417,0.254269313189374,NA
Gm29402,0.0414256619267595,0,0.448717947245699,0,1,NA
Tas1r3,3.55048780112308,-0.141449624758089,0.922898771269287,-0.153266673617465,0.878187980725224,NA
Gm18604,0.108973980520489,-0.0702619630861182,0.448717947245699,-0.156583803962817,0.875572867642563,NA
Gm20391,0,NA,NA,NA,NA,NA
Phf5a,3804.51537560557,0.647121174939817,0.232549800067288,2.78272083980538,0.00539051655131448,0.0463770303294125
Gm4252,0.0793100977566041,0,0.448717947245699,0,1,NA
Gm6493,0.217919103583623,-0.422428464187655,0.448717947245699,-0.941412008992702,0.346493761820837,NA
Slc45a4,173.296346301139,-0.999150064023537,0.391814048432515,-2.55006186741063,0.010770380436711,0.0691638171354189
Gm6633,0,NA,NA,NA,NA,NA
Dvl1,168.437451780088,-0.250081324535257,0.291965632361079,-0.856543705205608,0.391697108909582,0.613546016863347
Clec2h,10.7553591637705,-1.04248486093624,0.669741852782658,-1.55654728251625,0.11957800841981,NA
Car4,0.159963629085221,0.191704568290719,0.448717947245699,0.427227325021055,0.669213760617041,NA
Bdh2,9.27099559265814,-0.82260150686156,0.932473921144436,-0.882171059381448,0.37768430973772,NA
Ube3a,1619.52476352399,-0.291562476488524,0.179124037759983,-1.62771272987494,0.103585812589339,0.275373458758538
Mtap,850.96458780347,0.263937171522848,0.221055076305733,1.19398828533485,0.232482550527723,0.451383407815227
Gm15036,0.0381926019311689,0,0.448717947245699,0,1,NA
Nsun5,447.225099179067,-0.0362389381195734,0.201030365321621,-0.180265991466494,0.856943753149892,0.938465548809974
Tnnc2,0.906373318674167,-0.196359174690817,0.770596119246067,-0.254814642569094,0.798866265374205,NA
Gm15310,0.15069892397268,0,0.448717947245699,0,1,NA
Bpifb3,0.1600267891583,0.105450873286819,0.448717947245699,0.235004804095964,0.814205004502779,NA
Oas1f,0.119432395219299,0.105372016733722,0.448717947245699,0.2348290666342,0.814341406563021,NA
Mrps12,1932.93895292619,0.306782316331023,0.231445941979669,1.32550311190149,0.185004337979789,0.392998268333714
Kansl1,535.253419870362,0.077557703487537,0.195150177354173,0.397425739187413,0.691053537983799,0.84341369957282
Vps35,1531.20715417443,0.0512607479533588,0.180571119273384,0.283881210681041,0.776501416094225,0.893483950724869
Tor1aip2,982.711573745209,0.196279621607737,0.241745045218365,0.811928209037087,0.416832826802532,0.634974733546116
Gm7583,0.289356500037642,0,0.448717947245699,0,1,NA
Siglec1,564.980772893168,-0.446079350200159,0.442202078324671,-1.00876809962128,0.313085863394428,0.539354965511979
Aldh4a1,47.4486966716538,-0.249212428930782,0.419062622819217,-0.594690185572317,0.55205058341765,0.745444396757114
Gm26963,0.645435230530633,0,0.64763808345624,0,1,NA
Eaf1,279.426950015483,-0.345540842328581,0.249324260606413,-1.38590942368845,0.165774562903903,0.366797222269847
Clmp,3.24812353535127,0.740497535186809,0.903917738424611,0.819208987398988,0.412667188103789,NA
Gm12607,1.72101746637857,-0.592225161435249,0.885506966732092,-0.668797856690862,0.50362443414267,NA
Cyp27b1,1.62515145359805,0.315920245945927,0.885098139611483,0.356932448287149,0.721142377308224,NA
Tlx2,0.235238165669194,0.0172853448864059,0.448717947245699,0.0385216258732374,0.969271789325438,NA
