paga1,paga2,X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_paga1,X_paga2,velocity_paga1,velocity_paga2
41537.15466691175,53171.72041625287,-1.3855078,1.3993326,2.021528,-2.0635798,-6.115067,0.8549053,5.2658734,-1.8889704,0.7635364,-0.42895427,-0.4619813,-1.5071146,1.1832957,-2.4642432,-0.06413679,-1.4219582,-0.54035306,-2.2143152,-0.5175663,-0.1581499,-0.5776378,2.0919778,-0.09366385,-0.891541,-0.7293107,1.8744969,-1.7618573,0.8080776,1.8919598,1.161138,41537.15466691175,53171.72041625287,467.899641110964,-38.8432940769021
43723.3679313671,55636.62119023887,2.872499,-2.0746243,3.1987169,-3.555397,1.2591181,-0.36725664,-2.576947,2.5899413,0.35830447,1.398151,-0.14224578,-1.0360354,0.48028833,0.1479643,0.06343395,0.18063243,-0.7428765,-1.700438,0.062041096,0.862719,-2.2403524,0.46878734,-0.39398998,-0.6983247,-0.72095925,-1.0405123,-0.89909524,0.659413,0.18096028,-0.37811896,43723.3679313671,55636.62119023887,751.5412363760224,137.5210590992185
46625.56798257875,53483.866502221295,-0.7530676,-1.0827266,3.6193395,-1.1937056,1.3733416,-2.886684,-0.045619883,1.2379842,2.0486789,2.087357,-0.18961348,-1.1355056,-0.4507449,0.19911009,-0.87275445,-0.6286039,-2.5698764,-1.4776115,1.0280933,0.21505803,0.15031941,-0.52721274,-0.22045667,0.27042502,-1.2427536,0.50530255,-1.1101067,0.9415291,1.2572563,-1.9382131,46625.56798257875,53483.866502221295,455.9432135888119,30.894870213477667
2248.5804578435555,-7005.500330493187,-9.737354,2.0506098,0.32724053,1.098249,-0.83980465,2.534462,-0.7713078,1.8629781,-0.4018296,2.2075367,1.4817094,-1.3270217,-1.534275,0.80614793,-0.49110067,0.30768767,0.85739833,0.4597615,-1.3524147,1.3262664,0.14398797,-1.3296491,0.25039914,-0.041799106,0.7145647,0.39620847,0.21872072,-0.17892557,0.5667802,-0.74749535,2248.5804578435555,-7005.500330493187,272.2941130054505,430.4739810963616
30190.70697090784,30886.460424808636,0.58014137,-3.3992136,-4.92396,-2.0483015,2.1751244,0.588646,1.0201349,0.41633388,-0.359568,-0.36701116,-0.50207496,-0.97212666,-0.19183572,-0.70481396,0.3088422,-0.31577417,0.19054326,-0.6127248,0.36720258,-0.28339976,0.055298828,0.11124157,-0.24603692,-1.0549893,-0.055323787,-1.1036556,-0.047588937,0.81513083,-1.618319,-0.21465412,30190.70697090784,30886.460424808636,-152.24445835146085,-66.37284735622858
46734.27962524771,54734.81910774797,4.556095,-1.2124121,4.171431,-4.9569345,-0.36182114,-4.849613,-2.8896363,0.6822113,0.22402377,-1.2686132,1.5833397,0.79654086,-1.5744462,1.0135144,0.19357255,0.967879,1.5582603,0.5823062,-1.9188756,2.2050292,-1.07413,1.391571,-0.4021655,-0.32108137,-0.26631033,-0.5319678,1.5450393,-0.99053645,1.9127539,0.92111015,46734.27962524771,54734.81910774797,715.192001631856,-130.03684648461152
-3864.019488892194,-9422.139250968565,-0.34617126,0.48793998,-3.128967,-2.432336,-0.15504725,-2.3771472,-0.0919855,0.5831364,-0.55887115,0.48659495,0.41122735,-0.41821513,1.8594133,-0.91645783,-0.58225375,0.050724186,0.23420289,0.78321147,0.17339455,-0.39954057,0.7271689,0.060372025,-0.021549545,-0.22166131,-0.18985505,-0.60958576,1.091893,0.03932439,-0.72536004,0.47355464,-3864.019488892194,-9422.139250968565,71.26494050533849,184.87982574300756
-5723.618821837759,-14109.493562262684,-7.6188054,2.630136,-1.7395817,-0.09580439,2.3080962,0.19598618,1.6588856,-0.49689555,-1.8119981,0.0033275262,0.44653156,0.17289007,0.1277462,0.18397258,0.3978511,-0.10959445,0.8435668,0.5548683,0.48977846,-0.10361613,0.30043057,-0.22674811,0.7504065,-0.29493564,0.78399116,1.1361562,-0.11052921,-0.12660557,0.6285045,0.21876341,-5723.618821837759,-14109.493562262684,3.013792630876285,202.83014465372042
10071.61409112322,8098.72388064558,-3.717669,0.8865917,-1.668198,1.0999458,-3.7029307,-0.63585925,-1.6975857,2.0979302,0.74939954,0.36097252,1.3203968,-0.37613603,0.68351287,-0.46451548,-0.26924798,0.43991342,-0.41796082,-0.2448134,0.0026117612,-0.13065207,-0.32056895,0.42198172,-1.0423156,0.4094023,-0.50326765,-0.4386393,0.64800376,1.2114742,-0.5099791,-0.7939252,10071.61409112322,8098.72388064558,549.1828674632845,139.19413177634
52252.289172248675,47237.4109318434,2.749986,-3.712395,-0.14410816,-0.51447064,-0.78854847,-1.4246235,-1.3652176,-1.440713,0.7410725,-1.4424669,-0.22473375,1.409666,-1.7917624,-0.58947515,-0.58601475,-0.01013516,-0.083749264,0.4079724,0.102559224,0.99669874,-0.4074775,0.21603006,0.13397129,0.18654107,-1.3172312,-0.24819183,0.4111252,0.23157094,0.09954733,-0.7507843,52252.289172248675,47237.4109318434,170.82016330089658,-627.6883722742518
