wilcoxon,t-test,t-test_overestim_var
Lgals1,Pclaf,Pclaf
Hmgb2,Stmn1,Lgals1
S100a6,S100a6,Stmn1
Dut,Lgals1,S100a6
Pclaf,Hmgb2,Hmgb2
H2az1,Dut,Dut
Ptma,Gzmb,Anxa2
Gapdh,Anxa2,Gzmb
Stmn1,Rrm2,Rrm2
Anxa2,Lgals3,Gmnn
Vim,Gmnn,Lgals3
Actb,Lig1,Ptma
Txn1,Mki67,H2az1
Gzmb,Lmnb1,Vim
Crip1,Cks1b,Lmnb1
Ybx1,Ptma,Lig1
Pfn1,Mcm3,Mki67
Pcna,S100a4,Pcna
Pycard,Vim,Mcm3
Lgals3,Mcm5,Cks1b
Tmsb4x,1500009L16Rik,Ybx3
Ran,H2az1,Gapdh
Calm1,Ybx3,Mcm5
Hmgb1,Uhrf1,Txn1
Gmnn,Tyms,Actb
S100a10,Pcna,S100a4
Ppia,Sdf2l1,Tmsb4x
Mki67,Top2a,1500009L16Rik
Sub1,H1f5,Mcm6
Rrm2,Tmsb4x,Sdf2l1
Lmnb1,Mcm6,Tyms
Ybx3,Birc5,Ybx1
Cox5a,Actb,Pycard
S100a4,Txn1,Crip1
Mcm3,Gapdh,Top2a
Anp32b,Rrm1,Uhrf1
Lig1,Ezh2,Ppia
Dek,Asf1b,Tipin
1500009L16Rik,Tipin,Birc5
Actg1,Pycard,Hmgn2
Dbi,Clspn,Ezh2
Mcm5,Spc24,Rrm1
Cks1b,Ybx1,H1f5
Mcm6,Hmgn2,Siva1
Top2a,Ppia,Mcm7
Prdx1,Crip1,Ran
Rps27l,Mcm7,Dbi
Ywhah,Siva1,Hmgb1
Hsp90b1,Tk1,Alyref
Slbp,Dctpp1,S100a10
Sdf2l1,Dbi,Slbp
Alyref,Serpinb6b,Asf1b
Tuba1b,Alyref,Tuba1b
Tagln2,Ppil1,Clspn
Cox5b,S100a10,Dctpp1
Cd48,Ifng,Serpinb6b
Tipin,Ccnb2,Pfn1
Tyms,Cisd1,Ywhah
Uhrf1,Slbp,Dek
Hmgn2,Rfc4,Hsp90b1
Ezh2,Smc2,Spc24
Cdc42,Ran,Cisd1
Snrpd1,Gzmk,Tmpo
Ldha,Dtl,Rps27l
Nap1l1,Hmgb1,Smc2
Calm3,Tuba1b,Ppil1
H1f5,Gzma,Tk1
Birc5,Hsp90b1,Dnmt1
Serpinb6b,Dnmt1,Atpif1
Pdia3,Rpa2,Rpa2
Atpif1,Cdk1,Cox5a
Tmpo,Tmpo,Rfc4
Clspn,Ywhah,Ifng
Mcm7,H2ac8,Anp32b
Siva1,Hells,Cd48
Rrm1,Dek,Dtl
Cfl1,Serpinb9,Calm3
Ifng,Fabp5,Prdx1
Dctpp1,Rps27l,Calm1
Asf1b,Atpif1,Sub1
Ppp1ca,Rad51,Serpinb9
Atp5j,Pfn1,Actg1
Abracl,Rfc3,Ccnb2
Hnrnpab,Fbxo5,Hells
Cbx3,Cd48,Gzma
Mrpl18,Orc6,Gzmk
Cisd1,Ccna2,Ahnak
Reep5,Calm3,Reep5
Spc24,Pdia6,Snrpd1
Cyba,Rnaseh2b,Nap1l1
Smc2,Cdca3,Tagln2
Rpa2,Cox5a,Pdia6
Prelid1,Anp32b,Cdk1
Gzma,Ccne1,Pdia3
Ndufa4,Tpi1,Orc6
Dtl,Prdx1,Mrpl18
Ranbp1,Actg1,Cmtm7
Dnmt1,Ahnak,Fabp5
Manf,Dhfr,Tpi1
Serpinb9,Cenpw,Rnaseh2b
Cmtm7,Sub1,H2ac8
Ahnak,Bhlhe40,Hnrnpab
Tk1,Mcm2,Rfc3
Ppil1,Cmtm7,Cenpw
Sh3bgrl3,Mt1,Ldha
Arpc5,Ncapg2,Rad51
Hells,Fkbp2,Prelid1
Lsp1,Calm1,Manf
Lcp1,Prim1,Fkbp2
Tmem14c,Hist1h2ap,Bhlhe40
1810037I17Rik,Snrpd1,Fbxo5
Gzmk,Reep5,Mcm2
Pdia6,Nap1l1,Cbx3
Rfc4,Mrpl18,Cox5b
Dynll1,Pdia3,Hpf1
Anp32e,Cenpk,Anp32e
Bhlhe40,Tagln2,Ccna2
Ccnb2,Kif15,Cdca3
Hsp90aa1,Cenps,Ranbp1
Gnai2,Manf,Dhfr
Pgk1,Hpf1,Ccne1
Hint1,Tcf19,Prim1
Cdk1,Hnrnpab,Tmem14c
Atp5pb,Prelid1,Cdc42
Clic1,Anp32e,Cfl1
Selenoh,Ldha,Mtch1
Orc6,Mad2l1,Mcm4
Fabp5,Mcm4,1810037I17Rik
Ctsd,Mtch1,Nasp
Rnaseh2b,Chaf1a,Pgk1
Tpi1,Cdc45,Ncapg2
Cox6b1,Chaf1b,Itga4
Nkg7,Cbx3,Atp5j
Ywhae,Cbx5,Sept11
Hpf1,Nsd2,Ppp1ca
Slc25a5,Ranbp1,Mt1
Nme1,Cox5b,Selenoh
Cenpw,Sept11,Cenpk
Tma7,Fen1,Arpc5
Krtcap2,Gins2,Nans
Rfc3,Nasp,Cyba
Mcm2,Tmem14c,Hist1h2ap
Sumo2,Cdca8,Ctsd
Itga4,E2f8,Eif1ax
Sec61b,Itga4,Rpa3
H2ac8,H4c9,Dnajc9
Ccne1,Atad5,Kif15
Cdca3,Rpa3,Nsd2
Prim1,Pgk1,Ywhae
Oaz1,Cdc42,Lsp1
Fkbp2,Nans,Dynll1
Nasp,1810037I17Rik,Cbx5
Mt1,Prdx4,Mad2l1
Fbxo5,Ptms,Hsp90aa1
Psma4,Selenoh,Fen1
Dhfr,Eif1ax,Cenps
Eif5a,Cenph,Abracl
Dnajc9,Cfl1,Eno1
Rad51,Havcr2,Tcf19
S100a11,Cdc6,Chaf1b
Myl6,Ctsd,Cmc2
Ppib,Cmc2,Etfb
Ncapg2,Kif11,Psma4
Mcm4,Casp3,Efhd2
Mif,Esco2,Dpy30
Ccna2,Ppp1ca,Lcp1
Snrpe,Atp5j,Ssrp1
Ndufb7,Rad51ap1,Cdca8
Ptms,Dnajc9,Hat1
Atp5j2,Hsp90aa1,Chaf1a
Sept11,Prc1,Ndufa4
Mtch1,Arpc5,Ptms
Cox7a2,Cyba,Lsm6
Eif1ax,Hat1,Nme1
Hnrnpf,Plek,Cdc45
Psmb3,Eno1,H4c9
Ssrp1,Efhd2,Plek
Cbx5,Etfb,Usp1
Ndufb9,Ywhae,Gins2
Eno1,Dynll1,Casp3
Kif15,Lsp1,Fkbp1a
Nsd2,Dck,Atad5
Rpa3,Dpy30,Sh3bgrl3
Dpy30,Glrx,Dck
Cox6a1,Usp1,Gnai2
Fkbp1a,Zbtb32,Rfc2
Cenpk,Abracl,Ndufb7
Coro1a,Psma4,Krtcap2
Hnrnpa3,Ssrp1,Dtymk
Tubb5,Incenp,Atp5pb
Cenps,Ube2c,S100a11
Calr,Osbpl3,E2f8
Nans,Dtymk,Prdx4
Set,Ndufa4,Ndufb9
Etfb,Lsm6,Cox6b1
Plek,Lcp1,Eif5a
Mad2l1,Tfdp1,Tma7
Fen1,Rfc2,Cenph
Chaf1b,Cdca7,Cks2
Cdca8,Cenpm,Exosc8
Casp3,Fkbp1a,Hint1
