gene_names,4,6,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Spr,0.265470951795578,0.39245370030403137,-0.6605798602104187,2.2051036292287466e-11,-7.132859230041504,-0.6605798602104187,1.0381317109491416e-10,-7.013333320617676,-0.6605798602104187,7.645922278657688e-11,-7.057370185852051
Sfxn5,0.0015035024844110012,0.001592258457094431,-0.08281116187572479,0.9991261547243798,-0.003969201818108559,-0.08281116187572479,1.0,-0.06658641993999481,-0.08281116187572479,1.0,-0.06690757721662521
Rab11fip5,0.0,0.0015871193027123809,-20.599124908447266,0.9991261547243798,-0.0015266160480678082,-20.599124908447266,0.39505188082919596,-1.3187127113342285,-20.599124908447266,0.3843856147207829,-1.3364143371582031
Smyd5,0.05462084338068962,0.08509515970945358,-0.6618641018867493,7.1508011401398e-05,-4.445098876953125,-0.6618641018867493,0.015218059079842102,-2.9929392337799072,-0.6618641018867493,0.01432144691220323,-3.0114030838012695
Pradc1,0.22021211683750153,0.21261835098266602,0.056302886456251144,0.9619931633972338,-0.5833708643913269,0.056302886456251144,0.8125871231110227,0.49523815512657166,0.056302886456251144,0.8100725250663661,0.497787743806839
Cct7,1.252210259437561,1.4976974725723267,-0.4746985137462616,9.282955087276178e-32,-12.114716529846191,-0.4746985137462616,3.207783538324863e-19,-9.60899829864502,-0.4746985137462616,1.7208064528251947e-19,-9.676154136657715
Fbxo41,0.0027294401079416275,0.0008728558314032853,1.6461282968521118,0.9991261547243798,0.20955349504947662,1.6461282968521118,0.44529784443189335,1.2204276323318481,1.6461282968521118,0.4421835178583943,1.2231028079986572
Egr4,0.0015748239820823073,0.0,20.5878963470459,0.9991261547243798,0.2121996283531189,20.5878963470459,0.3584599978009198,1.415500521659851,20.5878963470459,0.3524381624808646,1.415500521659851
Alms1,0.0963338240981102,0.08967836201190948,0.10815780609846115,0.10459142171888106,-2.114363193511963,0.10815780609846115,0.7530021302243118,0.5984180569648743,0.10815780609846115,0.7503368153152946,0.6008585095405579
Nat8f2,0.0,0.0,0.0,0.9991261547243798,0.10696490108966827,0.0,1.0,0.0,0.0,1.0,0.0
Nat8f4,0.009022573009133339,0.005183641333132982,0.8023453950881958,0.9991261547243798,0.10045133531093597,0.8023453950881958,0.45106470857699116,1.2086820602416992,0.8023453950881958,0.44746995368099785,1.2123643159866333
Nat8f1,0.02048875018954277,0.023043274879455566,-0.17136316001415253,0.7075150560594164,-0.9011105895042419,-0.17136316001415253,0.8383905818183045,-0.45139381289482117,-0.17136316001415253,0.8358660574183511,-0.45434653759002686
Tprkb,0.12013257294893265,0.18936769664287567,-0.707793116569519,9.257427754435638e-08,-5.798494815826416,-0.707793116569519,2.9767439832784348e-06,-5.207414150238037,-0.707793116569519,2.4545342828597046e-06,-5.243490219116211
Dusp11,0.6657185554504395,0.7117653489112854,-0.133488267660141,0.27220143569281446,-1.5963315963745117,-0.133488267660141,0.14514520575101844,-2.0039174556732178,-0.133488267660141,0.14093358739949258,-2.0145623683929443
Tgfa,0.0004579250526148826,0.0004895538440905511,-0.09637859463691711,0.9991261547243798,0.10523473471403122,-0.09637859463691711,1.0,-0.04718303680419922,-0.09637859463691711,1.0,-0.04751767963171005
Fam136a,0.2162054032087326,0.40638408064842224,-1.0547313690185547,2.114147763045793e-21,-9.906414985656738,-1.0547313690185547,2.5751359718496557e-22,-10.418566703796387,-1.0547313690185547,1.1870760025603794e-22,-10.49471378326416
Snrpg,2.2203104496002197,2.1670587062835693,0.0864691436290741,0.006581947655692717,3.1964287757873535,0.0864691436290741,0.0288899383894748,2.7505903244018555,0.0864691436290741,0.027427927168783898,2.767726421356201
Pcyox1,0.012932905927300453,0.031024988740682602,-1.2754825353622437,0.057538894618568315,-2.3877294063568115,-1.2754825353622437,0.0030277594131960773,-3.5245823860168457,-1.2754825353622437,0.0027170767181687937,-3.5533695220947266
Tia1,0.2592613697052002,0.3029891848564148,-0.2578778862953186,0.005042810877934357,-3.2854814529418945,-0.2578778862953186,0.09052543902187504,-2.2494232654571533,-0.2578778862953186,0.08739146446965207,-2.2627158164978027
C87436,0.15008129179477692,0.13769446313381195,0.13342300057411194,0.9991261547243798,-0.3354484438896179,0.13342300057411194,0.5850281003065007,0.8799867033958435,0.13342300057411194,0.5806228400997472,0.8851733803749084
Pcbp1,1.3371801376342773,1.393596887588501,-0.1093011274933815,0.002487451210313445,-3.5049068927764893,-0.1093011274933815,0.07886958382408497,-2.315948724746704,-0.1093011274933815,0.07592152984077079,-2.3302018642425537
Asprv1,0.000651548441965133,0.002922382904216647,-2.166837692260742,0.9991261547243798,-0.1654851883649826,-2.166837692260742,0.34366599256644703,-1.4531079530715942,-2.166837692260742,0.33514890386555934,-1.46916663646698
Mxd1,0.14168377220630646,0.07806963473558426,0.906569242477417,0.05806566002371425,2.383861780166626,0.906569242477417,0.00010016005321382373,4.43399715423584,0.906569242477417,9.085249018097014e-05,4.4546098709106445
Snrnp27,0.5102859139442444,0.6194891333580017,-0.36592361330986023,3.0897735294098706e-05,-4.6391825675964355,-0.36592361330986023,6.8721840953477295e-06,-5.034486770629883,-0.36592361330986023,5.96987612949973e-06,-5.061763763427734
Gmcl1,0.19890126585960388,0.21608200669288635,-0.13234803080558777,0.09589960737114883,-2.1555819511413574,-0.13234803080558777,0.5423219162622782,-0.9552428722381592,-0.13234803080558777,0.5374382223125638,-0.9614554643630981
Anxa4,0.11031869798898697,0.07063530385494232,0.6722730994224548,0.4993674011549688,1.1903533935546875,0.6722730994224548,0.00356810265385095,3.475693941116333,0.6722730994224548,0.003363369606570793,3.4904556274414062
Aak1,0.3762976825237274,0.30306360125541687,0.36806589365005493,0.03333058025793601,2.6126508712768555,0.36806589365005493,0.003291758475498472,3.4995644092559814,0.36806589365005493,0.003079279210451033,3.516897678375244
Nfu1,0.48761117458343506,0.5443556308746338,-0.20325548946857452,0.08215842323588606,-2.2291648387908936,-0.20325548946857452,0.02833836272167023,-2.7584567070007324,-0.20325548946857452,0.027013779743857106,-2.7739360332489014
Gfpt1,0.21812231838703156,0.21937274932861328,-0.009181768633425236,0.5161965832435725,-1.1647063493728638,-0.009181768633425236,1.0,-0.07536040246486664,-0.009181768633425236,1.0,-0.07578115165233612
