wilcoxon,t-test,t-test_overestim_var
Rplp1,Rps24,Rps24
Rps27,Rpl18a,Rpl18a
Rpl27a,Rps27,Rps27
Rps24,Rps15a,Rps7
Rpl12,Rps7,Rps15a
Rps15a,Rpl23,Rpl23
Rpl23,Rps16,Rps16
Rpl13,Rpl17,Rpl17
Rpl19,Rpl12,Rps14
Rps16,Rps14,Rps13
Rps7,Rpl27a,Rpl19
Rpl17,Rps13,Tpt1
Rps23,Rpl19,Rpl12
Rpl39,Tpt1,Rpl27a
Rps9,Rps21,Rps21
Rps13,Rpl21,Rpl21
Rpl18a,Rps9,Rpl30
Rpl37a,Rpl30,Rps9
Rps21,Rplp1,Rpl39
Rpl30,Rpl39,Rpl37a
Rpl26,Rpl9,Rpl9
Rps3,Rpl37a,Rplp1
Rps29,Rpl13,Rpl34
Rpl21,Fau,Fau
Rpl36,Rpl34,Rpl13
Rps14,Rps29,Rps29
Rpl32,Rpl36,Rps3
Rps18,Rps3,Rpl36
Rpl9,Rpl37,Rps23
Tpt1,Rps23,Rpl37
Rps19,Rpl32,Rpl32
Rpl37,Rpl26,Rps19
Rpl18,Rps19,Rpl26
Rpl34,Rpl18,Rpl18
Fau,Rpl35a,Rpl35a
Rpl35a,Rps18,Rps18
Rplp2,Rplp2,Rplp2
Rps27a,Rps5,Rps5
Rpl11,Rpl11,Rps20
Rps28,Rps20,Rpl11
Rps20,Rps28,Rps28
Rps5,Rps27a,Rps27a
Rpl38,Rpl38,Rpl38
Rpl27,Rps4x,Rps4x
Rps4x,Rpl27,Rpl27
Rpl22,Rpl5,Rpl5
Rpl5,Rack1,Tcf7
Eef1b2,Eef1b2,Sell
Rps15,Rpl22,Rack1
Eef1a1,Eef1a1,Rpl24
Rpl24,Rpl24,Eef1b2
Rack1,Tcf7,Eef1a1
Rps10,Sell,Rpl22
Rpl6,Rps15,Ccr7
Rpl8,Rpl36a,Rps15
Rpl36a,Rpl6,Rpl36a
Rpl15,Rpl15,Rpl15
Rps3a1,Rpl8,Rps10
Rps12,Rps10,Rpl6
Rpl35,Ccr7,Rpl8
Tcf7,Rps3a1,Rps3a1
Sell,Rps12,Rps12
Rpl23a,Rpl35,Rpl35
Rps26,Btg1,Lef1
Btg1,Rpl23a,Btg1
Rps6,Rps26,Rpl23a
Lef1,Lef1,Rps6
Rps25,Rps6,Rps11
Rps11,Rps11,Rps26
Ccr7,Satb1,Satb1
Rpl7,Rps25,Rpl7
Satb1,Rpl7,Rps25
Rpl3,Emb,Il7r
Emb,Il7r,Emb
Rpl10a,Rpl3,Rpl3
Npm1,Rpl10a,Rps8
Rpl4,Rps8,Rpl10a
Rpl10,Npm1,Rpl4
Rps8,Rpl4,Dapl1
Rpl29,Rpl10,Rgs10
Npc2,Rpl29,Npm1
Naca,Ltb,Rpl29
Pnrc1,Rgs10,Foxp1
Ltb,Foxp1,Bcl2
Cox7a2l,Dapl1,Rpl10
Foxp1,Npc2,Npc2
Il7r,Bcl2,Ltb
Ddx5,Jun,Jun
Jun,Pnrc1,Pnrc1
Rpl14,Rapgef6,Rapgef6
Rapgef6,Cox7a2l,Ssh2
Pfdn5,Ssh2,Cox7a2l
Srsf5,Naca,Ms4a4c
Jund,Rps27rt,Rps27rt
Bcl2,Ms4a4c,Naca
Eif3e,Jund,Nsg2
Junb,Evl,Fam241a
Gimap6,Ddx5,Evl
Eif4a2,Fos,Ddx5
Rgs10,Pfdn5,Pfdn5
Rplp0,Fam241a,Fos
Rps27rt,Rpl14,Jund
Rpl28,Nsg2,Tsc22d3
Ssh2,Junb,Junb
Ptpn18,Tsc22d3,Srsf5
Vps37b,Srsf5,Rpl14
Dapl1,Rplp0,Eif4a2
Fos,Klf2,Rpl28
Rpsa,Rpl28,Gimap6
Klf2,Eif4a2,Vps37b
Tsc22d3,Gimap6,Rplp0
Clk1,Rpsa,Klf2
Evl,Ptpn18,Ptpn18
Ms4a4c,Vps37b,Rpsa
Fam241a,Eif3e,Eif3e
Ppp1r15a,Clk1,Kif1b
mt-Nd2,Ppp1r15a,Il4ra
Nsa2,Kif1b,Clk1
Shisa5,Rabac1,Tmem108
Txk,Il4ra,Ssbp2
Rpl7a,Peli1,Tcp11l2
Nsg2,Txk,Rabac1
Rabac1,Tmem108,Ppp1r15a
Peli1,Ssbp2,Peli1
Stat1,Tcp11l2,Txk
Tut4,mt-Nd2,Il6ra
Eif3f,Shisa5,Chd3
Cd53,Chd3,Stat1
Mycbp2,Il6ra,Sh3bp5
Rbm39,Stat1,Pik3ip1
H2-K1,Tut4,Shisa5
Map4k4,Rpl7a,mt-Nd2
Ighm,Ighm,Tut4
Chd2,Pik3ip1,Cd2ap
Saraf,Ctss,Ighm
Chd3,Mycbp2,Ctss
Elf1,Sh3bp5,Tdrp
Srrm2,Cd2ap,Mycbp2
Zfp36l1,H2-K1,Rpl7a
Rpl31,Tdrp,Treml2
Eif1,Bach2,Bach2
Smad7,Treml2,Gnl3
Itpkb,Gnl3,Nsa2
Bst2,Nsa2,Neurl3
Eef1g,Map4k4,Fam189b
Ablim1,Fam189b,Map4k4
Fam189b,Zfp36l1,Inpp4b
Stk17b,Klk8,Zfp36l1
Kif1b,Neurl3,Actn1
Psme1,Actn1,Klk8
Pabpc1,Inpp4b,Gbp2
Hspe1,Smad7,Irs2
Ssbp2,Trim12a,Smad7
Klk8,Gbp2,H2-K1
