wilcoxon,t-test,t-test_overestim_var
Rps27a,Rps27a,Rps27a
Hsp90ab1,Npm1,Npm1
Npm1,Hsp90ab1,Hsp90ab1
Hspd1,Rpl13,Rpl13
Rpl13,Rpl11,Hspd1
Rpl11,Hspd1,Rpl11
Eef1g,Rps9,Eef1g
Hspe1,Rpl8,Rpl27a
Rps3a1,Eef1g,Rpl36
Rps9,Rpl27a,Rps9
Rpl27a,Rpl36,Hspe1
Rpl15,Hspe1,Rpl8
Rps8,Rps23,Fabp5
Rpl36,Rps25,Rps23
Eif5a,Rplp1,Rpl15
Ldha,Rpl26,Ppp1r14b
Rpl8,Rpl6,Rps3a1
Rps25,Rpl15,Rps25
Nme1,Rps3a1,Rpl6
Rpl6,Rpl9,Rpl9
Rps23,Rpl7a,Rpl26
Rpl7a,Rps18,Rpl7a
Rpl26,Hspa5,Rplp1
Ppp1r14b,Fabp5,Rps8
Rpl14,Rps8,Hspa5
Fabp5,Ppp1r14b,C1qbp
Atp5g1,Rps15,Rps18
Pebp1,Rpl7,Rps15
Rpl9,Fbl,Rpl7
Rplp1,Atp5g1,Fbl
Rps18,Pebp1,Atp5g1
Hspa5,Rpl14,Pebp1
Rps2,Rpl12,Nolc1
Pdia6,Rpl23,Rpl14
Rpl7,C1qbp,Rpl23
Rpl31,Rpl41,Rpl31
Rpl23,Rpl31,Rpl4
C1qbp,Rpl4,Rpl12
Hsp90aa1,Rps2,Rps4x
Rps15,Nolc1,Pdia6
Mif,Rps4x,Rsl1d1
Rpl12,Rsl1d1,Nme1
Rpl4,Pdia6,Rps2
Rps17,Canx,Mybbp1a
Fbl,Rpl3,Canx
Rpl3,Nme1,Rpl41
Rps4x,Rplp0,Ldha
Rplp0,Rps28,Ppa1
Nolc1,Rps12,Rplp0
Btf3,Rpl32,Pgam1
Slc25a3,Rps20,Rpl3
Pgam1,Rpl10,Rps28
Rsl1d1,Calr,Rpl32
Canx,Rps6,Calr
Ncl,Pgam1,Atic
Mybbp1a,Ppa1,Rpl27
Rps27l,Eef1a1,Rps12
Ybx1,Ftl1,Rpl5
Eef1d,Rpl35a,Rpl35a
Pdia3,Ldha,Rps6
Hsp90b1,Atic,Rps20
Rpl10,Rpl5,Rpl37
Rps12,Rpl27,Ftl1
Calr,Rpl23a,Eef1a1
Ppa1,Mybbp1a,Ung
Cct6a,Eef1b2,Rpl10
Rps6,Rpl37,Rpl23a
Cct3,Rpl10a,Cct6a
Rps28,Rack1,Ncl
Rpl41,Cct3,Cct3
Rpl22l1,Cct6a,Eef1b2
Psma7,Rps3,Rack1
Rps20,Eef1d,Hsp90aa1
Rpl32,Rpl22,Rps3
Rpl23a,Rexo2,Rexo2
Atic,Rps5,Eef1d
Rpl5,Ncl,Btf3
Rpl35a,Btf3,Tpi1
Rps3,Eif3a,Srm
Ftl1,Mif,Abce1
Tpi1,Hsp90aa1,Mif
Eif3a,Rpl36a,Eif3a
Glrx3,Glrx3,Glrx3
Cct8,Abce1,Rpl10a
Rexo2,Tpi1,Hspa9
Eef1b2,Rplp2,Gpx1
Rpl37,Psma7,Rpl22
Eef1a1,Hspa9,Ppat
