wilcoxon,t-test,t-test_overestim_var
Rps29,Rps24,Rps24
Rps24,Rps29,Tpt1
Tpt1,Tpt1,Rps29
Rps15a,Rps27,Rps27
Rps16,Rps15a,Rps15a
Rps7,Rps7,Rps7
Rpl12,Rps16,Rps16
Rps27,Rpl23,Rpl17
Rpl23,Rpl21,Rpl12
Rpl21,Rpl17,Rpl21
Rpl17,Rpl12,Rpl23
Rplp1,Rpl30,Rps14
Rpl35a,Rps14,Rpl30
Rps14,Rpl19,Fau
Rpl30,Rplp1,Rpl19
Rpl19,Rpl37a,Rpl37a
Rpl37a,Fau,Rplp1
Rps19,Rpl35a,Rpl35a
Rpl39,Rpl39,Btg1
Rpl9,Rps19,Rpl39
Fau,Btg1,Rps19
Rps9,Rps21,Rpl18a
Rplp2,Tcf7,Ltb
Rps21,Rpl9,Rps21
Rps20,Rpl18a,Rpl9
Rps3a1,Ltb,Tcf7
Ltb,Sell,Rps9
Rpl18a,Rps9,Rplp2
Rps4x,Rplp2,Sell
Rpl5,Rps3,Shisa5
Shisa5,Shisa5,Rps3
Btg1,Arl4c,Rps13
Rps3,Rps4x,Rps4x
Rps13,Rps13,Arl4c
Rpl13,Dapl1,Rpl5
Rpl34,Rpl5,Rpl34
Tmsb10,Rpl34,Rps20
Tcf7,Rps23,Rpl13
Rps23,Lef1,Rps3a1
Rps28,Rpl13,Rps23
Rpl27a,Rps20,Tmsb10
Rpl26,Rps3a1,Lef1
Sell,Rps28,Rps28
Cox7a2l,Rpl27a,Rpl27a
Arl4c,Rapgef6,Dapl1
Lef1,Foxp1,Foxp1
Rps5,Tmsb10,Rapgef6
H2-K1,Rpl26,H2-K1
Npc2,Evl,Rpl26
Rps27a,Cox7a2l,Cox7a2l
Rps18,Satb1,Evl
Cd3g,Ccr7,Satb1
Rpl36a,H2-K1,Rps5
mt-Nd2,Rps5,Npc2
Rapgef6,Npc2,Ccr7
Rpl37,Rgs10,Rps27a
Satb1,Rps27a,mt-Nd2
Cd3d,Rpl36a,mt-Atp6
Rpl8,Rps18,Rps18
mt-Atp6,mt-Nd2,Rgs10
mt-Nd4,Pdcd4,Rpl36a
Rpl18,Peli1,Cd3g
Foxp1,Cd3g,mt-Nd4
B2m,mt-Atp6,Rpl18
Rpl32,Rpl37,Rpl37
Rack1,Rpl18,Hcst
Ptpn18,Rpl8,B2m
Cd52,Bcl11b,Rpl8
Cd8b1,mt-Nd4,Pdcd4
Eef1a1,Txnip,Peli1
Rps10,Hcst,Cd52
Dapl1,Rpl32,Rpl32
Rpl36,Il7r,Cd3d
Limd2,B2m,Ptpn18
Ablim1,Ablim1,Bcl11b
Bcl11b,Rps10,Txnip
Rpl38,Ptpn18,Rack1
Rps6,Cd3d,Il7r
mt-Cytb,Rack1,Rps10
Hcst,Ramp1,Ablim1
Mbnl1,Cd52,Rpl36
Evl,Il6st,Eef1a1
mt-Co3,Grap2,mt-Cytb
Rps8,Rpl36,Limd2
Peli1,Eef1a1,Grap2
Pfdn5,Igfbp4,Ighm
Rpl35,Limd2,mt-Co3
Fyb,Tespa1,Ramp1
Rps11,Ighm,Cd8b1
Rps15,Chd3,Rpl38
Ighm,mt-Cytb,Il6st
Cd3e,Rpl38,Chd3
Saraf,Ssbp2,Tespa1
Ccr7,Cd8b1,Igfbp4
Il7r,Ypel3,Rps6
Jak1,mt-Co3,Ypel3
Arhgap45,Rps6,Mbnl1
Pdcd4,Arhgap15,Arhgap15
Rgs10,Rflnb,Ssbp2
Ptprc,Fam189b,Fam189b
Junb,Il6ra,Fyb
Klf13,Tnrc6b,Tnrc6b
Eef1b2,Tdrp,Klrd1
Txnip,Ccr9,Rabac1
Fxyd5,Mbnl1,Klf13
Rabac1,Fyb,Arhgap45
Rpl11,Arhgap45,Rflnb
Grap2,Rabac1,Il6ra
Skap1,Klf13,Ripor2
mt-Co1,Klrd1,Ssh2
H2-D1,Ssh2,Ccr9
