wilcoxon,t-test,t-test_overestim_var
Hspe1,Hsp90aa1,Hsp90aa1
Hsp90ab1,Hsp90ab1,Hsp90ab1
Npm1,Rrm2,Rrm2
Hsp90aa1,Ccna2,Ccna2
Eif5a,Fabp5,Fabp5
Rps2,Birc5,Hspe1
Ube2s,Hspe1,Npm1
Hspd1,Npm1,Birc5
Rpl14,Hspd1,Tuba1b
Ran,Tuba1b,Hspd1
Ranbp1,Pclaf,Pclaf
Tuba1b,Cdca8,Ube2s
Ptma,Ube2s,Cdca8
Fabp5,Rps2,Rps2
Tubb5,Eif5a,Eif5a
Anp32b,Hmmr,Hmmr
Ybx1,Ran,Ran
Rrm2,Kif15,Ptges3
Ptges3,Tubb4b,Cks1b
Set,Cdca3,Rpl14
Ncl,Cks1b,Tubb4b
Tagln2,Ptges3,Ranbp1
Birc5,Tpx2,Cdca3
Ccna2,Cdc20,Tubb5
Pgam1,Ranbp1,Kif15
Nme1,Rpl14,Ptma
Pclaf,Tubb5,Cks2
Mif,Cks2,Tpx2
Tubb4b,Chchd10,Lyar
Eif4a1,Lyar,Ppp1r14b
Rpl41,Ptma,Lmnb1
C1qbp,Lmnb1,C1qbp
Cct8,C1qbp,Fkbp4
Rps27a,Fkbp4,Cdc20
Hsp90b1,Ccnb1,Dctpp1
Nucks1,Rrm1,Rrm1
Ppp1r14b,Ppp1r14b,Chchd10
Hnrnpab,Mki67,Pgam1
Hmmr,Dctpp1,Mki67
Cdca8,Uhrf1,Uhrf1
Pebp1,Pgam1,Ncl
Lmnb1,Spc24,Spc24
Rps27l,Ppid,Ccnb1
Cct6a,Ncl,Ppid
Eef1g,Tmem97,Nucks1
Cks2,Nek2,Ybx1
Pdia6,Ybx1,Tagln2
Tcp1,Pdia6,Tpi1
Dctpp1,Tpi1,Pdia6
Snrpd1,Nucks1,Pa2g4
Fkbp4,Pa2g4,Uchl3
Rplp1,Tacc3,Rps27a
Lyar,Uchl3,Anp32b
G3bp1,Tagln2,Cct6a
Cdc20,Cct6a,Tmem97
Eef1d,Anp32b,Tacc3
Atp5b,Shcbp1,Ppa1
Pa2g4,Dnph1,Nek2
Rps12,Ppa1,Set
Ddx39,Rps27a,Nudc
Serbp1,Set,Hnrnpab
Chchd10,Plk1,Tuba4a
