UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	0
17	0
255	0
0	1
5	6
0	9
0	4
44	43
14	55
0	36
20	181
1	0
36	9
3	15
0	15
0	2
0	2
8	0
146	0
11	71
0	71
185	217
0	218
0	218
0	0
0	0
0	3
0	1
0	2
6	22
0	22
0	0
4	3
1	0
2	0
0	0
0	0
3	9
8071	524
19	78
0	75
1	0
5	1
0	0
2	0
4	18
2	358
15	219
53	34
5	4
0	0
1	0
5	2
0	0
1	0
0	2
1	25
0	21
5	660
0	155
42	34
0	5
0	1
0	0
0	0
0	2
0	1
4	7
0	5
0	25
0	8
0	8
2	26
0	21
0	19
11	814
0	1
1	22
2	0
0	6
0	6
3	0
0	1
0	1
0	11
6	224
0	202
0	91
0	87
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	6
0	17
0	5
1	48
1	35
1	10
0	8
1	86
0	84
0	4
0	0
0	1
0	1
17	0
18	0
26	0
17	0
13	80
0	16
730	0
38	88
5533	148
27	0
75	0
29	0
32	0
64	0
22	0
0	0
0	0
0	2
0	2
0	10
0	10
76	0
0	7
0	7
0	0
0	0
16	27
1	27
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	1
0	1
0	0
0	0
0	0
1	3
0	1
0	2
0	10
0	0
0	0
1	17
19	94
0	1
0	1
0	0
0	1
0	1
40	0
0	4
0	1
56	8
5	8
45	0
14	0
0	0
0	0
0	0
2	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	6
0	0
0	0
4	9
1	6
10	10
1	0
0	0
0	0
8	16
0	0
4	27
0	129
0	129
11	16
0	0
0	0
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
3	237
1	198
0	49
19	6
6	49
2	29
0	49
0	0
0	0
0	0
0	0
0	0
0	0
0	154
0	154
0	154
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
626	2037
166	1799
0	266
0	1
0	1
0	1
2	4
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	25
0	0
761	1025
123	174
8	782
0	546
0	243
0	527
0	0
0	0
0	0
1	308
0	260
0	89
0	78
0	88
4	11
120	36
0	9
0	5
3	1
0	9
0	6
0	4
0	1
5	0
0	10
0	0
0	0
0	28
1	3
0	2
0	28
0	0
0	0
0	0
0	0
0	0
4	28
0	0
0	0
1	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	61
26	380
0	380
0	0
4	23
0	23
0	0
0	0
0	0
0	0
