gene_names,P4,P10,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Asb16,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Tmub2,0.1704165488481521,0.7924778461456299,-2.701838493347168,0.4980887107072995,0.7363735437393188,-2.701838493347168,0.5672866748379872,-1.32417631149292,-2.701838493347168,7.51541921818462e-06,-5.341045379638672
Atxn7l3,0.3107158541679382,0.0,28.440954208374023,0.0982917246515278,2.662273645401001,28.440954208374023,6.441448194493078e-14,11.173828125,28.440954208374023,5.1409665400843806e-14,11.173828125
Ubtf,0.7723245620727539,0.251255065202713,2.02781343460083,0.1578950024819495,2.209120512008667,2.02781343460083,0.3687545633867741,2.0493621826171875,2.02781343460083,1.6589382807337562e-09,7.203673839569092
Rundc3a,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Slc25a39,0.2570362091064453,0.0,28.12677764892578,0.1125803645468924,2.4734597206115723,28.12677764892578,2.750215675985468e-11,9.232498168945312,28.12677764892578,2.245429254443832e-11,9.232498168945312
Grn,0.0621407739818096,0.0,25.9340934753418,0.3545828655354911,1.453865647315979,25.9340934753418,0.0211980345681631,2.8098511695861816,25.9340934753418,0.0157091125937714,2.8098511695861816
Fam171a2,0.0034436143469065,0.0,21.71797752380371,0.3545828655354911,1.0762382745742798,21.71797752380371,0.5672866748379872,1.0,21.71797752380371,0.4468561926342815,1.0
Itga2b,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Gpatch8,0.3998885750770569,0.0,28.87308120727539,0.0964730575195812,2.7377991676330566,28.87308120727539,5.6023399193459454e-15,12.012262344360352,28.87308120727539,4.393150332667191e-15,12.012262344360352
Ccdc43,0.1964319050312042,0.0,27.69346809387207,0.1423484179042723,2.2846460342407227,27.69346809387207,1.0466814419413316e-08,7.427102565765381,27.69346809387207,8.694012905220343e-09,7.427102565765381
Adam11,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Gjc1,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Eftud2,0.4241005778312683,0.0,28.976551055908203,0.0964730575195812,2.775561809539795,28.976551055908203,3.0973667568864546e-15,12.219158172607422,28.976551055908203,2.422405819222695e-15,12.219158172607422
Ccdc103,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Kif18b,0.3220475018024444,0.0,28.501235961914062,0.0964730575195812,2.7000362873077397,28.501235961914062,4.399652763445464e-13,10.548099517822266,28.501235961914062,3.5082198505905e-13,10.548099517822266
C1ql1,0.0078068054281175,0.0,22.901935577392575,0.3545828655354911,1.1140010356903076,22.901935577392575,0.3542233149347695,1.4277881383895874,22.901935577392575,0.2609948382499307,1.4277881383895874
Dcakd,0.0398324839770793,0.0,25.276269912719727,0.3545828655354911,1.378340244293213,25.276269912719727,0.0102215890540823,3.094122171401977,25.276269912719727,0.0077002077607088,3.094122171401977
Nmt1,0.6606538891792297,0.251255065202713,1.7124099731445312,0.3370622107875034,1.6237980127334597,1.7124099731445312,0.5030254695894499,1.6120431423187256,1.7124099731445312,7.349914907063663e-07,5.74320125579834
Plcd3,0.00345627265051,0.0,21.72327995300293,0.3545828655354911,1.0762382745742798,21.72327995300293,0.5672866748379872,1.0,21.72327995300293,0.4468561926342815,1.0
Acbd4,0.0468545742332935,0.0,25.51561737060547,0.3545828655354911,1.4161030054092407,25.51561737060547,0.0052907267301412,3.337916374206543,25.51561737060547,0.004048780762445,3.337916374206543
Hexim1,0.244309589266777,0.0,28.04395294189453,0.1125803645468924,2.4734597206115723,28.04395294189453,9.750185821552961e-11,8.840910911560059,28.04395294189453,8.004820941712832e-11,8.840910911560059
Hexim2,0.0396689996123313,0.0,25.27021789550781,0.3545828655354911,1.4161030054092407,25.27021789550781,0.0039673019802027,3.44046401977539,25.27021789550781,0.003051227444272,3.44046401977539
Fmnl1,0.7231143116950989,0.6823558211326599,0.1165161207318306,0.984935739244274,-0.0188813731074333,0.1165161207318306,1.0,0.1081665232777595,0.1165161207318306,0.9057049008752452,0.4159615635871887
Map3k14,0.0246523097157478,0.0,24.57303810119629,0.3545828655354911,1.2650519609451294,24.57303810119629,0.0466597693112101,2.4799964427948,24.57303810119629,0.0341928103080583,2.4799964427948
Arhgap27,0.0692722126841545,0.0,26.096031188964844,0.3391851592455858,1.6049166917800903,26.096031188964844,0.0003353499021803,4.281134605407715,26.096031188964844,0.0002676915885825,4.281134605407715
Plekhm1,0.0328748188912868,0.4311007559299469,-4.011319160461426,0.8436048979842057,0.2076950967311859,-4.011319160461426,0.7578520821383466,-0.9234338402748108,-4.011319160461426,0.0011343423353301,-3.7872490882873535
Gosr2,0.3507653474807739,0.6129661202430725,-1.009566307067871,0.4128813426433563,0.9063059091567992,-1.009566307067871,1.0,-0.4271746277809143,-1.009566307067871,0.1562699257761549,-1.724125623703003
Wnt3,0.0,0.0,0.0,0.3545828655354911,1.038475513458252,0.0,1.0,0.0,0.0,1.0,0.0
Nsf,0.3678959012031555,0.4311007559299469,-0.2773478031158447,0.4386765324187602,0.8496617674827576,-0.2773478031158447,1.0,-0.1460579931735992,-0.2773478031158447,0.7697736940203405,-0.5688204765319824
Arf2,0.057985533028841,0.0,25.831218719482425,0.3545828655354911,1.529391169548035,25.831218719482425,0.0010515845058153,3.902355194091797,25.831218719482425,0.0008259153936778,3.902355194091797
Mapt,0.006956236436963,0.4311007559299469,-6.270681381225586,0.9278547312731978,0.0944068655371666,-6.270681381225586,0.7267728939668894,-0.983800768852234,-6.270681381225586,0.0005310786095622,-4.052149772644043
Kansl1,0.5631272196769714,0.9889296889305116,-1.1588633060455322,0.3518428683675361,1.5860353708267212,-1.1588633060455322,0.8995518607796659,-0.654362678527832,-1.1588633060455322,0.023808835292489,-2.6256227493286133
Cdc27,0.3149848580360412,0.0,28.46388053894043,0.1125803645468924,2.4734597206115723,28.46388053894043,9.651291675419088e-12,9.561264038085938,28.46388053894043,7.811559828062347e-12,9.561264038085938
