gene_names,P9,P8,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Gnrh1,0.000940820609685,0.0,-19.844240188598636,0.8493587817605094,0.5400728583335876,-19.844240188598636,0.5108777320015035,-1.3148406744003296,-19.844240188598636,1.0,-0.121298149228096
Dock5,0.3080766499042511,0.1269393265247345,-1.4145452976226809,0.8493587817605094,-0.5145539045333862,-1.4145452976226809,0.277885707571513,-1.9932141304016116,-1.4145452976226809,1.0,-1.0306278467178345
Nefl,0.0,0.0,0.0,0.8493587817605094,0.5502803921699524,0.0,1.0,0.0,0.0,1.0,0.0
Adam28,0.0,0.0,0.0,0.8493587817605094,0.5502803921699524,0.0,1.0,0.0,0.0,1.0,0.0
Slc25a37,0.0800752192735672,0.0,-26.3129997253418,0.9926520702840748,-0.0162393040955066,-26.3129997253418,2.31176408220006e-23,-10.541187286376951,-26.3129997253418,1.0,-0.972457468509674
Synb,0.0009009943460114,0.0,-19.781810760498047,0.8493587817605094,0.54517662525177,-19.781810760498047,0.639497634621881,-1.0,-19.781810760498047,1.0,-0.0922531187534332
Gm16867,0.03111551143229,0.0614355206489563,1.0034791231155396,0.8493587817605094,0.8620750308036804,1.0034791231155396,0.9440194067069152,0.4920204877853393,1.0034791231155396,1.0,0.3763047754764557
Loxl2,0.0088043874129652,0.0,-23.076147079467773,0.8493587817605094,0.4890350103378296,-23.076147079467773,0.0051444130211191,-3.348132371902466,-23.076147079467773,1.0,-0.3088756501674652
R3hcc1,0.0807328522205352,0.0,-26.32528114318848,0.99116739230775,-0.021343084052205,-26.32528114318848,3.238673269787672e-23,-10.505962371826172,-26.32528114318848,1.0,-0.9692078232765198
Chmp7,0.0710486248135566,0.2102028578519821,1.6676340103149414,0.8493587817605094,1.6016592979431152,1.6676340103149414,0.6157686256811443,1.234505295753479,1.6676340103149414,1.0,1.027099847793579
Tnfrsf10b,0.0107999788597226,0.0,-23.37232208251953,0.8493587817605094,0.4686198830604553,-23.37232208251953,0.0008607373431683,-3.847181558609009,-23.37232208251953,1.0,-0.3549144864082336
Rhobtb2,0.0420520640909671,0.0,-25.35611343383789,0.8903060299823896,0.2746762037277221,-25.35611343383789,2.708184620624309e-11,-7.117508888244629,-25.35611343383789,1.0,-0.6566123962402344
Egr3,0.0145412068814039,0.2079000473022461,3.979734420776367,0.8493587817605094,1.5557252168655396,3.979734420776367,0.5306755047948608,1.3819900751113892,3.979734420776367,1.0,1.3282983303070068
Bin3,0.2496112436056137,0.2115414142608642,-0.267258882522583,0.8493587817605094,0.8393399715423584,-0.267258882522583,1.0,-0.3456545174121856,-0.267258882522583,1.0,-0.2176999598741531
Ccar2,0.0833072215318679,0.1165341585874557,0.5086066722869873,0.8493587817605094,0.5809030532836914,0.5086066722869873,1.0,0.2844428420066833,0.5086066722869873,1.0,0.2279029339551925
9930012K11Rik,0.0181399676948785,0.0433140955865383,1.2739169597625732,0.8493587817605094,0.9530150890350342,1.2739169597625732,0.9019834132495396,0.5791414380073547,1.2739169597625732,1.0,0.4288663864135742
