wilcoxon,t-test,t-test_overestim_var
Nfkb2,Ccr6,Cct3
Ier5,Cxcr3,Nek7
St13,Nek7,Rpl26
Zc3h12a,Cct3,Dapl1
Nek7,Slfn5,mt-Nd4l
H3f3a,Rpl26,Rack1
mt-Nd4l,Zc3h12a,Slc38a1
Klf4,mt-Nd4l,Atp5a1
Rack1,Tbc1d4,Rpl36
Rps25,Slc38a1,Zc3h12a
Rpl36,Nfkb2,Eif1
Cdc25b,Rack1,Nfkb2
Slc38a1,Rpl36,Cct4
Rps10,Atp5a1,Slfn5
Cct4,Eif1,Top1
Nbdy,Ddx3x,Ddx3x
Gnl3,Cct4,Ccr6
Vdac1,Top1,Klf6
Eef1g,Tacstd2,St13
Top1,Klf6,Hspd1
Ddt,St13,Ier5
Fam162a,Hspd1,Vdac1
Ppa1,Vdac1,Tbc1d4
Acyp1,Ier5,Smco4
Hspd1,Smco4,Rps25
Camk2d,Aim2,Rps10
Itgb3bp,Chd3,Aim2
Chd2,Rps25,Chd3
Rilpl2,Dgka,Tacstd2
Tnfrsf25,Fam162a,Dgka
Birc2,Rps10,Fam162a
Eif4b,Ppa1,Ddt
Hmox2,P2rx4,Ppa1
Dgka,Ddt,H3f3a
Pigp,Rgcc,Eif4b
Calm2,Eif4b,Acyp1
Rpl31,Acyp1,Rgcc
Cabin1,H3f3a,Rpl32
Churc1,Skil,Chd2
Aim2,Pigp,P2rx4
Skap1,Rpl32,Cdc25b
Rps6,Cdc25b,Pigp
H2ax,Chd2,Skil
Etf1,Art3,Nbdy
Tuba1a,Ifi211,Birc2
Icos,Sh3bp5,Rps24
Cldnd1,Nbdy,Eef1g
Cxcr4,Rps24,Ifi211
Slfn5,Birc2,Churc1
Rhoh,Cxcr5,Rhoh
Supt4a,Eef1g,Sh3bp5
Atp5g2,Churc1,Skap1
Jmjd1c,Gnl3,Supt4a
Rpl32,Rhoh,C1qbp
Jun,C1qbp,Hmox2
C1qbp,Hmox2,Gnl3
Tcf12,Skap1,Rpl31
Scd2,Supt4a,Art3
Phf11c,Cldnd1,Rilpl2
Ppid,Cxcr4,Cldnd1
Rpl35,Cfap36,G3bp1
Tnfaip8,Rpl31,Cxcr5
G3bp1,Tuba1a,Tuba1a
Orai1,Rilpl2,Cxcr4
Mpc1,G3bp1,Cfap36
Dennd4a,Camk2d,Camk2d
Fkbp3,Mgat5,Etf1
Serf2,Etf1,Atp5g2
Chchd2,Ppid,Calm2
Cfap36,Atp5g2,Tnfaip8
Selenoh,Calm2,Ppid
Nrp1,Cd83,Cabin1
Mid1,Tnfaip8,Fkbp3
Per1,Cabin1,Mgat5
Skil,Tlr1,Mpc1
Trbc1,Fam110a,Icos
Sh2d1a,Fkbp3,Akr1b3
Stat5a,Mpc1,Fam110a
Rpl29,Icos,Tcf12
Acat1,Tcf12,Selenoh
Akr1b3,Selenoh,H2ax
Cct2,H2ax,Rpl21
Cenpa,Cd320,Cd83
Fam110a,Akr1b3,Cks2
Ube2c,Myc,Myc
Ybx1,Cks2,Tlr1
Ncl,Cbfa2t3,Rps7
Myc,Bicdl1,Rpl35
Sidt1,Rpl21,Bicdl1
Psat1,Rps7,Sh2d1a
Casp4,Rpl35,Ndufs5
Rps24,Tgif2,Taf1d
Taf1d,Dhx58,Cd320
Ndufs5,Sh2d1a,Dennd4a
Dhx58,Taf1d,Dhx58
Eif5a,Ndufs5,Stat5a
Hpcal1,Dennd4a,Jmjd1c
Ablim1,Dnph1,Ndufs2
Ppp1r14b,Stat5a,Ablim1
Ifi27l2a,Pmm1,Prdx2
Rpl21,Jmjd1c,Pmm1
Clk1,Ndufs2,Cbfa2t3
Cks2,Ablim1,Clk1
Nudt14,Phf11c,Tgif2
Ndufs2,Prdx2,Phf11c
Pmm1,Nt5e,Per1
Tent5c,Clk1,Dnph1
Grap,Per1,Ncl
Rgcc,Marcksl1,Serf2
Atp5b,Cd22,Marcksl1
Gpx1,Nudt14,Nudt14
Snrpf,Casp4,Casp4
Bicdl1,Aicda,Acat1
