ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
48h_IL2_repressed,48h_IL2_repressed,307,-0.7272512171175638,-1.0521046291767602,0.1207879212078792,0.2415758424157584,0.2415758424157584,2616,"tags=36%, list=18%, signal=30%",Nrg2/Trpm1/Card6/Sntb1/Tnfsf4/Gbp8/Tnfrsf14/Abcg3/Dhrs3/Zfp784/Pecam1/Sh3bp5/Gbp6/Atp9a/Bcl6/Cd200r1/Filip1l/Pik3ip1/Plxdc2/Ifi205/Kcnmb4/Pou6f1/Ift80/Ypel3/Slc22a17/Hck/Ifit1bl1/Tcp11l2/Acpp/Csf1/Tgtp1/Fbxo32/Ddx60/Klhl3/Prrt1/Tlr1/Vav3/Scml4/Tox2/Tlr7/Cfap77/Nod2/Ifit3/Pacsin1/Ldlrad4/Rnf122/Parp8/Itgae/Cyp4v3/Tnfsf8/Gm12185/St8sia1/Capn3/Igsf3/Tlr12/Calcoco1/Tmie/Pdk2/Zfp395/Zfp831/Lypd6b/Id3/Myo3b/Iigp1/Fam124b/Lad1/Kit/Tcf7/St6galnac3/Arrdc4/Rgmb/Vwa3b/Nsg2/Kcna2/Dtx4/Dapl1/Gm4951/Slc6a19/Slc28a2b/Dscam/Fam160a1/Trim34b/Ccser1/Lrmda/Lingo1/Stkld1/Sptb/Spink13/Btbd16/Igsf9b/Cep295nl/Wnt10a/Npas4/Wnt3/Gucy1a1/Ttn/Syt6/Ciita/Kcnip3/Nrn1/Sorcs2/Pgpep1l/Cstad/Gria3/F830016B08Rik/Gbp10/Ccr6/Cpq/Amigo2
48h_IL2_promoted,48h_IL2_promoted,213,-0.6880292113260325,-0.9928672219190923,0.5944405559444056,0.5944405559444056,0.5944405559444056,2179,"tags=20%, list=15%, signal=17%",Pkib/Gpt2/Dip2c/Mrvi1/Tgfbr3/Epn2/Gpld1/Slc14a1/Selp/Ikzf4/Espn/Treml2/Batf3/Crim1/Dst/Cnksr3/Arhgap5/P2rx7/Slc6a9/6430571L13Rik/Trim71/Fzd7/Adora2b/P4ha2/Pdia2/Fgfr3/Coro6/P2ry2/Tead1/Ptprf/Pparg/Cth/Stxbp6/Arhgap6/Gcnt4/Pros1/Cysltr1/Foxp3/Mei4/Ccr4/Ptgfrn/Jag2/Pomgnt2
