wilcoxon,t-test,t-test_overestim_var
Rps24,Rps24,Rps24
Rps27,Rps27,Rps27
Rps9,Rpl18a,Rpl18a
Rpl12,Rps15a,Tpt1
Rps7,Rpl23,Rps15a
Rpl23,Tpt1,Rpl23
Rpl18a,Rps7,Rps16
Rps15a,Rps16,Rps7
Rplp1,Rpl12,Rpl19
Rps16,Rpl17,Rpl12
Tpt1,Rpl19,Fau
Rpl19,Fau,Rpl17
Rps21,Rps21,Rps21
Rps14,Rps9,Rps9
Rps13,Rps13,Rps13
Fau,Rps14,Rps14
Rpl17,Rplp1,Rplp1
Rpl27a,Rpl27a,Rpl30
Rpl21,Rpl21,Rpl27a
Rpl39,Rpl30,Rpl21
Rpl30,Rpl39,Rpl37a
Rpl37a,Rpl37a,Rpl39
Rpl9,Rpl9,Rps29
Rps29,Rps29,Rpl9
Rpl13,Rpl13,Rpl13
Rps3,Rpl34,Rps19
Rps18,Btg1,Rpl34
Rpl32,Rpl36,Btg1
Rpl36,Rps19,Rpl32
Rpl18,Rpl32,Rpl36
Rps19,Rpl18,Rpl18
Rpl34,Rps3,Rps3
Rpl26,Rpl37,Rpl37
Rps23,Rps18,Rpl26
Rpl37,Rpl26,Sell
Btg1,Rps23,Rpl35a
Rpl35a,Rpl35a,Rps18
Rplp2,Rps5,Rps23
Rps5,Rplp2,Rps5
Rps20,Rps20,Rplp2
Rps28,Rps28,Rps20
Rps27a,Sell,Tcf7
Rpl38,Tcf7,Ccr7
Rack1,Rps27a,Rpl38
Rps10,Rpl38,Satb1
Rpl11,Rpl11,Rps28
Rpl24,Satb1,Rpl24
Eef1b2,Rpl24,Rps27a
Rps4x,Ccr7,Rpl11
Satb1,Eef1b2,Lef1
Sell,Eef1a1,Rpl5
Rpl5,Rack1,Rps10
Tcf7,Rps4x,Eef1b2
Lef1,Rpl5,Rps4x
Eef1a1,Rps10,Rack1
Rpl22,Lef1,Rpl27
Rpl27,Rpl22,Eef1a1
Rpl8,Rpl27,Rpl22
Ccr7,H2-K1,Rpl8
Rps15,Rpl8,Il7r
Rpl36a,Rps15,Ltb
Rpl35,Klf2,Rpl36a
H2-K1,Rpl36a,Rps15
Npc2,Ltb,Foxp1
Ltb,Rps12,Npc2
Rps3a1,Rpl35,H2-K1
Klf2,Npc2,Rpl35
Emb,Emb,Klf2
Gimap6,Foxp1,Emb
Pnrc1,Rpl6,Rps12
Rps12,Pnrc1,Pnrc1
Ddx5,Rps11,Rps11
Rpl15,Gimap6,Gimap6
Rpl6,Il7r,Dapl1
Rps11,Rpl15,Rps3a1
Foxp1,Rps3a1,Rpl6
Rps6,Ddx5,Tsc22d3
Cox7a2l,Rpl23a,Rgs10
Rpl3,Cox7a2l,Ddx5
Rpl23a,Jun,Rpl15
Srsf5,Tsc22d3,Jun
Il7r,Rps6,Rapgef6
Ptpn18,Ptpn18,Cox7a2l
Jun,Rapgef6,Rpl23a
Rapgef6,Dapl1,Ssh2
Junb,Rgs10,Ms4a4c
Tsc22d3,Srsf5,Evl
Rpl7,Ssh2,Rps6
Rpl10a,Rpl3,Bcl2
Rps25,Ms4a4c,Srsf5
Rps26,Evl,Ptpn18
Pfdn5,Junb,Fos
Fos,Fos,Txk
Shisa5,Rps25,Rpl3
Vps37b,Rps26,Junb
Ssh2,B2m,Nsg2
Txk,Bcl2,Vps37b
Clk1,Txk,Fam241a
Jund,Rpl7,Rps27rt
B2m,Vps37b,Rps25
Rgs10,Shisa5,Rpl7
Eif4a2,Rpl10a,Rps26
Bcl2,Rps27rt,B2m
Dapl1,Pfdn5,Shisa5
Rpl29,Fam241a,Rpl10a
Evl,Jund,Pfdn5
Rps27rt,Clk1,Clk1
Ppp1r15a,Nsg2,Jund
Ms4a4c,Ppp1r15a,Ppp1r15a
Rpl10,Eif4a2,Eif4a2
Stk17b,Rpl29,Peli1
Cd53,Stk17b,Arl4c
Chd2,Rpl10,Chd2
Saraf,Arl4c,Smad7
Arl4c,Peli1,Stk17b
Fam241a,Chd2,Rpl29
Peli1,Smad7,Rabac1
Elf1,Rabac1,Rpl10
Stat1,Cd53,Trim12a
Klf6,Stat1,Chd3
Rabac1,Trim12a,Stat1
Naca,Zfp36l1,Zfp36l1
Nsg2,Map4k4,Ssbp2
Smad7,Chd3,Cd53
Ablim1,Saraf,Kif1b
Map4k4,Tnrc6b,Map4k4
Tut4,Elf1,Tnrc6b
Zfp36l1,Pdcd4,Tmem108
Eif3e,Kif1b,Pdcd4
Itpkb,Fam189b,Il4ra
Rpl4,Itpkb,Saraf
H2-T23,Tut4,Fam189b
Nsa2,Ssbp2,Itpkb
Fyb,Ypel3,Il6ra
Ubc,Tmem108,Elf1
Eif1,Il4ra,Ctss
Klf13,Ctss,Tcp11l2
Trim12a,Ubc,Zbtb20
Hcst,Klf6,Tut4
