gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Rdh10,1.0189714,0.890662755119504,0.7065005,1.0189714,0.284784093168989,1.3953748,1.0189714,0.5872900435022673,1.0827582,0.0044500446
Gm28095,,,,,,,,,,
Stau2,1.2542645,0.9981504476998344,0.05399158,1.2542645,0.6989829715160589,0.5674743,1.2542645,0.8112585213816941,0.50032014,2.3018254e-05
Gm7568,,,,,,,,,,
Ube2w,-0.2845561,0.9981504476998344,0.4539668,-0.2845561,0.4222590210817717,-1.0877186,-0.2845561,0.7517239127261021,-0.6967341,-0.00463973
Eloc,1.0038584,6.82626125651683e-17,8.7611685,1.0038584,9.76476693107887e-23,11.127635,1.0038584,2.151100521542132e-11,7.4686494,0.00230101
D030040B21Rik,-19.493708,0.9981504476998344,-0.030941628,-19.493708,0.3139550936376987,-1.3187124,-19.493708,0.8167230215371122,-0.48250142,-0.001119461
Tmem70,0.52325237,0.0183163710697132,2.869758,0.52325237,0.0466187372505964,2.4272997,0.52325237,0.2505264858500515,1.7820009,0.016313419
Ly96,0.7098696,0.7378050715305738,0.9138719,0.7098696,0.252775659772278,1.481431,0.7098696,0.5557527101750576,1.1398059,0.005684235
Gm28376,,,,,,,,,,
Jph1,,,,,,,,,,
Gm28783,,,,,,,,,,
Gdap1,,,,,,,,,,
Gm28784,,,,,,,,,,
Pi15,,,,,,,,,,
Gm28154,,,,,,,,,,
Gm16070,,,,,,,,,,
Crispld1,,,,,,,,,,
Gm28153,,,,,,,,,,
Crisp4,,,,,,,,,,
Defb18,,,,,,,,,,
Defb41,,,,,,,,,,
Gm15825,,,,,,,,,,
Tfap2d,,,,,,,,,,
Tfap2b,,,,,,,,,,
Gm28340,,,,,,,,,,
Pkhd1,,,,,,,,,,
4930486I03Rik,,,,,,,,,,
Gm28653,,,,,,,,,,
Il17a,,,,,,,,,,
Il17f,,,,,,,,,,
Mcm3,2.7781274,3.651071322143299e-60,16.831776,2.7781274,2.213709505538697e-54,21.217937,2.7781274,3.0792921914927924e-45,17.017727,0.11709197
Gm28065,,,,,,,,,,
6720483E21Rik,,,,,,,,,,
Paqr8,-0.64994484,0.9981504476998344,0.037817545,-0.64994484,0.7570969314913172,-0.46224618,-0.64994484,0.9065728286436248,-0.25897127,0.0005027473
Efhc1,,,,,,,,,,
Tram2,1.2958113,0.4802431895464976,1.2776704,1.2958113,0.0456172574415129,2.4397972,1.2958113,0.1598243638181384,2.0435114,0.0031910785
Gm28287,,,,,,,,,,
Tmem14a,-2.6087973,0.9981504476998344,-0.3339508,-2.6087973,0.0054112572493843,-3.2249594,-2.6087973,0.3928354479223511,-1.4646021,-0.0068094707
Gsta3,,,,,,,,,,
Gm28836,,,,,,,,,,
Khdc1a,-0.12871589,0.9981504476998344,0.06891544,-0.12871589,0.962038626509516,-0.07854145,-0.12871589,0.9840098492159765,-0.04632584,0.00030008837
Khdc1c,,,,,,,,,,
Khdc1b,,,,,,,,,,
Kcnq5,-22.253735,0.9981504476998344,-0.20112059,-22.253735,0.0027360978437332,-3.4363601,-22.253735,0.4968707934967728,-1.2573239,-0.0026324661
Gm26580,0.20251568,0.9981504476998344,0.06907171,0.20251568,0.9428860775293498,0.11470583,0.20251568,0.9753564773621922,0.07256519,-0.0018364306
Rims1,,,,,,,,,,
4933415F23Rik,,,,,,,,,,
Gm27028,,,,,,,,,,
Gm29107,,,,,,,,,,
Ogfrl1,-0.20284162,0.9981504476998344,0.26276943,-0.20284162,0.7498469403477849,-0.4773809,-0.20284162,0.8832471436930242,-0.31528383,-0.008971856
Gm28822,,,,,,,,,,
B3gat2,,,,,,,,,,
Smap1,0.75278807,3.988939444225552e-07,5.5196424,0.75278807,1.4399596817446336e-08,6.283484,0.75278807,0.0001202485090699,4.465479,-0.021123633
Sdhaf4,0.19695756,0.235900643059425,1.7440608,0.19695756,0.4197223669388959,1.0923934,0.19695756,0.7207661020599659,0.7823677,-0.0010692882
Fam135a,,,,,,,,,,
Col9a1,,,,,,,,,,
Col19a1,,,,,,,,,,
