comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
P0,2017_IMMUNITY_WOLSKI_curated_human---CM02,-2.2028116046867665,0.001439859525899912,1.6485328058028355e-4,43,2.8416798760314026,3.7829024059746446
P0,2017_IMMUNITY_WOLSKI_curated_human---AM10,-1.9863455612096892,0.001439859525899912,1.69061707523246e-4,36,2.8416798760314026,3.771954748963949
P0,2017_IMMUNITY_WOLSKI_curated_human---AM05,-2.650735151583887,0.001439859525899912,1.7018379850238256e-4,67,2.8416798760314026,3.769081787118219
P0,2017_IMMUNITY_WOLSKI_curated_human---CM01,-1.9422195263829987,0.001439859525899912,1.7205781142463867e-4,43,2.8416798760314026,3.764325605625984
P0,2017_IMMUNITY_WOLSKI_curated_human---controller_DEG_pepstim_up,-2.0665626553758636,0.001439859525899912,1.755926251097454e-4,45,2.8416798760314026,3.7554937284151193
P0,2017_IMMUNITY_WOLSKI_curated_human---AM06,-1.8217713423111004,0.010799420518898985,0.0015804030027657052,53,1.9665995474942,2.801232153830292
P0,2017_IMMUNITY_WOLSKI_curated_human---AM13,1.7483981133795992,0.031396239258061766,0.005360333531864205,57,1.5031223699932452,2.2708081866987238
P0,2017_IMMUNITY_WOLSKI_curated_human---AM07,-1.6704487852351098,0.03215442218174459,0.006274033596437968,62,1.4927592903273523,2.202453160055144
P0,2017_IMMUNITY_WOLSKI_curated_human---CM05,-1.4703900734451978,0.03523078002244669,0.007733585858585859,26,1.4530777412725129,2.1116190885529234
P0,2017_IMMUNITY_WOLSKI_curated_human---AM02,1.4783874780974615,0.04235944257568476,0.010331571359923113,35,1.3730497635762862,1.9858336202960216
P0,2017_IMMUNITY_WOLSKI_curated_human---progressor_vs_controller_pepstim_up,1.6050337212211832,0.07489981928184175,0.020095073465859984,24,1.1255192301642665,1.6969104017257768
P0,2017_IMMUNITY_WOLSKI_curated_human---AM11,-1.4949936831891373,0.14010388190267906,0.04100601421541826,44,0.8535498314126062,1.3871524420847168
P0,2017_IMMUNITY_WOLSKI_curated_human---escape:resolver.up_early,1.4951112287233583,0.14709638187899057,0.0466403162055336,25,0.8323980094567938,1.3312385138696925
P0,2017_IMMUNITY_WOLSKI_curated_human---controller_vs_progressor_pepstim_up,-1.4686521925118956,0.21777580021691367,0.07436246836675102,35,0.6619903817711311,1.1286462028126285
P0,2017_IMMUNITY_WOLSKI_curated_human---escape.up_early,1.418480499939271,0.25582922824302134,0.09359605911330049,43,0.5920498392963297,1.028742436960384
