wilcoxon,t-test,t-test_overestim_var
Rplp1,Rplp1,Rplp1
Rps20,Rps24,Rps24
Rps24,Rps20,Rps20
Rpl12,Rpl12,Rpl23
Rpl13,Rpl23,Rpl12
Rps9,Rpl13,Rps19
Rpl23,Rps16,Rps16
Rps16,Rps19,Rpl13
Rps19,Rps9,Rps9
Rps29,Rps29,Rps29
Rps18,Rps18,Rpl27a
Rpl27a,Rpl27a,Rps18
Rpl39,Rpl39,Sell
Rpl26,Rps7,Rpl39
Rps7,Rps15a,Rps7
Rplp2,Rps27a,Rps15a
Rps27a,Rpl26,Rps27a
Rps21,Rps21,Rps12
Rps15a,Rplp2,Rplp2
Rpl32,Rpl35a,Rps21
Rpl35a,Rpl21,Rpl26
Rps12,Rpl32,Rpl32
Rpl21,Rps12,Rpl21
Eef1b2,Rps5,Ccr7
Rps5,Eef1b2,Rps5
Rpl9,Rpl9,Rpl35a
Rpl36a,Rps28,Eef1b2
Rpl8,Rpl36a,Rpl9
Rps28,Rpl18a,Rpl36a
Rps4x,Rps27,Rps4x
Rpl18a,Rps26,Rps27
Rps27,Rps2,Tpt1
Rpl37,Rpl37,Rpl18a
Rps23,Rps23,Rps23
Rps3,Rps4x,Rps28
Rpl15,Rpl15,Rps3
Rpl36,Rpl8,Rpl8
Rps26,Rps3,Rpl15
Rps3a1,Rpl10,Rpl19
Rpl19,Sell,Rps3a1
Tpt1,Rpl19,Rpl37
Rps2,Rpl36,Rps2
Eef1a1,Eef1a1,Eef1a1
Rpl35,Rpl35,Rpl36
Rpl10,Rps3a1,Rps26
Sell,Rpl17,Rps8
Rps8,Tpt1,Rpl17
Rpl17,Rps8,Rpl10
Rpsa,Rpl28,Rpl11
Rpl11,Rps13,Rpsa
Rpl37a,Rpl11,Rpl37a
Rpl28,Rpsa,Rps13
Rps13,Ccr7,Rpl35
Ccr7,Rpl37a,Rpl28
Rps25,Rps25,Rps6
Rps6,Rpl22,Rps25
Rpl3,Rpl6,Rpl6
Rpl22,Rps6,Rpl22
Rpl6,Rps15,Rpl3
Rpl10a,Rpl3,Rpl5
Rpl5,Rpl10a,Rpl30
Rps15,Rpl30,Dapl1
Rpl30,Rpl5,Rpl10a
Npm1,Rps14,Rps15
Rps14,Rpl7,Tcf7
Rpl7,Npm1,Rps14
Rpl38,Tcf7,Rpl7
Rpl34,Rpl38,Lef1
Rps10,Rpl34,Npm1
Lef1,Lef1,Rpl38
Tcf7,Rps10,Rgs10
Rpl14,Rpl41,Rpl34
Rpl41,Rpl23a,Rps10
Rpl23a,Fau,Rpl41
Rplp0,Rpl18,Rpl23a
Fau,Rplp0,Fau
Rps17,Rpl14,Rpl14
Rpl18,Dapl1,Nsg2
Rack1,Rgs10,Rplp0
Rgs10,Rps17,Rpl18
Dapl1,Rack1,Satb1
Satb1,Satb1,Rack1
Rpl31,Rpl31,Rps17
Tubb5,Fos,Fos
Fos,Nsg2,Fam241a
Jun,Tubb5,Rpl31
Rpl4,Klf2,Ms4a4c
Nsg2,Jun,Jun
Ms4a4c,Ms4a4c,Tubb5
Fam241a,Rpl4,Tmem108
Bcl2,Fam241a,Actn1
Ssh2,Bcl2,Bcl2
Klf2,Ssh2,Il6ra
mt-Nd2,mt-Nd2,Ssh2
Tsc22d3,Actn1,Rpl4
Foxp1,Tsc22d3,Klf2
Naca,Rps11,Tsc22d3
Actn1,Foxp1,Tdrp
Rps11,Rpl7a,Kif1b
Rpl7a,Tmem108,Treml2
Il7r,Tmsb10,Il4ra
Vps37b,Naca,mt-Nd2
Tmsb10,Il7r,Foxp1
Eef1d,Il6ra,Il7r
Eef1g,Kif1b,Ssbp2
Hspe1,Vps37b,Rps11
Eif4a2,Eef1g,Sh3bp5
Rps27rt,Eif4a2,Cd2ap
Rapgef6,Il4ra,Irs2
Rpl27,Eef1d,Rpl7a
Ptma,Tdrp,Naca
Kif1b,Ssbp2,Tmsb10
Jund,Treml2,Ramp1
Tmem108,Hspe1,Vps37b
Il6ra,Rpl27,Dph5
Smc4,Rps27rt,Cxcr4
Il4ra,Jund,Zbtb20
Hsp90ab1,Rapgef6,Eif4a2
Npc2,Cd2ap,Rps27rt
Ssbp2,Sh3bp5,Eef1g
Emb,Dph5,Eef1d
Rpl24,Ptma,Bach2
Dph5,Cxcr4,Hspe1
Cd2ap,Zbtb20,Iigp1
Gnl3,Smc4,Rapgef6
Tdrp,Hsp90ab1,Tnfsf8
Stat1,Irs2,Smc4
Sh3bp5,Gnl3,Rgcc
Hmgn1,Rpl24,Jund
Zbtb20,Ramp1,Pik3ip1
Map4k4,Npc2,Gnl3
Cxcr4,Emb,Rpl27
Ncl,Bach2,Atp1b1
Treml2,Hmgn1,Myc
Hsp90aa1,Pik3ip1,Igfbp4
Peli1,Ncl,Hmgn1
Ddx5,Rgcc,Inpp4b
Vgll4,Tnfsf8,Dusp10
mt-Nd1,Iigp1,Ptma
Chd2,Myc,Rflnb
Txk,Inpp4b,Il6st
Pik3ip1,Map4k4,Ttc3
Fbl,Dusp10,Hsp90ab1
Bach2,Stat1,Npc2
Mrpl23,mt-Nd1,Id3
Eif3e,Atp1b1,Emb
Rgcc,Ttc3,Rpl24
Inpp4b,Il6st,Ncl
Taf1d,Vgll4,Rapgef4
Irs2,Mrpl23,Timp2
Myc,Igfbp4,Map4k4
Cmah,Fbl,Ift80
Ramp1,Rflnb,Pdk1
Ighm,Peli1,Ifngr2
Chd3,Hsp90aa1,Stat1
Dusp10,Chd2,Vgll4
Nsa2,Pdk1,Mrpl23
Ttc3,Id3,Fbl
Pabpc1,Trmt1,Mettl1
Nop56,Txk,Trmt1
Iigp1,Pcgf5,Oasl2
Tcf12,Taf1d,Zbtb10
Tnfsf8,Gramd4,mt-Nd1
Socs3,Timp2,Pcgf5
Bst2,Ift80,Patj
Pcgf5,Rapgef4,Peli1
Cox7a2l,Socs3,Gramd4
Uba52,Cmah,Pmepa1
C1qbp,Ighm,Slc28a2b
Ddx3x,Mettl1,Rhob
Cd69,Tcf12,Socs3
Hnrnpa0,Rhob,Chd2
Ctss,Oasl2,Hsp90aa1
Gramd4,Eif3e,Taf1d
Ppp1r15a,Chd3,Izumo1r
Trmt1,Nop56,Txk
Hnrnpa1,Ifngr2,Cmah
Pdk1,Sik1,Tcf12
Sptbn1,C1qbp,Sik1
Il6st,Impdh2,Ighm
Evl,Klhdc2,Impdh2
Smad7,Patj,Klhdc2
Gm2000,Zbtb10,Adgrg5
Matr3,Dennd2d,Dennd2d
Ppp1r14b,Gm2000,Rab3ip
Sik1,Ctss,Nop56
Sidt1,Pmepa1,Chd3
Klhdc2,Adgrg5,C1qbp
Il21r,Slc28a2b,Maff
Impdh2,Pabpc1,Myb
Atp1b1,Il21r,Als2cl
Mrpl52,Dyrk2,Ralgps2
Gm11808,Kbtbd11,Ccr9
Rhob,Rpl10-ps3,H2-Oa
Eif5,Rab3ip,Eif3e
Srsf5,Uba52,Ppic
Rflnb,Ddx5,Dyrk2
Eif4a1,Izumo1r,St8sia1
Kbtbd11,Hnrnpa0,Xcl1
Ube2s,Ppp1r14b,Il21r
Mycbp2,Ddx3x,Gm2000
Mrpl30,Kcnn4,Rpl10-ps3
Rpl9-ps6,Mybbp1a,Bmyc
Igtp,Myb,Kbtbd11
Ddx21,Cd69,Ctss
Atp11b,Ralgps2,Zfp281
Cebpb,Als2cl,Mybbp1a
Dyrk2,Cebpb,Cyth3
Hnrnph1,Nsa2,P2rx4
Kcnn4,Maff,Gm12185
mt-Cytb,Frat2,Ddx5
Rpl10-ps3,Bst2,Dzip1
Tuba1b,Gbp2,Ppp1r14b
Gbp2,Zfp281,Kcnn4
Bclaf1,Sesn3,Cebpb
Igfbp4,Ppp1r15a,Frat2
Dennd2d,Matr3,Gbp2
Id3,Sptbn1,Uba52
Fosb,Sidt1,Sesn3
Fubp1,Evl,Pacsin1
Pnrc1,H2-Oa,Gm20696
Pfdn5,Hnrnpa1,Atn1
Psme1,Tuba1b,Nme4
Mybbp1a,Rpl9-ps6,Mdn1
Ift80,Mdn1,Atad3a
Timp2,Socs1,Auts2
Itpkb,Ccr9,Dnah8
Frat2,Ppic,Pabpc1
Fam169b,Bmyc,Ddx3x
Foxo1,Xcl1,Klf9
Ythdc1,Smad7,St6gal1
Mettl1,P2rx4,Socs1
Tra2b,Gle1,Hnrnpa0
Bzw2,Rras2,Cd69
Gtpbp4,St8sia1,Ttc28
Sesn3,Gm20696,Scml4
Zfp36l1,Scml4,Tuba1b
Oasl2,Dzip1,Gle1
Ppm1h,Fam169b,Zcwpw1
Rras2,Cyth3,Hspb11
Hexim1,Atad3a,Sidt1
Socs1,Cox7a2l,Srm
Rapgef4,Pacsin1,Rras2
Tspan13,Dnah8,Gpatch4
Gle1,Mrpl52,Ctsl
Adgrg5,Tspan13,Matr3
Arid5a,Hspb11,Sptbn1
Hspd1,Igtp,Rpl9-ps6
Tagap,Bzw2,Nsa2
Eif1,Gpatch4,App
Eif3m,Gm12185,Gngt2
Alkbh1,Atn1,Evl
Scml4,Foxo1,Nt5e
Rabac1,Bend4,Bend4
Ccnd2,Srm,Ppp1r15a
Ipcef1,Mrpl30,Fam169b
Mdn1,Ube2s,Tspan13
Rab3ip,Gngt2,Smad7
Pdlim1,Gm11808,Hnrnpa1
Zfp281,Ddx21,Bst2
Arl4c,Mycbp2,Bzw2
Wdr89,Klf9,F2rl1
Rlim,mt-Cytb,Apex1
Dusp1,Atp11b,Gm4707
Atf4,Bclaf1,Chka
Bend4,Hexim1,Ephx1
Nop58,Nt5e,Igtp
Rbm39,Gm4707,Foxo1
Snrpg,Fosb,Rpl36a-ps1
Rbbp6,Wdr89,Trio
Eif4b,Nme4,Rnf130
Zeb1,Alkbh1,Ikzf2
Myb,Chka,Aff3
Fus,Ppm1h,Chchd10
Gpatch4,Apex1,Cox7a2l
Ralgps2,Fubp1,Wdr89
Hspa9,Rpl36a-ps1,Mrpl52
Kmt2c,Hnrnph1,Klf4
Clk1,Pnrc1,Gm11808
Cct3,Auts2,Adk
Cct4,Gtpbp4,Abca1
Ptges3,F2rl1,Alkbh1
Atp5g2,St6gal1,Ddx21
Snrpf,Chchd10,Fntb
Hnrnpdl,Ctsl,Hexim1
Gpx1,Arid5a,Scmh1
Hspb11,Psme1,Igf1r
Pold4,Ttc28,Mrpl30
Gm20696,Eif5,Itm2a
Patj,Zcwpw1,Usp28
Klf6,Adk,Hdac4
Als2cl,Hdac4,Ube2s
Nsd3,Aff3,Atp11b
Las1l,Ikzf2,Mycbp2
Ifngr2,Klf4,Slc49a4
Gm4707,App,Ppm1h
Chka,Rnf130,Fosb
Prdx6,Srsf5,Eml5
Tra2a,Ipcef1,Utp20
Utp14a,Zfp36l1,Gtpbp4
Elf1,Zeb1,Bclaf1
Srm,Eif1,Fubp1
Cebpz,Las1l,Slc6a19
Atad3a,Eif4a1,Hnrnph1
Gbp8,Itpkb,Arid5a
Chchd10,Fntb,Tgfbr3
S1pr1,Hspa9,Parp8
Dnah8,Trio,Utp14b
Pmepa1,Hspd1,mt-Cytb
Izumo1r,Ephx1,Epb41l2
Neurl3,Itm2a,Macrod1
Zbtb10,Parp8,Tsr1
Slc28a2b,Slc49a4,Zeb1
Rsl1d1,Tsr1,Las1l
Ppa1,Pdlim1,Amd2
Csde1,Nop58,Taf4b
Numa1,Eml5,Plekho1
Dnaja1,Tagap,Ipcef1
Srrm2,Rlim,Pik3c2a
Mphosph10,Ythdc1,Dnajb2
Gngt2,Utp20,Pnrc1
P2rx4,Utp14a,Usp11
Sf3b3,Coq5,Tsc22d1
Pa2g4,Usp28,Coq5
Rpl36a-ps1,Gbp8,Eif5
Hdac4,Epb41l2,Bcl3
Tmem243,Pik3c2a,Hspa9
Rbm6,Nolc1,Kcna2
Cabin1,Scmh1,Zfp36l1
Riok1,Taf4b,Psme1
Gbp4,Abca1,Tmie
Crlf3,Amd2,Kctd12
Pacsin1,Bcl3,Utp14a
Nolc1,Slc12a7,Gbp8
Dzip1,Mphosph10,Itpkb
Maff,Pfdn5,Cxxc5
Xcl1,Ptges3,Sh3pxd2a
H2-Oa,Atxn2,Srsf5
Apex1,Ikbke,H2-Ob
Rpgrip1,Igf1r,Hspd1
Dgka,Macrod1,Pdlim1
Ahctf1,Aim2,Nop58
Ikbke,Rpgrip1,Aim2
Slamf6,Ccnd2,Trib2
Vars,Dnajb2,Rlim
Bmyc,Trib2,Ncf1
Znrf1,Pkp4,Mgmt
Rcc2,Ncf1,Atxn2
Adk,Plekho1,Nolc1
Huwe1,Usp11,Mtss1
Smchd1,Kmt2c,Slc12a7
Hnrnpu,Rcc2,Eif1
Klf4,Pja1,Eif4a1
