wilcoxon,t-test,t-test_overestim_var
Ccl5,Ccl5,Ccl5
Tpt1,Tpt1,Tpt1
Fau,Zeb2,Zeb2
Zeb2,Fau,Fau
Rps27,Btg1,Btg1
Btg1,Hcst,Hcst
Hcst,Rps27,Rps27
Rps14,Il18rap,Rps14
Rpl18a,Rps14,Il18rap
Rpl17,Rpl18a,Rpl18a
Jak1,Rpl17,Rpl17
Il18rap,Jak1,Jak1
Ptprc,Cx3cr1,Cx3cr1
Rps24,Ptprc,Ptprc
Rpl34,Rps24,Rps24
Cx3cr1,Rpl34,H2-K1
H2-K1,H2-K1,Rpl34
Junb,Junb,Junb
Rpl24,Rpl24,Rpl24
Laptm5,Klrg1,Klrd1
Rpl19,Rpl19,Klrg1
Rpl37a,Ypel3,Rpl19
Sp100,Klrd1,Ypel3
Klrd1,Rpl37a,Rpl37a
Ahnak,Laptm5,Laptm5
Rpl30,Rpl30,Rpl30
Cd8b1,Rps13,Rps13
Ier2,Sp100,Sp100
Rps13,S1pr5,Cd8b1
Ptpn18,Ier2,Ahnak
Klrg1,Ahnak,Ier2
Rpl27,Cd8b1,S1pr5
Dock2,Ptpn18,Ptpn18
Nkg7,Rpl27,Rpl27
Ypel3,Ccdc88c,Nkg7
Klf2,Nkg7,Ccdc88c
Gabarapl2,Dock2,H2-D1
Ppp1r12a,H2-D1,Dock2
H2-Q7,Klf2,Ly6c2
H2-D1,H2-Q7,Klf2
Apbb1ip,Ly6c2,Ubb
Ccdc88c,Ubb,H2-Q7
Cox7a2l,Ppp1r12a,Ppp1r12a
Ubb,Klrc1,Gabarapl2
Ly6c2,Gabarapl2,Itgb1
Lck,Itgb1,Klrc1
Pfdn5,Rps15a,Rps15a
Rps15a,Apbb1ip,Apbb1ip
Itgal,Macf1,Zfp36l2
Pnrc1,Zfp36l2,Macf1
Zfp36l2,Pnrc1,Pnrc1
Eif3f,Cox7a2l,Cox7a2l
Itgb1,Itgal,B2m
Klrc1,Pfdn5,Itgal
Macf1,Pdcd4,Pfdn5
Rack1,B2m,Pdcd4
B2m,Rack1,Rack1
Rps11,Lck,Lck
Rps7,Ifitm10,Rps11
Atp2b1,Rps11,Atp2b1
Rpl9,Ogt,Ogt
Spn,Atp2b1,Arl4c
Ddx5,Arl4c,Rora
Bcl11b,Rora,Ifitm10
Rap1b,Rps7,Rps7
Rora,Tm6sf1,Ier5
Ier5,Ier5,Tm6sf1
S1pr5,Eif3f,Eif3f
Ankrd44,Klf3,Rpl9
