wilcoxon,t-test,t-test_overestim_var
S100a6,S100a6,S100a6
Lgals1,Lgals1,Lgals1
Sub1,Hmgb2,Hmgb2
Actg1,Anxa2,Anxa2
H2az1,H2az1,Pclaf
Hmgb2,Ybx3,Gzmb
Gapdh,Pclaf,Ybx3
Anxa2,Gzmb,Rrm2
Txn1,Gapdh,H2az1
Hsp90aa1,Hsp90aa1,Stmn1
Ctla2a,Rrm2,Birc5
Ybx3,Stmn1,Serpinb6b
Gzmb,Actg1,Cks1b
Ptma,Ptma,Lmnb1
Serpinb6b,Serpinb6b,Dut
Ifng,Dut,Fabp5
Vim,Txn1,Mki67
Ybx1,Birc5,Hsp90aa1
Rps27l,Lmnb1,Ptma
Hsp90b1,Cks1b,Lgals3
Dut,Fabp5,Gapdh
Ldha,Sub1,Tyms
Cox5a,Mki67,Cdca8
Hsp90ab1,Sdf2l1,Sdf2l1
Ahnak,Lgals3,Cks2
Ranbp1,Cks2,Ccna2
Lgals3,Ctla2a,Actg1
Ran,Tyms,Ctla2a
Lmnb1,Tpi1,Mcm5
Eif5a,Mcm5,Hells
Pclaf,Ahnak,Txn1
Pkm,Pkm,Tpi1
Anp32b,Gmnn,Cdca3
Stmn1,Cdca8,Uhrf1
Nap1l1,Vim,Gmnn
Ube2s,Ccna2,Spc24
Fabp5,Hells,Ahnak
Prdx1,Dctpp1,Ccnb2
Alyref,Alyref,Ifng
Rrm2,Spc24,1500009L16Rik
Mki67,Cdca3,Tk1
Cks2,Rrm1,Rrm1
Cks1b,Hsp90b1,Lig1
Sdf2l1,Uhrf1,Vim
Tpi1,Pgam1,Pkm
Birc5,Ccnb2,Dctpp1
Pgam1,Ran,Dtl
Nme1,Lig1,Tipin
Pcna,Hopx,Alyref
Hspd1,Rps27l,Smc2
Dynll1,Tipin,Pgam1
Hint1,Ifng,Ran
S100a4,Ezh2,Ezh2
Hspa5,Smc2,Hsp90b1
Ywhae,Ranbp1,Clspn
Pgk1,Pcna,Sub1
Bhlhe40,Ube2s,Mcm3
Hmgb1,Nap1l1,Top2a
Hnrnpab,Tk1,Hopx
Slc25a5,Mcm3,Cenpw
Tyms,Mcm6,Bhlhe40
Mcm5,Dtl,Mcm6
Gmnn,1500009L16Rik,Serpinb9
Hells,Hspd1,Asf1b
Top2a,Ybx1,Kif15
Plek,Hsp90ab1,Zbtb32
Uhrf1,Serpinb9,Adap1
Cdca8,Ldha,Hspd1
Snrpd1,Cenpw,Rps27l
Hopx,Anp32b,Mt1
Hspa8,Siva1,Hsp90ab1
Dctpp1,Clspn,Pcna
Dtl,Eif5a,Tpx2
Tk1,Slbp,Ube2s
Ccnb2,Bhlhe40,Hmmr
Pdia3,Top2a,Ranbp1
Ccna2,Pgk1,S100a4
1500009L16Rik,Orc6,Nap1l1
Slbp,Asf1b,Rad51
Cdca3,Cenpa,Siva1
Zbtb32,Hnrnpab,Plek
Mt1,Zbtb32,Orc6
Asf1b,Cdk2ap1,Ccne1
Tipin,Ywhae,Tacc3
Rrm1,Kif15,Ybx1
Calr,Ddx39,Gins2
Spc24,Cisd1,Ldha
Manf,Dynll1,Dhfr
Tuba1b,S100a4,Cenpa
Mcm3,Eif1ax,Anp32b
Set,Cox5a,Casp3
Cd48,Nme1,Slbp
Dek,Hspa5,Rfc4
Hmmr,Prdx1,Cxcr3
Mrpl18,Prelid1,Cdk2ap1
Kif15,Adap1,Rfc3
Smc2,Pdia6,Ube2c
Adap1,Hmgn2,Cisd1
Mcm6,Nasp,Eif5a
Lig1,Plek,Mcm7
Clspn,Tpx2,Pgk1
Tpx2,Mt1,Ddx39
Ddx39,Rfc4,Mcm4
Cox5b,Mcm7,Fignl1
Nasp,Snrpd1,Nasp
Cxcr3,Casp3,Hsph1
Ezh2,Ccne1,Ncapg2
Serpinb9,Mrpl18,Ccnb1
Gins2,Mcm4,Hmgn2
Prelid1,Rad51,Eif1ax
Atp5b,Manf,Pdia6
Atp5pb,Cxcr3,Hnrnpab
