gene_names,P1,P2,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score
Gm28557,0.008236084133386612,0.0130892563611269,0.6718596816062927,0.8197344200794955,0.5012330412864685,0.6718596816062927,0.8263264051159354,0.425130158662796,0.6718596816062927,0.9168100590800614,0.338789701461792
Zfp759,0.0,0.0,0.0,0.8699372339513546,0.24832570552825928,0.0,1.0,0.0,0.0,1.0,0.0
Rsl1,0.023845892399549484,0.017654553055763245,-0.43818193674087524,0.8699372339513546,0.3170505166053772,-0.43818193674087524,0.8550461810524242,-0.3769727051258087,-0.43818193674087524,0.9520862206333531,-0.2694914638996124
Zfp455,0.01540725864470005,0.019384168088436127,0.33414560556411743,0.8294749750045226,0.43983888626098633,0.33414560556411743,0.9380266458421358,0.24490143358707428,0.33414560556411743,0.9925791187399625,0.18992072343826294
Zfp458,0.0,0.00890961941331625,23.093364715576172,0.7409771188979258,0.6240214109420776,23.093364715576172,0.31487410214456946,1.417826533317566,23.093364715576172,0.387700968237281,1.417826533317566
Gm48824,0.004525298252701759,0.0,-22.11284637451172,0.8863903537555134,0.18876418471336365,-22.11284637451172,0.4772443430422566,-1.0,-22.11284637451172,0.7966554649761094,-0.5573863983154297
Zfp595,0.019652804359793663,0.00895782746374607,-1.1412473917007446,0.8863903537555134,0.19426217675209045,-1.1412473917007446,0.5969657103225858,-0.791857898235321,-1.1412473917007446,0.8108469195657204,-0.5287575721740723
Zfp953,0.021052829921245575,0.005140421912074089,-2.0455586910247803,0.9171349988453621,0.13378432393074036,-2.0455586910247803,0.30536249957429296,-1.4518499374389648,-2.0455586910247803,0.6451684156778805,-0.8785893321037292
Gm28041,0.0,0.014163992367684841,23.765953063964844,0.6277131625351585,0.8118692636489868,23.765953063964844,0.19949297890786932,1.7565675973892212,23.765953063964844,0.24821063183870723,1.7565675973892212
Zfp456,0.003712180070579052,0.009930324740707874,1.4240645170211792,0.7769068713004531,0.5626272559165955,1.4240645170211792,0.6003126358764063,0.7877565622329712,1.4240645170211792,0.7763467790672667,0.6452006697654724
Zfp429,0.038933031260967255,0.013982451520860195,-1.4954547882080078,0.8699372339513546,0.3133852183818817,-1.4954547882080078,0.25369026762970853,-1.5728892087936401,-1.4954547882080078,0.5978958500782359,-0.9643239974975586
Zfp459,0.0038505923002958298,0.022706089541316032,2.5735583305358887,0.5512261440490993,0.9364902973175049,2.5735583305358887,0.27776401114673976,1.5247873067855835,2.5735583305358887,0.39879226583613697,1.38323974609375
Zfp874a,0.02288982644677162,0.004400589037686586,-2.392305374145508,0.9171349988453621,0.13378432393074036,-2.392305374145508,0.22330068443784679,-1.6543338298797607,-2.392305374145508,0.5926594205940595,-0.9757125377655029
Zfp874b,0.026923654600977898,0.00409774761646986,-2.7324788570404053,0.9541792547737796,0.07330647855997086,-2.7324788570404053,0.13328202429837918,-1.963749885559082,-2.7324788570404053,0.531672939055618,-1.1446982622146606
Zfp58,0.019820768386125565,0.010094702243804932,-0.9804478883743286,0.8699372339513546,0.3170505166053772,-0.9804478883743286,0.56052517098504,-0.8519023060798645,-0.9804478883743286,0.7966554649761094,-0.5584623217582703
Zfp87,0.09230990707874298,0.08566103875637054,-0.1127137839794159,0.24257921556998682,1.5211094617843628,-0.1127137839794159,0.9583352558864514,-0.21365340054035187,-0.1127137839794159,1.0,-0.15180660784244537
Zfp748,0.0035716667771339417,0.05839887633919716,4.071024417877197,0.05964705586034418,2.2450110912323,4.071024417877197,0.012596237221821977,3.0843658447265625,4.071024417877197,0.02246550980600566,2.954861879348755
9430065F17Rik,0.028297651559114456,0.0,-24.774639129638672,0.9317476535966106,-0.10904338955879211,-24.774639129638672,0.0506882928920332,-2.442742347717285,-24.774639129638672,0.41094952482594904,-1.3615514039993286
Zfp729b,0.018312543630599976,0.04430840536952019,1.2935981750488281,0.2572352201643729,1.4835399389266968,1.2935981750488281,0.31487410214456946,1.4229848384857178,1.2935981750488281,0.5300782006478206,1.1426814794540405
Zfp729a,0.023305682465434074,0.03419775515794754,0.5611146092414856,0.47973800887208784,1.0501153469085693,0.5611146092414856,0.6987804148256677,0.6258055567741394,0.5611146092414856,0.8470286764158246,0.4648846983909607
Zfp738,0.03592708706855774,0.0803091824054718,1.1928179264068604,0.16105795505078757,1.7575228214263916,1.1928179264068604,0.24003637933519037,1.6170586347579956,1.1928179264068604,0.4195401015790596,1.3358644247055054
Zfp65,0.031198538839817047,0.04363167658448219,0.4929220378398895,0.35046238802990437,1.2828633785247803,0.4929220378398895,0.6947955601087057,0.6321824193000793,0.4929220378398895,0.8416367656084441,0.47439947724342346
Zfp85,0.027382628992199898,0.022186940535902977,-0.3073136806488037,0.8294749750045226,0.4380062222480774,-0.3073136806488037,0.9035070154325315,-0.298921674489975,-0.3073136806488037,0.9805525520979463,-0.21556657552719116
Zfp493,0.006021368317306042,0.0,-22.5260066986084,0.8863903537555134,0.18876418471336365,-22.5260066986084,0.4772443430422566,-1.0,-22.5260066986084,0.7966554649761094,-0.5573863983154297
Zfp273,0.018568307161331177,0.012017322704195976,-0.6324642300605774,0.8560153606676743,0.37844470143318176,-0.6324642300605774,0.7692041075832747,-0.5132138729095459,-0.6324642300605774,0.9121752586161724,-0.34912216663360596
Mtrr,0.024728715419769287,0.036055512726306915,0.5522445440292358,0.594613773285066,0.8668491244316101,0.5522445440292358,0.7325948096552553,0.5742019414901733,0.5522445440292358,0.8632019338630678,0.43751564621925354
Fastkd3,0.01659083366394043,0.05189933255314827,1.6709446907043457,0.18890989496838223,1.667722463607788,1.6709446907043457,0.15878986690831992,1.8830838203430176,1.6709446907043457,0.31695736025736726,1.5752146244049072
Papd7,0.035616274923086166,0.018443241715431213,-0.961887776851654,0.8246310463836088,0.49390241503715515,-0.961887776851654,0.4554355624523974,-1.1144592761993408,-0.961887776851654,0.7362804346102878,-0.7106653451919556
Nsun2,0.24195723235607147,0.46098119020462036,1.0971821546554565,7.912604648073894e-05,4.363568305969238,1.0971821546554565,0.0013585307534200353,3.8008618354797363,1.0971821546554565,0.017077972905183054,3.0296995639801025
Srd5a1,0.0,0.008888963609933853,23.09000015258789,0.7409771188979258,0.6240214109420776,23.09000015258789,0.31487410214456946,1.4249392747879028,23.09000015258789,0.387700968237281,1.4249392747879028
