gene_names,wilcoxon_logfc,wilcoxon_padj,wilcoxon_score,t-test_logfc,t-test_padj,t-test_score,t-test_overestim_var_logfc,t-test_overestim_var_padj,t-test_overestim_var_score,logreg_score
Ly96,-0.171554,1.0,-0.056596033,-0.171554,0.5535985332073036,-0.77402,-0.171554,0.7902656244600175,-0.53635854,-0.008982871
Jph1,,,,,,,,,,
Gdap1,,,,,,,,,,
Pi15,1.0122012,1.0,0.02452082,1.0122012,0.7201535808210884,0.48777807,1.0122012,0.8337432221140532,0.39962232,0.00032380287
Crispld1,,,,,,,,,,
Crisp4,,,,,,,,,,
Defb18,,,,,,,,,,
Defb41,,,,,,,,,,
Tfap2d,,,,,,,,,,
Tfap2b,,,,,,,,,,
Pkhd1,,,,,,,,,,
Il17a,-18.177343,1.0,-0.019963415,-18.177343,0.18363889886512005,-1.6298611,-18.177343,0.7837931678281947,-0.5531745,-0.0028246618
Il17f,1.9450269,1.0,0.26669076,1.9450269,0.14697023046486682,1.7660073,1.9450269,0.29991769450874695,1.5411687,0.0046754777
Mcm3,0.98672456,4.59640814674143e-43,14.038525,0.98672456,1.1457874947942916e-48,15.737367,0.98672456,3.341687406726846e-27,11.372915,0.05552794
Paqr8,-1.3436838,1.0,-0.10659539,-1.3436838,0.07323221389591866,-2.1193411,-1.3436838,0.5317592876397198,-1.0929394,-0.0020826017
Efhc1,-17.676264,1.0,-0.019963415,-17.676264,0.2772001579942146,-1.3586011,-17.676264,0.8111238816170172,-0.46110892,-0.0017049534
Tram2,-0.62930316,0.637241056474512,-1.0846623,-0.62930316,0.006527368057088568,-3.0642729,-0.62930316,0.1443457222661155,-1.9662389,-0.027426176
Tmem14a,0.7344928,0.38980559651383734,1.4293326,0.7344928,0.014516226144532025,2.7886226,0.7344928,0.09359484833292302,2.185458,0.02355751
Gsta3,-18.76028,1.0,-0.03327236,-18.76028,0.07126946612011512,-2.1313148,-18.76028,0.7201722164109399,-0.7233678,-8.043236e-05
Khdc1a,0.43891704,1.0,0.037780225,0.43891704,0.8718998465881974,0.23727576,0.43891704,0.9391267264419806,0.15332715,0.001813815
Khdc1c,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Khdc1b,-15.091719,1.0,-0.0066544716,-15.091719,0.4327751790485651,-1.0,-15.091719,0.8453604845046865,-0.3393998,-3.364581e-05
Kcnq5,-1.2354505,1.0,-0.58513117,-1.2354505,0.0072722794662731524,-3.0270524,-1.2354505,0.19707674203882297,-1.7976131,-0.0049948227
Rims1,,,,,,,,,,
Ppp1r14bl,,,,,,,,,,
Ogfrl1,0.66208315,0.21385474432844395,1.7753321,0.66208315,0.006527368057088568,3.0661027,0.66208315,0.05651061985247843,2.41286,-0.0012158202
B3gat2,0.009626531,1.0,0.10264069,0.009626531,0.9935597823368674,0.021892563,0.009626531,0.9991327456973965,0.0153266955,-0.0036213635
Smap1,0.23395894,0.00033361843253389205,3.983791,0.23395894,4.074256268721038e-06,4.9577637,0.23395894,0.003249301795426046,3.4236696,0.0731804
Sdhaf4,-0.305257,0.42571965722828115,-1.3716633,-0.305257,0.0001441820186575759,-4.148579,-0.305257,0.02352507497060595,-2.7669735,-0.038741402
Fam135a,-19.058691,1.0,-0.0465813,-19.058691,0.055599790143266076,-2.2457314,-19.058691,0.7023089187668423,-0.7622008,-0.00076540833
Col9a1,,,,,,,,,,
Col19a1,,,,,,,,,,
Lmbrd1,0.098035134,0.06350078952177479,2.3378828,0.098035134,0.4844155088163675,0.89961046,0.098035134,0.7602997033767137,0.6239096,0.019664403
Adgrb3,,,,,,,,,,
4931408C20Rik,,,,,,,,,,
Gm597,,,,,,,,,,
Phf3,-0.45391622,4.363534877574398e-10,-6.5818834,-0.45391622,4.627860914985729e-17,-8.813422,-0.45391622,1.0730628931377049e-07,-5.7590327,-0.0084542055
Ptp4a1,0.19568785,1.0,0.089125335,0.19568785,0.8655293346148281,0.247795,0.19568785,0.9290512222038089,0.17390381,0.0036712154
Ptp4a1,0.19568785,1.0,0.089125335,0.19568785,0.8655293346148281,0.247795,0.19568785,0.9290512222038089,0.17390381,0.0036712154
