wilcoxon,t-test,t-test_overestim_var
Tubb5,Cdca8,Birc5
Pclaf,Cdca3,Cdca8
Ube2s,Nusap1,Mki67
Hmgb2,Kif11,Pclaf
Cks1b,Hmmr,Top2a
Birc5,Aurkb,Cdca3
Stmn1,Cenpf,Nusap1
Lmnb1,Plk1,Tubb5
Mki67,Kif23,Kif11
Cdca8,Asf1b,Cdk1
Tuba1b,Ccnb1,Tpx2
H2az1,Cdc20,Ccna2
Top2a,Kif22,Hmmr
Cdca3,Shcbp1,Cks1b
Cks2,Ncapd2,Hmgb2
Ccna2,Spc25,Tuba1b
Tpx2,Brd8,Cks2
Kif11,Birc5,Ccnb2
Nusap1,Kif4,Ube2s
Tubb4b,Bub1,Stmn1
Hmmr,Cdkn3,Aurkb
Tmpo,Nuf2,Smc2
Ptma,Depdc1a,Cenpe
Cdk1,Sgo2a,Cenpf
Ccnb2,Mxd3,Tmpo
Aurkb,Aurka,Lmnb1
Rad21,Cep55,Tacc3
Cenpf,Mis18bp1,Ube2c
Smc2,Aspm,H2az1
Cenpe,Rdm1,Plk1
Anp32b,Clspn,Rad21
Tacc3,Arhgap11a,Kif23
Ube2c,Cenpm,Asf1b
Smc4,Kif20a,Tubb4b
Hmgb1,Asrgl1,Ccnb1
Tagln2,Odf2,Ezh2
Nucks1,Diaph3,Cdc20
Ezh2,Ect2,Prc1
Kif23,Sgo1,Kif22
Rrm1,Esco2,Anp32b
Cdc20,Ckap2,Cmc2
Rrm2,Cdca2,Rrm2
Ran,Gnptab,Spc24
Plk1,Spag5,H1f5
Spc24,Mki67,Shcbp1
Ccnb1,H2ac20,Ckap5
Asf1b,Cenpl,Kif15
Prc1,Spdl1,Tuba1c
Cit,Tpx2,Ncapd2
Kif22,Cdca5,Smc4
Ppia,Cenpk,Cdc25b
H1f5,Chfr,Spc25
Dek,Ube2t,Cit
Lbr,Cip2a,Ptma
Ncapg,Cenph,Brd8
Tuba1c,Cdc45,H2ax
H2ax,Arhgap19,Lbr
Shcbp1,Kifc1,Racgap1
Racgap1,Nek2,Tagln2
Anp32e,Trip13,Anp32e
Hmgn2,Prr11,Kif4
Banf1,Kif14,Bub1
Cmc2,Carhsp1,H2ac8
Ncapd2,Cdk1,Dek
Selenoh,Poc1a,Cenpa
Kif15,Ccnf,Cdkn3
Ccdc34,Kpna2,Nuf2
Spc25,Kif18a,Hmgn2
Mcm7,Hsd17b12,Hmgb1
Nasp,Neil3,Depdc1a
Cdc25b,Vav1,Ccdc34
Ckap5,Stk11,Sgo2a
Ckap2l,Klhdc4,Mxd3
Ska1,Nup62,Aurka
Brd8,Klf3,Nucks1
Kif4,Nrbf2,Dlgap5
Cenpa,Map3k8,Ppia
Cdkn3,Rap1gap2,Ckap2l
Med30,Ccnb2,Cep55
Hnrnpr,Foxm1,Rrm1
Bub1,Cse1l,Dnmt1
Nrm,Kif18b,Mis18bp1
Impdh2,Ttk,Aspm
Cbx3,Cdc27,Rdm1
Nuf2,Jak2,Mcm7
Ncaph,E2f8,Clspn
Sgo2a,Arl5c,Arhgap11a
Rbbp7,Sapcd2,Cenpm
Mxd3,Bora,Ska1
Snrpd1,Utp23,Selenoh
Depdc1a,Sgk1,Kif20a
Knl1,Gpsm2,Mad2l1
Clspn,Nup107,Bub1b
Arl6ip1,Rcc1,Asrgl1
Gmnn,Ccna2,Bub3
Mis18bp1,Bag6,H1f4
H2ac8,Shc1,Odf2
Dbf4,Tacc3,Incenp
Dlgap5,Gclm,Diaph3
Cep55,Cdc25c,Ppih
Aspm,Wdr76,Ndc80
Lsm5,Tcf19,Hist1h2ap
Ppih,Syce2,Ncapg
Rfc5,Cenpn,Kif20b
Aurka,Cinp,Knl1
Cenpm,Bard1,Ect2
Dnmt1,Top2a,Plk4
Bub3,Rabggtb,Akirin2
Crip1,Ska3,Sgo1
Akirin2,Cstf2,Esco2
Rdm1,Brip1,Ckap2
Fen1,Nup54,Med30
Mad2l1,Zw10,Ran
Bub1b,Espl1,Nrm
H2az2,Katnbl1,Cdca2
Rangap1,Blm,Gnptab
Diaph3,Sass6,Spag5
Lig1,Lias,H2ac20
H1f4,Depdc1b,Banf1
Sae1,Traip,Cs
Arhgap11a,Med19,Cenpl
Psmd1,H2bu2,Nasp
Tyms,Ankrd54,Lsm5
Ncapg2,Timeless,Crip1
Hist1h2ap,Nfatc2ip,Spdl1
Odf2,Emc9,Knstrn
Kif20b,Pimreg,Dbf4
Kif20a,Apip,Cdca5
Alyref,Ttc9c,Reep4
Cs,Anxa1,Cenpk
Plk4,Thap12,Chfr
Asrgl1,Eif2b1,H2az2
Reep4,2610318N02Rik,Gmnn
Esco2,Bola1,Emp3
Hnrnpab,Tmem41b,Hjurp
Ckap2,Pclaf,Ncapg2
Ndc80,Nedd1,Ube2t
Spag5,Pbk,Cip2a
Sgo1,G2e3,Cbx3
Lsm3,Triap1,Arl6ip1
Incenp,Lin9,Cenph
Sfpq,Stil,Cdc45
Lsm2,Zbtb25,Arhgap19
Ect2,C330007P06Rik,Kifc1
Sod1,Actn1,Iqgap2
Rad51,Paxip1,1500009L16Rik
Cdca2,Parpbp,Rfc5
Cenpl,Cebpg,Snrpd1
Atad2,Urod,Rangap1
Nxt1,Pkmyt1,Eri1
H2ac20,Tdp1,Tradd
Eri1,H1f1,Nek2
1500009L16Rik,H1f5,Trip13
Nudt21,Naa40,Prr11
Haus3,Ass1,Nxt1
Srsf2,Nelfa,Kif14
Tradd,Uap1,Carhsp1
Hint1,Tinf2,Exosc8
Uhrf1,Traf2,Fbxo5
Gnptab,Cep97,Rbbp7
Knstrn,Wipi2,Hnrnpa3
Gramd3,Mcm10,Poc1a
Emp3,Pknox1,Ccnf
Kcnn4,Ticrr,Gramd3
Cdkn2d,Mad1l1,Hnrnpr
Hjurp,Nup43,Haus3
Cdca5,Vps35l,Kpna2
Iqgap2,Pex13,Tyms
Slc25a5,Gemin6,Psmd1
Cbx5,Nxn,Uhrf1
Ube2t,Lrr1,Kif18a
Exosc8,Pole,Hsd17b12
Cox5a,Phf10,Sae1
Rfc4,Mastl,Neil3
Atp5h,Net1,Vav1
Spdl1,Tex10,Stk11
Polr2c,Arl6ip6,Cdkn2d
Cenph,Vps52,Ncaph
Cenpk,Abhd17b,Alyref
Arl4c,Hax1,Atad2
Cip2a,Nup160,Lsm2
Fbxo5,Il12rb2,Snrpa
Hat1,Cars2,Klhdc4
Chfr,Cenpe,Nup62
Tipin,Zwilch,Klf3
Nap1l1,Timm21,Sfpq
Snrnp40,Fancl,Lig1
Arhgap19,Haus7,Sod1
D030056L22Rik,Zfp524,Hint1
Ywhah,Slc16a1,Nrbf2
Snrpe,Manbal,Map3k8
Mcm5,Nup155,Rap1gap2
Hnrnpd,Exosc10,Rnaseh2b
Cdc45,Cdk19,Foxm1
Snf8,Anln,Cbfb
Ppil1,Eme1,H4c4
Ddx39,Entpd5,Haus4
Cct4,0610009B22Rik,Cse1l
Hnrnpf,Troap,Pbrm1
Nek2,Gen1,Kif18b
Hsp90aa1,Ncoa4,Ttk
Smc1a,Dcaf1,Ubald2
Pmf1,Ccdc61,Cdc27
Psmd6,Kri1,Cmtm7
Fkbp2,Cux1,Jak2
Kifc1,Wee1,E2f8
Rnaseh2b,Mtmr14,Tuba4a
Tuba1a,Haus5,Arl5c
Mcm3,Lonp1,Polr2c
Pole3,Itgb3bp,Sapcd2
Cbfb,Cep135,Bora
Carhsp1,Ccdc34,Utp23
Psph,Bloc1s6,Ddx39
Neil3,H2ac8,Sgk1
Jpt1,Chchd5,Kcnn4
Haus4,Cenpi,Gpsm2
Klf2,Zfp266,Nup107
Kif14,Hif1an,Rcc1
Prr11,Brca2,Ndufb11
Cdca4,Gtpbp1,Kmt5a
Ncapd3,Birc3,Rnaseh2c
Ubald2,Hyls1,Fen1
Anapc15,Xrcc1,Bag6
Fignl1,Vps26a,Hnrnpab
Vim,Bcl2,Hmgb3
Trip13,Pigp,Pole3
Tpm4,Kntc1,Shc1
Ndufb11,Adar,Tuba1a
Creld2,Cit,Ncapd3
Cntrl,Mtmr12,Anapc15
Klf3,Gcat,Atp5h
H4c4,Opa1,Klf2
Mrps11,Pi4ka,Psmd6
Mrpl57,Cmss1,Impdh2
Srrt,Nfic,H4c9
Poc1a,Wdr3,Gclm
Kif2c,Mid1,Cdc25c
Hnrnpa3,Nploc4,Wdr76
Gars,Isoc1,Fkbp2
Srsf3,Mtfr2,Arl4c
Cmtm7,Lap3,Creld2
Psip1,Chkb,Mrpl57
Kpna2,Rpain,Gabpb2
Vdac1,Dsn1,Kif2c
Ccnf,Sik3,Prdx4
Kif18a,Elp2,Tcf19
Ranbp1,Tfip11,Sdhd
Trappc3,Map3k4,Srsf2
Ndufa12,Atg16l1,Cdca4
Ly6e,Pgrmc2,Vim
Melk,Pip4k2c,Cct4
Snrpa,Prep,Fxn
Tuba4a,Mis12,Ppp2ca
Kmt5a,Pif1,Mrps11
Fzr1,Bcat2,Pmf1
Ywhaq,Nprl2,Syce2
Pbrm1,Thap11,Cenpn
Tdp2,Creb3,Cinp
Snrpg,Idh2,Snrpe
Arid1a,Abcd1,Gars
Rad50,Trp53i11,Bard1
S1pr1,Per1,Nsmce2
Hsd17b12,Rmi2,Snf8
Dut,Xab2,Rabggtb
Nup62,H2bc18,Ska3
Stk11,Fcgrt,Pcnp
Vav1,Poc5,Rad50
Baz1b,Trav14-1,Cstf2
Eif4h,Zswim6,Lsm3
Mcm4,Nhlrc2,Brip1
Tfdp1,E2f3,Vdac1
Rpa1,Fbxo8,Nudt21
Rap1gap2,Tex264,Melk
Rfwd3,Rara,Cntrl
Ppp1cc,Rad54l,Nup54
Arl5c,Gbp2,Anapc11
Tmsb10,Slc25a51,Zw10
Sdhd,Nfkbid,Espl1
Map3k8,Gas2l3,Katnbl1
Rbmxl1,Cep128,Hsp90aa1
Pcnp,Dscc1,Blm
Hprt,Cep57l1,Sass6
Gabpb2,Fdft1,S1pr1
Nudcd2,Map3k7,Ywhah
Hmgb3,Ccdc77,Smc1a
Klhdc4,Sirt1,Acin1
Csnk2a2,Tprkb,Dcaf15
Luc7l,Uhrf1bp1l,Hat1
Eif5a,Fam110a,Lias
Haus8,Ubap1,Depdc1b
Bora,Cstf1,Cbx5
Kif18b,Cks1b,Traip
Tsn,Cops7a,Med19
Slbp,Strn,H2bu2
Sgk1,Nfya,Csnk1g2
E2f8,Stambp,Hnrnpd
Foxm1,Med25,Ankrd54
Xpo6,Creg1,Slc25a5
Acin1,Scyl1,Timeless
Txndc9,Cenpt,Nfatc2ip
Cse1l,Haao,Ggnbp2
Pa2g4,Dnajc17,Tmsb10
